id_gene_DM,biotype_DM,gene_DM,DM_up,DM_down,id_gene_HS,gene_HS,biotype_HS,HS_up,HS_down,id_gene_MM,gene_MM,biotype_MM,MM_up,MM_down
FBgn0039252,['protein_coding'],CG11771,True,True,ENSG00000172009,AC006538.1,['protein_coding'],False,True,ENSMUSG00000004929,Thop1,['protein_coding'],True,False
FBgn0025463,['protein_coding'],Bap60,True,True,"ENSG00000066117,ENSG00000108604","SMARCD1,SMARCD2","['protein_coding', 'protein_coding']","False,False","True,True","ENSMUSG00000078619,ENSMUSG00000023018","Smarcd2,Smarcd1","['protein_coding', 'protein_coding']","True,False","False,True"
FBgn0014189,['protein_coding'],Hel25E,True,True,ENSG00000123136,DDX39A,['protein_coding'],True,False,"ENSMUSG00000005481,ENSMUSG00000019432","Ddx39,Ddx39b","['protein_coding', 'protein_coding']","False,False","True,True"
FBgn0267977,['protein_coding'],mh,True,True,ENSG00000010072,SPRTN,['protein_coding'],True,False,ENSMUSG00000031986,Sprtn,['protein_coding'],True,True
FBgn0032052,['protein_coding'],PIG-U,True,True,ENSG00000101464,PIGU,['protein_coding'],True,True,ENSMUSG00000038383,Pigu,['protein_coding'],True,True
FBgn0034908,['protein_coding'],CG5543,True,True,ENSG00000082068,WDR70,['protein_coding'],False,True,ENSMUSG00000039828,Wdr70,['protein_coding'],True,False
FBgn0046692,['protein_coding'],Stlk,True,True,ENSG00000266173,STRADA,['protein_coding'],False,True,ENSMUSG00000069631,Strada,['protein_coding'],True,False
FBgn0050410,['protein_coding'],Rpi,True,True,ENSG00000153574,RPIA,['protein_coding'],True,False,ENSMUSG00000053604,Rpia,['protein_coding'],False,True
FBgn0025615,['protein_coding'],Torsin,True,True,ENSG00000136827,TOR1A,['protein_coding'],False,True,ENSMUSG00000026848,Tor1b,['protein_coding'],False,True
FBgn0030735,['protein_coding'],CG3632,True,False,ENSG00000100330,MTMR3,['protein_coding'],False,True,ENSMUSG00000018401,Mtmr4,['protein_coding'],True,False
FBgn0028968,['protein_coding'],gammaCOP,True,True,ENSG00000158623,COPG2,['protein_coding'],False,True,ENSMUSG00000025607,Copg2,['protein_coding'],True,False
FBgn0017572,['protein_coding'],Mo25,True,True,ENSG00000135932,CAB39,['protein_coding'],False,True,ENSMUSG00000021981,Cab39l,['protein_coding'],True,False
FBgn0036893,['protein_coding'],PIG-F,True,True,ENSG00000151665,PIGF,['protein_coding'],False,True,ENSMUSG00000024145,Pigf,['protein_coding'],True,False
FBgn0033060,['protein_coding'],CG7849,True,True,ENSG00000167112,TRUB2,['protein_coding'],False,True,ENSMUSG00000039826,Trub2,['protein_coding'],False,True
FBgn0039183,['protein_coding'],Dis3,True,False,ENSG00000166938,DIS3L,['protein_coding'],True,True,ENSMUSG00000032396,Dis3l,['protein_coding'],True,False
FBgn0284221,['protein_coding',Sema5c,True,False,ENSG00000143434,SEMA6C,['protein_coding'],False,True,ENSMUSG00000052133,Sema5b,['protein_coding'],False,True
FBgn0016059, 'protein_coding',Sema1b,True,True,ENSG00000143434,SEMA6C,['protein_coding'],False,True,ENSMUSG00000052133,Sema5b,['protein_coding'],False,True
FBgn0011260, 'protein_coding',Sema2a,True,True,ENSG00000143434,SEMA6C,['protein_coding'],False,True,ENSMUSG00000052133,Sema5b,['protein_coding'],False,True
FBgn0264273, 'protein_coding',Sema2b,True,True,ENSG00000143434,SEMA6C,['protein_coding'],False,True,ENSMUSG00000052133,Sema5b,['protein_coding'],False,True
FBgn0011259, 'protein_coding'],Sema1a,True,True,ENSG00000143434,SEMA6C,['protein_coding'],False,True,ENSMUSG00000052133,Sema5b,['protein_coding'],False,True
FBgn0039229,['protein_coding'],Saf-B,True,True,ENSG00000160633,SAFB,['protein_coding'],False,True,"ENSMUSG00000032212,ENSMUSG00000071054","Sltm,Safb","['protein_coding', 'protein_coding']","True,False","False,True"
FBgn0037382,['protein_coding'],Hpr1,True,True,ENSG00000079134,THOC1,['protein_coding'],False,True,ENSMUSG00000024287,Thoc1,['protein_coding'],True,False
FBgn0038721,['protein_coding'],subdued,True,True,ENSG00000146205,ANO7,['protein_coding'],False,True,ENSMUSG00000055489,Ano5,['protein_coding'],True,True
FBgn0011763,['protein_coding'],Dp,True,True,ENSG00000198176,TFDP1,['protein_coding'],True,True,ENSMUSG00000038482,Tfdp1,['protein_coding'],False,True
FBgn0036888,['protein_coding'],CG9330,True,True,ENSG00000161204,ABCF3,['protein_coding'],False,True,ENSMUSG00000003234,Abcf3,['protein_coding'],True,False
FBgn0038195,['protein_coding',CG3061,True,True,ENSG00000164031,DNAJB14,['protein_coding'],False,True,ENSMUSG00000074212,Dnajb14,['protein_coding'],True,False
FBgn0050156, 'protein_coding'],CG30156,True,True,ENSG00000164031,DNAJB14,['protein_coding'],False,True,ENSMUSG00000074212,Dnajb14,['protein_coding'],True,False
FBgn0000119,['protein_coding',arr,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","['protein_coding', 'protein_coding']","False,False","True,True",ENSMUSG00000032193,Ldlr,['protein_coding'],False,True
FBgn0051092, 'protein_coding',LpR2,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","['protein_coding', 'protein_coding']","False,False","True,True",ENSMUSG00000032193,Ldlr,['protein_coding'],False,True
FBgn0261260, 'protein_coding',mgl,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","['protein_coding', 'protein_coding']","False,False","True,True",ENSMUSG00000032193,Ldlr,['protein_coding'],False,True
FBgn0053087, 'protein_coding',LRP1,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","['protein_coding', 'protein_coding']","False,False","True,True",ENSMUSG00000032193,Ldlr,['protein_coding'],False,True
FBgn0066101, 'protein_coding'],LpR1,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","['protein_coding', 'protein_coding']","False,False","True,True",ENSMUSG00000032193,Ldlr,['protein_coding'],False,True
FBgn0004391,['protein_coding'],shtd,True,True,ENSG00000153107,ANAPC1,['protein_coding'],False,True,ENSMUSG00000014355,Anapc1,['protein_coding'],False,True
FBgn0030361,['protein_coding',CG1492,True,False,ENSG00000100121,GGTLC2,['protein_coding'],True,False,ENSMUSG00000027603,Ggt7,['protein_coding'],True,False
FBgn0030796, 'protein_coding',CG4829,True,False,ENSG00000100121,GGTLC2,['protein_coding'],True,False,ENSMUSG00000027603,Ggt7,['protein_coding'],True,False
FBgn0025837, 'protein_coding'],CG17636,True,True,ENSG00000100121,GGTLC2,['protein_coding'],True,False,ENSMUSG00000027603,Ggt7,['protein_coding'],True,False
FBgn0265140,['protein_coding'],Meltrin,True,True,"ENSG00000073670,ENSG00000148848,ENSG00000168615","ADAM11,ADAM12,ADAM9","['protein_coding', 'protein_coding', 'protein_coding']","False,True,False","True,True,True",ENSMUSG00000020926,Adam11,['protein_coding'],True,True
FBgn0085434,['protein_coding'],NaCP60E,True,True,"ENSG00000196876,ENSG00000169432","SCN8A,SCN9A","['protein_coding', 'protein_coding']","False,False","True,True","ENSMUSG00000075318,ENSMUSG00000023033","Scn2a,Scn8a","['protein_coding', 'protein_coding']","True,True","False,False"
FBgn0024846,['protein_coding',p38b,True,True,ENSG00000112062,MAPK14,['protein_coding'],False,True,ENSMUSG00000053137,Mapk11,['protein_coding'],False,True
FBgn0015765, 'protein_coding',p38a,True,True,ENSG00000112062,MAPK14,['protein_coding'],False,True,ENSMUSG00000053137,Mapk11,['protein_coding'],False,True
FBgn0267339, 'protein_coding'],p38c,True,True,ENSG00000112062,MAPK14,['protein_coding'],False,True,ENSMUSG00000053137,Mapk11,['protein_coding'],False,True
FBgn0036500,['protein_coding'],CG7275,True,True,ENSG00000164934,DCAF13,['protein_coding'],False,True,ENSMUSG00000022300,Dcaf13,['protein_coding'],False,True
FBgn0003071,['protein_coding'],Pfk,True,True,ENSG00000067057,PFKP,['protein_coding'],True,False,"ENSMUSG00000033065,ENSMUSG00000021196","Pfkm,Pfkp","['protein_coding', 'protein_coding']","True,True","False,False"
FBgn0005696,['protein_coding'],DNApol-alpha73,True,False,ENSG00000014138,POLA2,['protein_coding'],False,True,ENSMUSG00000024833,Pola2,['protein_coding'],True,True
FBgn0031536,['protein_coding'],Cog3,True,True,ENSG00000136152,COG3,['protein_coding'],False,True,ENSMUSG00000034893,Cog3,['protein_coding'],False,True
FBgn0033755,['protein_coding'],ClC-b,True,True,ENSG00000103249,CLCN7,['protein_coding'],False,True,ENSMUSG00000036636,Clcn7,['protein_coding'],False,True
FBgn0035645,['protein_coding',CG5592,True,True,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","['protein_coding', 'protein_coding']","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000020334,ENSMUSG00000063652","Slc22a5,Slc22a4,Slc22a21","['protein_coding', 'protein_coding', 'protein_coding']","True,False,True","False,True,False"
FBgn0035647, 'protein_coding',CG10486,True,True,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","['protein_coding', 'protein_coding']","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000020334,ENSMUSG00000063652","Slc22a5,Slc22a4,Slc22a21","['protein_coding', 'protein_coding', 'protein_coding']","True,False,True","False,True,False"
FBgn0259164, 'protein_coding',CG42269,False,True,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","['protein_coding', 'protein_coding']","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000020334,ENSMUSG00000063652","Slc22a5,Slc22a4,Slc22a21","['protein_coding', 'protein_coding', 'protein_coding']","True,False,True","False,True,False"
FBgn0034479, 'protein_coding',CG8654,True,True,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","['protein_coding', 'protein_coding']","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000020334,ENSMUSG00000063652","Slc22a5,Slc22a4,Slc22a21","['protein_coding', 'protein_coding', 'protein_coding']","True,False,True","False,True,False"
FBgn0033809, 'protein_coding'],CG4630,True,False,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","['protein_coding', 'protein_coding']","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000020334,ENSMUSG00000063652","Slc22a5,Slc22a4,Slc22a21","['protein_coding', 'protein_coding', 'protein_coding']","True,False,True","False,True,False"
FBgn0086558,['protein_coding',Ubi-p5E,True,True,ENSG00000170315,UBB,['protein_coding'],True,False,ENSMUSG00000019505,Ubb,['protein_coding'],True,False
FBgn0003943, 'protein_coding',Ubi-p63E,True,True,ENSG00000170315,UBB,['protein_coding'],True,False,ENSMUSG00000019505,Ubb,['protein_coding'],True,False
FBgn0029856, 'protein_coding'],CG11700,True,True,ENSG00000170315,UBB,['protein_coding'],True,False,ENSMUSG00000019505,Ubb,['protein_coding'],True,False
FBgn0015828,['protein_coding'],TfIIEalpha,True,True,ENSG00000153767,GTF2E1,['protein_coding'],False,True,ENSMUSG00000022828,Gtf2e1,['protein_coding'],True,True
FBgn0265174,['protein_coding'],PIG-V,True,True,ENSG00000060642,PIGV,['protein_coding'],True,False,ENSMUSG00000043257,Pigv,['protein_coding'],True,True
FBgn0037660,['protein_coding'],beag,True,True,ENSG00000113141,IK,['protein_coding'],False,True,ENSMUSG00000024474,Ik,['protein_coding'],True,False
FBgn0033916,['protein_coding'],Usp20-33,True,True,ENSG00000136878,USP20,['protein_coding'],False,True,"ENSMUSG00000026854,ENSMUSG00000025437","Usp20,Usp33","['protein_coding', 'protein_coding']","True,False","False,True"
FBgn0030871,['protein_coding'],CG8142,True,True,ENSG00000163918,RFC4,['protein_coding'],True,False,ENSMUSG00000022881,Rfc4,['protein_coding'],True,False
FBgn0011224,['protein_coding'],heph,True,True,ENSG00000117569,PTBP2,['protein_coding'],False,True,ENSMUSG00000028134,Ptbp2,['protein_coding'],True,True
FBgn0030607,['protein_coding',dob,True,True,ENSG00000177666,PNPLA2,['protein_coding'],False,True,ENSMUSG00000025509,Pnpla2,['protein_coding'],True,False
FBgn0036449, 'protein_coding'],bmm,True,True,ENSG00000177666,PNPLA2,['protein_coding'],False,True,ENSMUSG00000025509,Pnpla2,['protein_coding'],True,False
FBgn0037549,['protein_coding'],CG7878,True,True,ENSG00000080007,DDX43,['protein_coding'],False,True,ENSMUSG00000070291,Ddx43,['protein_coding'],True,True
FBgn0033636,['protein_coding'],tou,True,False,ENSG00000123636,BAZ2B,['protein_coding'],False,True,ENSMUSG00000040054,Baz2a,['protein_coding'],True,False
FBgn0034849,['protein_coding'],CG3500,True,True,ENSG00000144043,TEX261,['protein_coding'],True,True,ENSMUSG00000014748,Tex261,['protein_coding'],True,False
FBgn0004875,['protein_coding'],enc,True,True,ENSG00000179912,R3HDM2,['protein_coding'],False,True,"ENSMUSG00000056211,ENSMUSG00000025404","R3hdm1,R3hdm2","['protein_coding', 'protein_coding']","True,False","False,True"
FBgn0023096,['protein_coding'],btv,True,True,ENSG00000187240,DYNC2H1,['protein_coding'],False,True,ENSMUSG00000047193,Dync2h1,['protein_coding'],True,False
FBgn0036273,['protein_coding'],INPP5E,True,True,ENSG00000148384,INPP5E,['protein_coding'],True,True,ENSMUSG00000026925,Inpp5e,['protein_coding'],True,False
FBgn0261983,['protein_coding'],l(2)gd1,True,True,ENSG00000132024,CC2D1A,['protein_coding'],True,False,ENSMUSG00000036686,Cc2d1a,['protein_coding'],True,False
FBgn0030574,['protein_coding',CG9413,True,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","['protein_coding', 'protein_coding']","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","['protein_coding', 'protein_coding']","True,False","False,True"
FBgn0002778, 'protein_coding',mnd,True,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","['protein_coding', 'protein_coding']","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","['protein_coding', 'protein_coding']","True,False","False,True"
FBgn0039487, 'protein_coding',gb,True,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","['protein_coding', 'protein_coding']","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","['protein_coding', 'protein_coding']","True,False","False,True"
FBgn0039844, 'protein_coding',CG1607,False,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","['protein_coding', 'protein_coding']","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","['protein_coding', 'protein_coding']","True,False","False,True"
FBgn0028425, 'protein_coding'],JhI-21,True,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","['protein_coding', 'protein_coding']","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","['protein_coding', 'protein_coding']","True,False","False,True"
FBgn0260439,['protein_coding'],Pp2A-29B,True,True,ENSG00000105568,PPP2R1A,['protein_coding'],False,True,ENSMUSG00000032058,Ppp2r1b,['protein_coding'],True,False
FBgn0031020,['protein_coding'],Naa15-16,True,True,ENSG00000164134,NAA15,['protein_coding'],False,True,ENSMUSG00000022020,Naa16,['protein_coding'],False,True
FBgn0261710,['protein_coding'],nocte,True,True,ENSG00000117523,PRRC2C,['protein_coding'],False,True,ENSMUSG00000024393,Prrc2a,['protein_coding'],True,False
FBgn0026192,['protein_coding'],par-6,True,True,ENSG00000124171,PARD6B,['protein_coding'],False,True,ENSMUSG00000005699,Pard6a,['protein_coding'],True,False
FBgn0039877,['protein_coding'],Mccc1,True,True,ENSG00000078070,MCCC1,['protein_coding'],True,False,ENSMUSG00000027709,Mccc1,['protein_coding'],False,True
FBgn0002783,['protein_coding'],mor,True,True,ENSG00000139613,SMARCC2,['protein_coding'],False,True,ENSMUSG00000025369,Smarcc2,['protein_coding'],True,False
FBgn0039450,['protein_coding'],CG5484,True,True,ENSG00000174851,YIF1A,['protein_coding'],False,True,"ENSMUSG00000024875,ENSMUSG00000030588","Yif1a,Yif1b","['protein_coding', 'protein_coding']","True,True","False,False"
FBgn0033038,['protein_coding'],CG7791,True,True,ENSG00000027001,MIPEP,['protein_coding'],False,True,ENSMUSG00000021993,Mipep,['protein_coding'],True,False
FBgn0085370,['protein_coding'],Pde11,True,True,ENSG00000138735,PDE5A,['protein_coding'],False,True,ENSMUSG00000023868,Pde10a,['protein_coding'],True,True
FBgn0027330,['protein_coding'],l(1)G0020,True,True,ENSG00000135372,NAT10,['protein_coding'],False,True,ENSMUSG00000027185,Nat10,['protein_coding'],True,True
FBgn0261618,['protein_coding'],larp,True,True,ENSG00000155506,LARP1,['protein_coding'],False,True,"ENSMUSG00000025762,ENSMUSG00000037331","Larp1b,Larp1","['protein_coding', 'protein_coding']","True,True","False,False"
FBgn0038965,['protein_coding'],mats,True,True,"ENSG00000114978,ENSG00000173542","MOB1A,MOB1B","['protein_coding', 'protein_coding']","False,False","True,True",ENSMUSG00000043131,Mob1a,['protein_coding'],False,True
FBgn0034975,['protein_coding',enok,True,True,"ENSG00000136504,ENSG00000083168","KAT7,KAT6A","['protein_coding', 'protein_coding']","False,False","True,True","ENSMUSG00000038909,ENSMUSG00000021767","Kat7,Kat6b","['protein_coding', 'protein_coding']","True,False","True,True"
FBgn0028387, 'protein_coding'],chm,True,True,"ENSG00000136504,ENSG00000083168","KAT7,KAT6A","['protein_coding', 'protein_coding']","False,False","True,True","ENSMUSG00000038909,ENSMUSG00000021767","Kat7,Kat6b","['protein_coding', 'protein_coding']","True,False","True,True"
FBgn0032633,['protein_coding'],Lrch,True,True,ENSG00000130224,LRCH2,['protein_coding'],False,True,ENSMUSG00000022801,Lrch3,['protein_coding'],False,True
FBgn0086712,['protein_coding',Egm,True,True,ENSG00000072778,ACADVL,['protein_coding'],True,False,"ENSMUSG00000027710,ENSMUSG00000018574","Acad9,Acadvl","['protein_coding', 'protein_coding']","False,False","True,True"
FBgn0034432, 'protein_coding'],CG7461,True,True,ENSG00000072778,ACADVL,['protein_coding'],True,False,"ENSMUSG00000027710,ENSMUSG00000018574","Acad9,Acadvl","['protein_coding', 'protein_coding']","False,False","True,True"
FBgn0027538,['protein_coding'],beta4GalNAcTA,True,True,ENSG00000117411,B4GALT2,['protein_coding'],False,True,ENSMUSG00000052423,B4galt3,['protein_coding'],False,True
FBgn0026630,['protein_coding'],nes,True,True,ENSG00000111684,LPCAT3,['protein_coding'],True,True,ENSMUSG00000004270,Lpcat3,['protein_coding'],True,False
FBgn0003612,['protein_coding'],Su(var)2-10,True,True,ENSG00000131788,PIAS3,['protein_coding'],False,True,"ENSMUSG00000032405,ENSMUSG00000025423","Pias1,Pias2","['protein_coding', 'protein_coding']","True,True","False,False"
FBgn0030655,['protein_coding'],CG9213,True,False,ENSG00000152404,CWF19L2,['protein_coding'],False,True,ENSMUSG00000025898,Cwf19l2,['protein_coding'],False,True
FBgn0004363,['protein_coding',porin,True,True,ENSG00000078668,VDAC3,['protein_coding'],True,False,"ENSMUSG00000021771,ENSMUSG00000008892,ENSMUSG00000075053","Vdac2,Vdac3,Vdac3-ps1","['protein_coding', 'protein_coding', 'unprocessed_pseudogene']","True,True,True","False,False,False"
FBgn0069354, 'protein_coding'],Porin2,True,True,ENSG00000078668,VDAC3,['protein_coding'],True,False,"ENSMUSG00000021771,ENSMUSG00000008892,ENSMUSG00000075053","Vdac2,Vdac3,Vdac3-ps1","['protein_coding', 'protein_coding', 'unprocessed_pseudogene']","True,True,True","False,False,False"
FBgn0004381,['protein_coding',Klp68D,True,True,ENSG00000131437,KIF3A,['protein_coding'],False,True,"ENSMUSG00000027475,ENSMUSG00000018395","Kif3b,Kif3a","['protein_coding', 'protein_coding']","True,True","False,False"
FBgn0004380, 'protein_coding'],Klp64D,True,True,ENSG00000131437,KIF3A,['protein_coding'],False,True,"ENSMUSG00000027475,ENSMUSG00000018395","Kif3b,Kif3a","['protein_coding', 'protein_coding']","True,True","False,False"
FBgn0001216,['protein_coding',Hsc70-1,True,True,ENSG00000126803,HSPA2,['protein_coding'],True,True,"ENSMUSG00000015656,ENSMUSG00000059970","Hspa8,Hspa2","['protein_coding', 'protein_coding']","False,True","True,False"
FBgn0001217, 'protein_coding',Hsc70-2,True,True,ENSG00000126803,HSPA2,['protein_coding'],True,True,"ENSMUSG00000015656,ENSMUSG00000059970","Hspa8,Hspa2","['protein_coding', 'protein_coding']","False,True","True,False"
FBgn0266599, 'protein_coding',Hsc70-4,True,True,ENSG00000126803,HSPA2,['protein_coding'],True,True,"ENSMUSG00000015656,ENSMUSG00000059970","Hspa8,Hspa2","['protein_coding', 'protein_coding']","False,True","True,False"
FBgn0001230, 'protein_coding'],Hsp68,True,True,ENSG00000126803,HSPA2,['protein_coding'],True,True,"ENSMUSG00000015656,ENSMUSG00000059970","Hspa8,Hspa2","['protein_coding', 'protein_coding']","False,True","True,False"
FBgn0024285,['protein_coding'],Srp54,True,True,"ENSG00000153914,ENSG00000116754","SREK1,SRSF11","['protein_coding', 'protein_coding']","False,True","True,True","ENSMUSG00000032621,ENSMUSG00000055436","Srek1,Srsf11","['protein_coding', 'protein_coding']","True,False","True,True"
FBgn0041604,['protein_coding'],dlp,True,True,ENSG00000213420,GPC2,['protein_coding'],True,False,"ENSMUSG00000031119,ENSMUSG00000029510","Gpc4,Gpc2","['protein_coding', 'protein_coding']","False,True","True,False"
FBgn0025716,['protein_coding'],Bap55,True,True,ENSG00000136518,ACTL6A,['protein_coding'],False,True,ENSMUSG00000027671,Actl6a,['protein_coding'],True,False
FBgn0028694,['protein_coding'],Rpn11,True,True,ENSG00000115233,PSMD14,['protein_coding'],False,True,ENSMUSG00000026914,Psmd14,['protein_coding'],False,True
FBgn0037203,['protein_coding',slif,True,True,ENSG00000139514,SLC7A1,['protein_coding'],True,True,"ENSMUSG00000041313,ENSMUSG00000031596","Slc7a1,Slc7a2","['protein_coding', 'protein_coding']","False,False","True,True"
FBgn0036493, 'protein_coding',CG7255,True,True,ENSG00000139514,SLC7A1,['protein_coding'],True,True,"ENSMUSG00000041313,ENSMUSG00000031596","Slc7a1,Slc7a2","['protein_coding', 'protein_coding']","False,False","True,True"
FBgn0036764, 'protein_coding'],CG5535,True,True,ENSG00000139514,SLC7A1,['protein_coding'],True,True,"ENSMUSG00000041313,ENSMUSG00000031596","Slc7a1,Slc7a2","['protein_coding', 'protein_coding']","False,False","True,True"
FBgn0035798,['protein_coding',frac,False,True,ENSG00000138829,FBN2,['protein_coding'],True,True,ENSMUSG00000024598,Fbn2,['protein_coding'],False,True
FBgn0053196, 'protein_coding'],dpy,True,True,ENSG00000138829,FBN2,['protein_coding'],True,True,ENSMUSG00000024598,Fbn2,['protein_coding'],False,True
FBgn0038233,['protein_coding'],HtrA2,True,True,ENSG00000115317,HTRA2,['protein_coding'],False,True,ENSMUSG00000006205,Htra1,['protein_coding'],False,True
FBgn0036821,['protein_coding'],CG3961,True,False,ENSG00000164398,ACSL6,['protein_coding'],True,True,"ENSMUSG00000018796,ENSMUSG00000020333","Acsl1,Acsl6","['protein_coding', 'protein_coding']","True,True","False,False"
FBgn0040285,['protein_coding'],Scamp,True,True,ENSG00000085365,SCAMP1,['protein_coding'],False,True,ENSMUSG00000028049,Scamp3,['protein_coding'],True,False
FBgn0010194,['protein_coding',Wnt5,True,True,ENSG00000134245,WNT2B,['protein_coding'],False,True,ENSMUSG00000030170,Wnt5b,['protein_coding'],False,True
