id_gene_MM,biotype_MM,gene_MM,MM_up,MM_down,id_gene_HS,gene_HS,biotype_HS,HS_up,HS_down,id_gene_DM,gene_DM,biotype_DM,DM_up,DM_down
ENSMUSG00000005897,['protein_coding'],Nr2c1,True,False,ENSG00000120798,NR2C1,['protein_coding'],False,True,FBgn0015239,Hr78,['protein_coding'],True,True
ENSMUSG00000035247,['protein_coding'],Hectd1,False,True,ENSG00000092148,HECTD1,['protein_coding'],False,True,FBgn0032208,Ufd4,['protein_coding'],True,True
ENSMUSG00000027255,['protein_coding',Arfgap2,True,True,ENSG00000149182,ARFGAP2,['protein_coding'],True,True,FBgn0037182,ArfGAP3,['protein_coding'],True,True
ENSMUSG00000054277, 'protein_coding'],Arfgap3,True,False,ENSG00000149182,ARFGAP2,['protein_coding'],True,True,FBgn0037182,ArfGAP3,['protein_coding'],True,True
ENSMUSG00000055022,['protein_coding',Cntn1,True,False,ENSG00000134121,CHL1,['protein_coding'],False,True,"FBgn0037240,FBgn0264975","Cont,Nrg","['protein_coding', 'protein_coding']","True,True","True,True"
ENSMUSG00000030092, 'protein_coding'],Cntn6,True,False,ENSG00000134121,CHL1,['protein_coding'],False,True,"FBgn0037240,FBgn0264975","Cont,Nrg","['protein_coding', 'protein_coding']","True,True","True,True"
ENSMUSG00000033819,['protein_coding'],Ppp1r16a,True,False,ENSG00000160972,PPP1R16A,['protein_coding'],True,False,FBgn0036801,MYPT-75D,['protein_coding'],True,True
ENSMUSG00000006307,['protein_coding'],Kmt2b,False,True,ENSG00000272333,KMT2B,['protein_coding'],False,True,FBgn0003862,trx,['protein_coding'],True,True
ENSMUSG00000015714,['protein_coding',Cers2,False,True,ENSG00000139624,CERS5,['protein_coding'],False,True,FBgn0040918,schlank,['protein_coding'],True,True
ENSMUSG00000023021, 'protein_coding'],Cers5,False,True,ENSG00000139624,CERS5,['protein_coding'],False,True,FBgn0040918,schlank,['protein_coding'],True,True
ENSMUSG00000004929,['protein_coding'],Thop1,True,False,ENSG00000172009,AC006538.1,['protein_coding'],False,True,FBgn0039252,CG11771,['protein_coding'],True,True
ENSMUSG00000078619,['protein_coding',Smarcd2,True,False,"ENSG00000066117,ENSG00000108604","SMARCD1,SMARCD2","['protein_coding', 'protein_coding']","False,False","True,True",FBgn0025463,Bap60,['protein_coding'],True,True
ENSMUSG00000023018, 'protein_coding'],Smarcd1,False,True,"ENSG00000066117,ENSG00000108604","SMARCD1,SMARCD2","['protein_coding', 'protein_coding']","False,False","True,True",FBgn0025463,Bap60,['protein_coding'],True,True
ENSMUSG00000005481,['protein_coding',Ddx39,False,True,ENSG00000123136,DDX39A,['protein_coding'],True,False,FBgn0014189,Hel25E,['protein_coding'],True,True
ENSMUSG00000019432, 'protein_coding'],Ddx39b,False,True,ENSG00000123136,DDX39A,['protein_coding'],True,False,FBgn0014189,Hel25E,['protein_coding'],True,True
ENSMUSG00000031986,['protein_coding'],Sprtn,True,True,ENSG00000010072,SPRTN,['protein_coding'],True,False,FBgn0267977,mh,['protein_coding'],True,True
ENSMUSG00000038383,['protein_coding'],Pigu,True,True,ENSG00000101464,PIGU,['protein_coding'],True,True,FBgn0032052,PIG-U,['protein_coding'],True,True
ENSMUSG00000039828,['protein_coding'],Wdr70,True,False,ENSG00000082068,WDR70,['protein_coding'],False,True,FBgn0034908,CG5543,['protein_coding'],True,True
ENSMUSG00000069631,['protein_coding'],Strada,True,False,ENSG00000266173,STRADA,['protein_coding'],False,True,FBgn0046692,Stlk,['protein_coding'],True,True
ENSMUSG00000053604,['protein_coding'],Rpia,False,True,ENSG00000153574,RPIA,['protein_coding'],True,False,FBgn0050410,Rpi,['protein_coding'],True,True
ENSMUSG00000026848,['protein_coding'],Tor1b,False,True,ENSG00000136827,TOR1A,['protein_coding'],False,True,FBgn0025615,Torsin,['protein_coding'],True,True
ENSMUSG00000018401,['protein_coding'],Mtmr4,True,False,ENSG00000100330,MTMR3,['protein_coding'],False,True,FBgn0030735,CG3632,['protein_coding'],True,False
ENSMUSG00000025607,['protein_coding'],Copg2,True,False,ENSG00000158623,COPG2,['protein_coding'],False,True,FBgn0028968,gammaCOP,['protein_coding'],True,True
ENSMUSG00000021981,['protein_coding'],Cab39l,True,False,ENSG00000135932,CAB39,['protein_coding'],False,True,FBgn0017572,Mo25,['protein_coding'],True,True
ENSMUSG00000024145,['protein_coding'],Pigf,True,False,ENSG00000151665,PIGF,['protein_coding'],False,True,FBgn0036893,PIG-F,['protein_coding'],True,True
ENSMUSG00000039826,['protein_coding'],Trub2,False,True,ENSG00000167112,TRUB2,['protein_coding'],False,True,FBgn0033060,CG7849,['protein_coding'],True,True
ENSMUSG00000032396,['protein_coding'],Dis3l,True,False,ENSG00000166938,DIS3L,['protein_coding'],True,True,FBgn0039183,Dis3,['protein_coding'],True,False
ENSMUSG00000052133,['protein_coding'],Sema5b,False,True,ENSG00000143434,SEMA6C,['protein_coding'],False,True,"FBgn0284221,FBgn0016059,FBgn0011260,FBgn0264273,FBgn0011259","Sema5c,Sema1b,Sema2a,Sema2b,Sema1a","['protein_coding', 'protein_coding', 'protein_coding', 'protein_coding', 'protein_coding']","True,True,True,True,True","False,True,True,True,True"
ENSMUSG00000032212,['protein_coding',Sltm,True,False,ENSG00000160633,SAFB,['protein_coding'],False,True,FBgn0039229,Saf-B,['protein_coding'],True,True
ENSMUSG00000071054, 'protein_coding'],Safb,False,True,ENSG00000160633,SAFB,['protein_coding'],False,True,FBgn0039229,Saf-B,['protein_coding'],True,True
ENSMUSG00000024287,['protein_coding'],Thoc1,True,False,ENSG00000079134,THOC1,['protein_coding'],False,True,FBgn0037382,Hpr1,['protein_coding'],True,True
ENSMUSG00000055489,['protein_coding'],Ano5,True,True,ENSG00000146205,ANO7,['protein_coding'],False,True,FBgn0038721,subdued,['protein_coding'],True,True
ENSMUSG00000038482,['protein_coding'],Tfdp1,False,True,ENSG00000198176,TFDP1,['protein_coding'],True,True,FBgn0011763,Dp,['protein_coding'],True,True
ENSMUSG00000003234,['protein_coding'],Abcf3,True,False,ENSG00000161204,ABCF3,['protein_coding'],False,True,FBgn0036888,CG9330,['protein_coding'],True,True
ENSMUSG00000074212,['protein_coding'],Dnajb14,True,False,ENSG00000164031,DNAJB14,['protein_coding'],False,True,"FBgn0038195,FBgn0050156","CG3061,CG30156","['protein_coding', 'protein_coding']","True,True","True,True"
ENSMUSG00000032193,['protein_coding'],Ldlr,False,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","['protein_coding', 'protein_coding']","False,False","True,True","FBgn0000119,FBgn0051092,FBgn0261260,FBgn0053087,FBgn0066101","arr,LpR2,mgl,LRP1,LpR1","['protein_coding', 'protein_coding', 'protein_coding', 'protein_coding', 'protein_coding']","True,True,True,True,True","True,True,True,True,True"
ENSMUSG00000014355,['protein_coding'],Anapc1,False,True,ENSG00000153107,ANAPC1,['protein_coding'],False,True,FBgn0004391,shtd,['protein_coding'],True,True
ENSMUSG00000027603,['protein_coding'],Ggt7,True,False,ENSG00000100121,GGTLC2,['protein_coding'],True,False,"FBgn0030361,FBgn0030796,FBgn0025837","CG1492,CG4829,CG17636","['protein_coding', 'protein_coding', 'protein_coding']","True,True,True","False,False,True"
ENSMUSG00000020926,['protein_coding'],Adam11,True,True,"ENSG00000073670,ENSG00000148848,ENSG00000168615","ADAM11,ADAM12,ADAM9","['protein_coding', 'protein_coding', 'protein_coding']","False,True,False","True,True,True",FBgn0265140,Meltrin,['protein_coding'],True,True
ENSMUSG00000075318,['protein_coding',Scn2a,True,False,"ENSG00000196876,ENSG00000169432","SCN8A,SCN9A","['protein_coding', 'protein_coding']","False,False","True,True",FBgn0085434,NaCP60E,['protein_coding'],True,True
ENSMUSG00000023033, 'protein_coding'],Scn8a,True,False,"ENSG00000196876,ENSG00000169432","SCN8A,SCN9A","['protein_coding', 'protein_coding']","False,False","True,True",FBgn0085434,NaCP60E,['protein_coding'],True,True
ENSMUSG00000053137,['protein_coding'],Mapk11,False,True,ENSG00000112062,MAPK14,['protein_coding'],False,True,"FBgn0024846,FBgn0015765,FBgn0267339","p38b,p38a,p38c","['protein_coding', 'protein_coding', 'protein_coding']","True,True,True","True,True,True"
ENSMUSG00000022300,['protein_coding'],Dcaf13,False,True,ENSG00000164934,DCAF13,['protein_coding'],False,True,FBgn0036500,CG7275,['protein_coding'],True,True
ENSMUSG00000033065,['protein_coding',Pfkm,True,False,ENSG00000067057,PFKP,['protein_coding'],True,False,FBgn0003071,Pfk,['protein_coding'],True,True
ENSMUSG00000021196, 'protein_coding'],Pfkp,True,False,ENSG00000067057,PFKP,['protein_coding'],True,False,FBgn0003071,Pfk,['protein_coding'],True,True
ENSMUSG00000024833,['protein_coding'],Pola2,True,True,ENSG00000014138,POLA2,['protein_coding'],False,True,FBgn0005696,DNApol-alpha73,['protein_coding'],True,False
ENSMUSG00000034893,['protein_coding'],Cog3,False,True,ENSG00000136152,COG3,['protein_coding'],False,True,FBgn0031536,Cog3,['protein_coding'],True,True
ENSMUSG00000036636,['protein_coding'],Clcn7,False,True,ENSG00000103249,CLCN7,['protein_coding'],False,True,FBgn0033755,ClC-b,['protein_coding'],True,True
ENSMUSG00000018900,['protein_coding',Slc22a5,True,False,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","['protein_coding', 'protein_coding']","True,True","True,True","FBgn0035645,FBgn0035647,FBgn0259164,FBgn0034479,FBgn0033809","CG5592,CG10486,CG42269,CG8654,CG4630","['protein_coding', 'protein_coding', 'protein_coding', 'protein_coding', 'protein_coding']","True,True,False,True,True","True,True,True,True,False"
ENSMUSG00000020334, 'protein_coding',Slc22a4,False,True,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","['protein_coding', 'protein_coding']","True,True","True,True","FBgn0035645,FBgn0035647,FBgn0259164,FBgn0034479,FBgn0033809","CG5592,CG10486,CG42269,CG8654,CG4630","['protein_coding', 'protein_coding', 'protein_coding', 'protein_coding', 'protein_coding']","True,True,False,True,True","True,True,True,True,False"
ENSMUSG00000063652, 'protein_coding'],Slc22a21,True,False,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","['protein_coding', 'protein_coding']","True,True","True,True","FBgn0035645,FBgn0035647,FBgn0259164,FBgn0034479,FBgn0033809","CG5592,CG10486,CG42269,CG8654,CG4630","['protein_coding', 'protein_coding', 'protein_coding', 'protein_coding', 'protein_coding']","True,True,False,True,True","True,True,True,True,False"
ENSMUSG00000019505,['protein_coding'],Ubb,True,False,ENSG00000170315,UBB,['protein_coding'],True,False,"FBgn0086558,FBgn0003943,FBgn0029856","Ubi-p5E,Ubi-p63E,CG11700","['protein_coding', 'protein_coding', 'protein_coding']","True,True,True","True,True,True"
ENSMUSG00000022828,['protein_coding'],Gtf2e1,True,True,ENSG00000153767,GTF2E1,['protein_coding'],False,True,FBgn0015828,TfIIEalpha,['protein_coding'],True,True
ENSMUSG00000043257,['protein_coding'],Pigv,True,True,ENSG00000060642,PIGV,['protein_coding'],True,False,FBgn0265174,PIG-V,['protein_coding'],True,True
ENSMUSG00000024474,['protein_coding'],Ik,True,False,ENSG00000113141,IK,['protein_coding'],False,True,FBgn0037660,beag,['protein_coding'],True,True
ENSMUSG00000026854,['protein_coding',Usp20,True,False,ENSG00000136878,USP20,['protein_coding'],False,True,FBgn0033916,Usp20-33,['protein_coding'],True,True
ENSMUSG00000025437, 'protein_coding'],Usp33,False,True,ENSG00000136878,USP20,['protein_coding'],False,True,FBgn0033916,Usp20-33,['protein_coding'],True,True
ENSMUSG00000022881,['protein_coding'],Rfc4,True,False,ENSG00000163918,RFC4,['protein_coding'],True,False,FBgn0030871,CG8142,['protein_coding'],True,True
ENSMUSG00000028134,['protein_coding'],Ptbp2,True,True,ENSG00000117569,PTBP2,['protein_coding'],False,True,FBgn0011224,heph,['protein_coding'],True,True
ENSMUSG00000025509,['protein_coding'],Pnpla2,True,False,ENSG00000177666,PNPLA2,['protein_coding'],False,True,"FBgn0030607,FBgn0036449","dob,bmm","['protein_coding', 'protein_coding']","True,True","True,True"
ENSMUSG00000070291,['protein_coding'],Ddx43,True,True,ENSG00000080007,DDX43,['protein_coding'],False,True,FBgn0037549,CG7878,['protein_coding'],True,True
ENSMUSG00000040054,['protein_coding'],Baz2a,True,False,ENSG00000123636,BAZ2B,['protein_coding'],False,True,FBgn0033636,tou,['protein_coding'],True,False
ENSMUSG00000014748,['protein_coding'],Tex261,True,False,ENSG00000144043,TEX261,['protein_coding'],True,True,FBgn0034849,CG3500,['protein_coding'],True,True
ENSMUSG00000056211,['protein_coding',R3hdm1,True,False,ENSG00000179912,R3HDM2,['protein_coding'],False,True,FBgn0004875,enc,['protein_coding'],True,True
ENSMUSG00000025404, 'protein_coding'],R3hdm2,False,True,ENSG00000179912,R3HDM2,['protein_coding'],False,True,FBgn0004875,enc,['protein_coding'],True,True
ENSMUSG00000047193,['protein_coding'],Dync2h1,True,False,ENSG00000187240,DYNC2H1,['protein_coding'],False,True,FBgn0023096,btv,['protein_coding'],True,True
ENSMUSG00000026925,['protein_coding'],Inpp5e,True,False,ENSG00000148384,INPP5E,['protein_coding'],True,True,FBgn0036273,INPP5E,['protein_coding'],True,True
ENSMUSG00000036686,['protein_coding'],Cc2d1a,True,False,ENSG00000132024,CC2D1A,['protein_coding'],True,False,FBgn0261983,l(2)gd1,['protein_coding'],True,True
ENSMUSG00000000958,['protein_coding',Slc7a7,True,False,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","['protein_coding', 'protein_coding']","False,False","True,True","FBgn0030574,FBgn0002778,FBgn0039487,FBgn0039844,FBgn0028425","CG9413,mnd,gb,CG1607,JhI-21","['protein_coding', 'protein_coding', 'protein_coding', 'protein_coding', 'protein_coding']","True,True,True,False,True","True,True,True,True,True"
ENSMUSG00000040010, 'protein_coding'],Slc7a5,False,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","['protein_coding', 'protein_coding']","False,False","True,True","FBgn0030574,FBgn0002778,FBgn0039487,FBgn0039844,FBgn0028425","CG9413,mnd,gb,CG1607,JhI-21","['protein_coding', 'protein_coding', 'protein_coding', 'protein_coding', 'protein_coding']","True,True,True,False,True","True,True,True,True,True"
ENSMUSG00000032058,['protein_coding'],Ppp2r1b,True,False,ENSG00000105568,PPP2R1A,['protein_coding'],False,True,FBgn0260439,Pp2A-29B,['protein_coding'],True,True
ENSMUSG00000022020,['protein_coding'],Naa16,False,True,ENSG00000164134,NAA15,['protein_coding'],False,True,FBgn0031020,Naa15-16,['protein_coding'],True,True
ENSMUSG00000024393,['protein_coding'],Prrc2a,True,False,ENSG00000117523,PRRC2C,['protein_coding'],False,True,FBgn0261710,nocte,['protein_coding'],True,True
ENSMUSG00000005699,['protein_coding'],Pard6a,True,False,ENSG00000124171,PARD6B,['protein_coding'],False,True,FBgn0026192,par-6,['protein_coding'],True,True
ENSMUSG00000027709,['protein_coding'],Mccc1,False,True,ENSG00000078070,MCCC1,['protein_coding'],True,False,FBgn0039877,Mccc1,['protein_coding'],True,True
ENSMUSG00000025369,['protein_coding'],Smarcc2,True,False,ENSG00000139613,SMARCC2,['protein_coding'],False,True,FBgn0002783,mor,['protein_coding'],True,True
ENSMUSG00000024875,['protein_coding',Yif1a,True,False,ENSG00000174851,YIF1A,['protein_coding'],False,True,FBgn0039450,CG5484,['protein_coding'],True,True
ENSMUSG00000030588, 'protein_coding'],Yif1b,True,False,ENSG00000174851,YIF1A,['protein_coding'],False,True,FBgn0039450,CG5484,['protein_coding'],True,True
ENSMUSG00000021993,['protein_coding'],Mipep,True,False,ENSG00000027001,MIPEP,['protein_coding'],False,True,FBgn0033038,CG7791,['protein_coding'],True,True
ENSMUSG00000023868,['protein_coding'],Pde10a,True,True,ENSG00000138735,PDE5A,['protein_coding'],False,True,FBgn0085370,Pde11,['protein_coding'],True,True
ENSMUSG00000027185,['protein_coding'],Nat10,True,True,ENSG00000135372,NAT10,['protein_coding'],False,True,FBgn0027330,l(1)G0020,['protein_coding'],True,True
ENSMUSG00000025762,['protein_coding',Larp1b,True,False,ENSG00000155506,LARP1,['protein_coding'],False,True,FBgn0261618,larp,['protein_coding'],True,True
ENSMUSG00000037331, 'protein_coding'],Larp1,True,False,ENSG00000155506,LARP1,['protein_coding'],False,True,FBgn0261618,larp,['protein_coding'],True,True
ENSMUSG00000043131,['protein_coding'],Mob1a,False,True,"ENSG00000114978,ENSG00000173542","MOB1A,MOB1B","['protein_coding', 'protein_coding']","False,False","True,True",FBgn0038965,mats,['protein_coding'],True,True
ENSMUSG00000038909,['protein_coding',Kat7,True,True,"ENSG00000136504,ENSG00000083168","KAT7,KAT6A","['protein_coding', 'protein_coding']","False,False","True,True","FBgn0034975,FBgn0028387","enok,chm","['protein_coding', 'protein_coding']","True,True","True,True"
ENSMUSG00000021767, 'protein_coding'],Kat6b,False,True,"ENSG00000136504,ENSG00000083168","KAT7,KAT6A","['protein_coding', 'protein_coding']","False,False","True,True","FBgn0034975,FBgn0028387","enok,chm","['protein_coding', 'protein_coding']","True,True","True,True"
ENSMUSG00000022801,['protein_coding'],Lrch3,False,True,ENSG00000130224,LRCH2,['protein_coding'],False,True,FBgn0032633,Lrch,['protein_coding'],True,True
ENSMUSG00000027710,['protein_coding',Acad9,False,True,ENSG00000072778,ACADVL,['protein_coding'],True,False,"FBgn0086712,FBgn0034432","Egm,CG7461","['protein_coding', 'protein_coding']","True,True","True,True"
ENSMUSG00000018574, 'protein_coding'],Acadvl,False,True,ENSG00000072778,ACADVL,['protein_coding'],True,False,"FBgn0086712,FBgn0034432","Egm,CG7461","['protein_coding', 'protein_coding']","True,True","True,True"
ENSMUSG00000052423,['protein_coding'],B4galt3,False,True,ENSG00000117411,B4GALT2,['protein_coding'],False,True,FBgn0027538,beta4GalNAcTA,['protein_coding'],True,True
ENSMUSG00000004270,['protein_coding'],Lpcat3,True,False,ENSG00000111684,LPCAT3,['protein_coding'],True,True,FBgn0026630,nes,['protein_coding'],True,True
ENSMUSG00000032405,['protein_coding',Pias1,True,False,ENSG00000131788,PIAS3,['protein_coding'],False,True,FBgn0003612,Su(var)2-10,['protein_coding'],True,True
ENSMUSG00000025423, 'protein_coding'],Pias2,True,False,ENSG00000131788,PIAS3,['protein_coding'],False,True,FBgn0003612,Su(var)2-10,['protein_coding'],True,True
ENSMUSG00000025898,['protein_coding'],Cwf19l2,False,True,ENSG00000152404,CWF19L2,['protein_coding'],False,True,FBgn0030655,CG9213,['protein_coding'],True,False
ENSMUSG00000021771,['protein_coding',Vdac2,True,False,ENSG00000078668,VDAC3,['protein_coding'],True,False,"FBgn0004363,FBgn0069354","porin,Porin2","['protein_coding', 'protein_coding']","True,True","True,True"
ENSMUSG00000008892, 'protein_coding',Vdac3,True,False,ENSG00000078668,VDAC3,['protein_coding'],True,False,"FBgn0004363,FBgn0069354","porin,Porin2","['protein_coding', 'protein_coding']","True,True","True,True"
ENSMUSG00000075053, 'unprocessed_pseudogene'],Vdac3-ps1,True,False,ENSG00000078668,VDAC3,['protein_coding'],True,False,"FBgn0004363,FBgn0069354","porin,Porin2","['protein_coding', 'protein_coding']","True,True","True,True"
ENSMUSG00000027475,['protein_coding',Kif3b,True,False,ENSG00000131437,KIF3A,['protein_coding'],False,True,"FBgn0004381,FBgn0004380","Klp68D,Klp64D","['protein_coding', 'protein_coding']","True,True","True,True"
ENSMUSG00000018395, 'protein_coding'],Kif3a,True,False,ENSG00000131437,KIF3A,['protein_coding'],False,True,"FBgn0004381,FBgn0004380","Klp68D,Klp64D","['protein_coding', 'protein_coding']","True,True","True,True"
ENSMUSG00000015656,['protein_coding',Hspa8,False,True,ENSG00000126803,HSPA2,['protein_coding'],True,True,"FBgn0001216,FBgn0001217,FBgn0266599,FBgn0001230","Hsc70-1,Hsc70-2,Hsc70-4,Hsp68","['protein_coding', 'protein_coding', 'protein_coding', 'protein_coding']","True,True,True,True","True,True,True,True"
ENSMUSG00000059970, 'protein_coding'],Hspa2,True,False,ENSG00000126803,HSPA2,['protein_coding'],True,True,"FBgn0001216,FBgn0001217,FBgn0266599,FBgn0001230","Hsc70-1,Hsc70-2,Hsc70-4,Hsp68","['protein_coding', 'protein_coding', 'protein_coding', 'protein_coding']","True,True,True,True","True,True,True,True"
ENSMUSG00000032621,['protein_coding',Srek1,True,True,"ENSG00000153914,ENSG00000116754","SREK1,SRSF11","['protein_coding', 'protein_coding']","False,True","True,True",FBgn0024285,Srp54,['protein_coding'],True,True
ENSMUSG00000055436, 'protein_coding'],Srsf11,False,True,"ENSG00000153914,ENSG00000116754","SREK1,SRSF11","['protein_coding', 'protein_coding']","False,True","True,True",FBgn0024285,Srp54,['protein_coding'],True,True
ENSMUSG00000031119,['protein_coding',Gpc4,False,True,ENSG00000213420,GPC2,['protein_coding'],True,False,FBgn0041604,dlp,['protein_coding'],True,True
ENSMUSG00000029510, 'protein_coding'],Gpc2,True,False,ENSG00000213420,GPC2,['protein_coding'],True,False,FBgn0041604,dlp,['protein_coding'],True,True
ENSMUSG00000027671,['protein_coding'],Actl6a,True,False,ENSG00000136518,ACTL6A,['protein_coding'],False,True,FBgn0025716,Bap55,['protein_coding'],True,True
ENSMUSG00000026914,['protein_coding'],Psmd14,False,True,ENSG00000115233,PSMD14,['protein_coding'],False,True,FBgn0028694,Rpn11,['protein_coding'],True,True
ENSMUSG00000041313,['protein_coding',Slc7a1,False,True,ENSG00000139514,SLC7A1,['protein_coding'],True,True,"FBgn0037203,FBgn0036493,FBgn0036764","slif,CG7255,CG5535","['protein_coding', 'protein_coding', 'protein_coding']","True,True,True","True,True,True"
ENSMUSG00000031596, 'protein_coding'],Slc7a2,False,True,ENSG00000139514,SLC7A1,['protein_coding'],True,True,"FBgn0037203,FBgn0036493,FBgn0036764","slif,CG7255,CG5535","['protein_coding', 'protein_coding', 'protein_coding']","True,True,True","True,True,True"
ENSMUSG00000024598,['protein_coding'],Fbn2,False,True,ENSG00000138829,FBN2,['protein_coding'],True,True,"FBgn0035798,FBgn0053196","frac,dpy","['protein_coding', 'protein_coding']","False,True","True,True"
ENSMUSG00000006205,['protein_coding'],Htra1,False,True,ENSG00000115317,HTRA2,['protein_coding'],False,True,FBgn0038233,HtrA2,['protein_coding'],True,True
ENSMUSG00000018796,['protein_coding',Acsl1,True,False,ENSG00000164398,ACSL6,['protein_coding'],True,True,FBgn0036821,CG3961,['protein_coding'],True,False
ENSMUSG00000020333, 'protein_coding'],Acsl6,True,False,ENSG00000164398,ACSL6,['protein_coding'],True,True,FBgn0036821,CG3961,['protein_coding'],True,False
ENSMUSG00000028049,['protein_coding'],Scamp3,True,False,ENSG00000085365,SCAMP1,['protein_coding'],False,True,FBgn0040285,Scamp,['protein_coding'],True,True
ENSMUSG00000030170,['protein_coding'],Wnt5b,False,True,ENSG00000134245,WNT2B,['protein_coding'],False,True,"FBgn0010194,FBgn0004360","Wnt5,Wnt2","['protein_coding', 'protein_coding']","True,True","True,False"
ENSMUSG00000041079,['protein_coding'],Rwdd2b,False,True,ENSG00000156253,RWDD2B,['protein_coding'],False,True,FBgn0050338,CG30338,['protein_coding'],True,True
ENSMUSG00000026277,['protein_coding'],Stk25,True,True,ENSG00000115694,STK25,['protein_coding'],True,True,FBgn0266465,GckIII,['protein_coding'],True,True
ENSMUSG00000023032,['protein_coding'],Slc4a8,True,False,"ENSG00000033867,ENSG00000050438","SLC4A7,SLC4A8","['protein_coding', 'protein_coding']","False,True","True,True","FBgn0036043,FBgn0259111","CG8177,Ndae1","['protein_coding', 'protein_coding']","True,True","True,False"
ENSMUSG00000063801,['protein_coding'],Ap3s2,False,True,ENSG00000157823,AP3S2,['protein_coding'],False,True,FBgn0003008,or,['protein_coding'],True,True
ENSMUSG00000001440,['protein_coding'],Kpnb1,False,True,ENSG00000108424,KPNB1,['protein_coding'],True,True,FBgn0262743,Fs(2)Ket,['protein_coding'],True,True
ENSMUSG00000032382,['protein_coding'],Snx1,True,False,"ENSG00000028528,ENSG00000205302","SNX1,SNX2","['protein_coding', 'protein_coding']","False,False","True,True",FBgn0031534,Snx1,['protein_coding'],True,True
ENSMUSG00000027411,['protein_coding'],Vps16,False,True,ENSG00000215305,VPS16,['protein_coding'],False,True,FBgn0285911,Vps16A,['protein_coding'],True,True
ENSMUSG00000022394,['protein_coding'],L3mbtl2,True,True,ENSG00000011258,MBTD1,['protein_coding'],True,True,FBgn0032475,Sfmbt,['protein_coding'],True,True
ENSMUSG00000020549,['protein_coding'],Elac2,False,True,ENSG00000006744,ELAC2,['protein_coding'],False,True,FBgn0028426,RNaseZ,['protein_coding'],True,False
ENSMUSG00000010517,['protein_coding'],Faf1,True,False,ENSG00000185104,FAF1,['protein_coding'],True,False,FBgn0034068,casp,['protein_coding'],True,True
ENSMUSG00000002846,['protein_coding'],Timmdc1,False,True,ENSG00000113845,TIMMDC1,['protein_coding'],True,True,FBgn0010340,140up,['protein_coding'],True,True
ENSMUSG00000028673,['protein_coding'],Fuca1,True,False,ENSG00000001036,FUCA2,['protein_coding'],False,True,FBgn0285958,Fuca,['protein_coding'],True,True
ENSMUSG00000036698,['protein_coding',Ago2,False,True,ENSG00000134698,AGO4,['protein_coding'],True,False,FBgn0262739,AGO1,['protein_coding'],True,True
