Gene ID,Gene Name,Reference,Strand,Start,End,Coverage,FPKM,TPM
FBgn0262510,CR43080,2L,+,454754,455313,5.320585,6.179848,8.683897
FBgn0031258,CG4297,2L,-,458876,472200,0.218227,0.25347,0.356175
FBgn0027592,MED15,2L,+,473013,476170,11.89429,13.815193,19.413052
FBgn0003963,ush,2L,+,476220,540560,0.285643,0.43833,0.615939
FBgn0043364,cbt,2L,-,476446,479688,0.348751,0.405074,0.569208
FBgn0267991,lncRNA:CR46258,2L,+,490835,492649,0,0,0
FBgn0267992,lncRNA:CR46259,2L,-,500873,502236,3.782258,4.393085,6.173145
FBgn0010602,lwr,2L,-,540599,542580,14.877684,29.054634,40.827457
FBgn0031260,Spp,2L,-,542786,544653,24.165899,28.068642,39.44194
FBgn0005660,Ets21C,2L,-,544925,552923,0.882111,1.416026,1.989794
FBgn0031261,nAChRbeta3,2L,+,545129,547096,0.177822,0.20654,0.290229
FBgn0260933,rempA,2L,-,553742,560310,3.620162,4.581714,6.438206
FBgn0031263,Tspo,2L,+,559612,560523,6.822305,7.924093,11.134903
FBgn0031264,CG11835,2L,-,560568,563819,3.302275,4.486808,6.304845
FBgn0031265,CG2794,2L,+,564163,566472,47.073399,54.675652,76.830009
FBgn0021874,Nle,2L,-,566366,568121,5.016067,5.826151,8.186884
FBgn0031266,Sf3b1,2L,+,568340,572907,2.350667,2.855803,4.012962
FBgn0031267,Ipk2,2L,-,573033,574264,0.875,1.016311,1.428116
FBgn0031268,cold,2L,+,574291,575734,4.02897,5.111549,7.182728
FBgn0013323,Ptth,2L,-,575711,576896,4.81955,6.388231,8.976717
FBgn0023489,Pph13,2L,+,577486,579549,0.153191,0.177931,0.250028
FBgn0010323,Gsc,2L,-,583540,594685,0.281734,0.357989,0.503044
FBgn0267827,lncRNA:CR46148,2L,+,588048,588784,0,0,0
FBgn0031270,CG13689,2L,+,602813,604430,0,0,0
FBgn0263657,lncRNA:CR43648,2L,+,605914,606412,4.677355,5.432738,7.634061
FBgn0263658,lncRNA:CR43649,2L,-,608340,609134,3.23522,3.757701,5.280306
FBgn0040106,lectin-21Cb,2L,-,620298,621201,0,0,0
FBgn0266032,lncRNA:CR44797,2L,+,623107,623665,0,0,0
FBgn0266033,lncRNA:CR44798,2L,-,623900,624323,0,0,0
FBgn0040107,lectin-21Ca,2L,+,624617,625556,0.273404,0.317558,0.446231
FBgn0031273,CG2839,2L,+,625652,628200,0.059631,0.069261,0.097326
FBgn0266909,lncRNA:CR45369,2L,+,628729,629052,0,0,0
FBgn0284247,ds,2L,-,640013,714983,0.565798,0.657173,0.923457
FBgn0266323,lncRNA:CR44988,2L,+,710568,715307,1.081652,1.256337,1.765399
FBgn0267993,lncRNA:CR46260,2L,-,721985,724833,3.184267,3.698519,5.197145
FBgn0011244,Hsp60B,2L,+,728362,730564,700.567871,813.708069,1143.419312
FBgn0026438,Eaat2,2L,-,737212,744395,0.192192,0.262516,0.368886
FBgn0031275,GABA-B-R3,2L,+,749945,762399,1.038496,1.804383,2.535512
FBgn0265825,lncRNA:CR44614,2L,+,772514,773093,10.537931,12.239785,17.199295
FBgn0031276,CG12506,2L,+,773547,774017,58.229298,67.633202,95.037903
FBgn0040725,CG13946,2L,+,776536,776941,38.529556,44.751999,62.885326
FBgn0031277,CG13947,2L,+,779173,779655,15.333333,17.809633,25.026024
FBgn0041250,Gr21a,2L,+,780482,782885,0.223423,0.259505,0.364656
FBgn0031279,CG3544,2L,+,784336,788776,54.086029,111.029907,156.018768
FBgn0000442,Pkg21D,2L,-,786153,790798,0,0,0
FBgn0051658,Nnf1b,2L,+,810577,811531,1.819923,2.113837,2.970355
FBgn0086130,Dbp21E2,2L,+,811584,813380,0.206697,0.240078,0.337357
FBgn0031281,Saf6,2L,-,813314,815950,0.964404,1.120153,1.574035
FBgn0031282,Pex12,2L,+,815993,818096,0.432034,0.501807,0.705137
FBgn0031283,CG15880,2L,-,816994,817950,0,0,0
FBgn0031284,PGAP2,2L,-,818079,819508,0,0,0
FBgn0015621,Clp,2L,+,819964,821209,3.549759,4.123037,5.793675
FBgn0031285,CG3662,2L,+,821289,824337,97.126091,201.473755,283.110138
FBgn0031286,CG3862,2L,-,824329,825861,0.630144,0.731911,1.028478
FBgn0010583,dock,2L,+,825969,833241,18.784203,21.817812,30.658298
FBgn0020304,drongo,2L,-,833584,851071,13.964792,24.74786,34.775589
FBgn0264869,lncRNA:CR44060,2L,+,850702,851163,1.114121,1.294049,1.818393
FBgn0031287,CG4291,2L,-,851251,852730,9.919847,11.52188,16.1905
FBgn0020545,kraken,2L,+,852768,854539,24.65682,30.486509,42.83952
FBgn0031288,CG13949,2L,+,855337,856639,8.559594,11.211942,15.754976
FBgn0266884,lncRNA:CR45345,2L,+,857403,860079,0.177437,0.206093,0.289601
FBgn0262177,mir-375,2L,+,857542,857632,0,0,0
FBgn0031289,CG13950,2L,+,860197,861806,1.951055,2.266146,3.18438
FBgn0029095,aru,2L,-,861849,868354,10.278084,13.590984,19.097996
FBgn0086031,snoRNA:Me28S-U1230,2L,-,865366,865493,0.515625,0.598897,0.841568
FBgn0020305,dbe,2L,-,868673,869857,4.475105,5.197824,7.303962
FBgn0053526,PNUTS,2L,+,870465,877038,1.879698,3.042085,4.274725
FBgn0031292,CG15824,2L,-,877172,885141,34.492363,46.73003,65.664848
FBgn0002936,ninaA,2L,+,877302,878270,0,0,0
FBgn0002563,Lsp1beta,2L,+,898500,901316,0.386322,0.473517,0.665384
FBgn0003916,snRNA:U1:21D,2L,-,901491,901654,0,0,0
FBgn0266799,lncRNA:CR45261,2L,+,904029,904347,1.125392,1.30714,1.836788
FBgn0264870,lncRNA:CR44061,2L,-,912981,913305,0.803077,0.932772,1.310728
FBgn0046113,GluRIIC,2L,+,914086,917805,3.354194,3.895889,5.474488
FBgn0028481,CG4341,2L,+,922793,958098,0.783173,0.909654,1.278242
FBgn0266036,lncRNA:CR44801,2L,-,987807,991300,0.935697,1.191598,1.674429
FBgn0031294,IA-2,2L,-,1008378,1048053,0.536756,0.879077,1.235276
FBgn0031295,CG4375,2L,-,1026105,1026897,696.139954,808.565125,1136.192383
FBgn0031296,CG4415,2L,+,1037246,1038685,9.740501,12.253442,17.218487
FBgn0003310,S,2L,-,1049674,1077815,4.075682,7.352554,10.331779
FBgn0015905,ast,2L,+,1077948,1080803,11.605465,13.479723,18.941652
FBgn0031298,Atg4a,2L,+,1080911,1085380,0.818554,1.867607,2.624354
FBgn0031299,CG4629,2L,-,1083091,1102504,1.288905,1.497061,2.103663
FBgn0261938,mtRNApol,2L,-,1103254,1108373,3.797796,4.411132,6.198505
FBgn0031301,CG14339,2L,+,1108540,1112694,15.664727,18.194548,25.566904
FBgn0031302,CG14340,2L,+,1112941,1114138,3.158252,3.668303,5.154685
FBgn0016926,Pino,2L,-,1114654,1128953,20.573689,29.817606,41.899578
FBgn0031304,CG4552,2L,+,1129316,1132411,59.6157,69.243507,97.300697
FBgn0031305,Iris,2L,-,1132332,1134098,0,0,0
FBgn0031306,CG4577,2L,+,1134693,1141156,0,0,0
FBgn0267281,lncRNA:CR45717,2L,+,1142869,1143216,0,0,0
FBgn0031307,MFS3,2L,+,1143201,1147395,0,0,0
FBgn0283525,l(2)10685,2L,+,1147822,1149449,0.27887,0.323907,0.455153
FBgn0031309,Tfb4,2L,-,1149445,1150677,2.272272,2.639239,3.708648
FBgn0031310,Vps29,2L,+,1150766,1151764,22.283594,25.882347,36.36977
FBgn0261458,capt,2L,-,1151678,1158262,6.001141,10.958821,15.399292
FBgn0264267,asRNA:CR43767,2L,-,1158576,1159355,0.205553,0.238749,0.33549
FBgn0031312,Tango14,2L,+,1158661,1160220,1.335431,1.5511,2.1796
FBgn0031313,CG5080,2L,-,1160290,1163886,0.378678,0.439834,0.618053
FBgn0031314,IntS14,2L,+,1164443,1166425,1.154805,1.341304,1.884794
FBgn0031315,CG14341,2L,+,1166506,1167211,3.603023,4.184904,5.88061
FBgn0024314,Plap,2L,-,1167172,1170365,67.427429,82.264801,115.598167
FBgn0051922,CG31922,2L,+,1170181,1170789,0,0,0
FBgn0031317,Charon,2L,-,1170753,1172805,0.881177,1.023485,1.438197
FBgn0031318,CG4887,2L,+,1173009,1177589,1.420269,1.649639,2.318067
FBgn0031319,CG4896,2L,+,1177690,1182454,8.337136,11.712089,16.457781
FBgn0031320,CG5126,2L,-,1182297,1184020,1.129148,1.311503,1.842919
FBgn0031321,Tgt,2L,+,1184065,1185698,1.358238,1.57759,2.216824
FBgn0031322,CG5001,2L,+,1185757,1196807,0.57082,2.548578,3.581252
FBgn0031323,CG5139,2L,-,1198465,1199266,159.073563,184.763611,259.629059
FBgn0263081,CG43349,2L,+,1200205,1200663,0,0,0
FBgn0266885,lncRNA:CR45346,2L,-,1214649,1215293,14.182946,16.473461,23.148441
FBgn0262944,lncRNA:CR43263,2L,-,1216854,1217785,63.014423,73.191116,102.847862
FBgn0259229,CG42329,2L,+,1219293,1229802,0,0,0
FBgn0031327,CG5397,2L,+,1240036,1243018,1.099897,1.277528,1.795177
FBgn0041097,robo3,2L,+,1256417,1296596,0.135708,0.157625,0.221493
FBgn0031331,CG5440,2L,+,1334128,1335514,9.076055,10.541819,14.81332
FBgn0053922,CG33922,2L,-,1343443,1344171,0.558659,0.648881,0.911805
FBgn0026141,Cdlc2,2L,+,1344400,1345135,420.474182,547.224915,768.958252
FBgn0266358,lncRNA:CR45006,2L,-,1345965,1346331,2.754768,3.199657,4.496145
FBgn0031332,CG5556,2L,-,1351728,1352868,132.936401,166.200211,233.543839
FBgn0031333,CG5561,2L,-,1352970,1354109,182.938995,212.483246,298.580597
FBgn0051924,CG31924,2L,-,1354101,1354919,101.044998,117.363556,164.918793
FBgn0031335,CG5565,2L,-,1354911,1355924,258.931763,300.748688,422.61084
FBgn0051659,CG31659,2L,-,1358925,1359790,2.277698,2.823524,3.967604
FBgn0053126,NLaz,2L,-,1359837,1361821,14.37859,20.925962,29.405075
FBgn0031337,CG14346,2L,+,1367996,1369050,81.413429,105.220734,147.855743
FBgn0266203,lncRNA:CR44898,2L,-,1380083,1381326,0.181655,0.210992,0.296485
FBgn0002543,robo2,2L,-,1380086,1420453,0.897291,1.042202,1.464497
FBgn0266202,asRNA:CR44897,2L,+,1381211,1382796,3.287787,3.818758,5.366103
FBgn0263320,CG43401,2L,+,1428474,1429159,0,0,0
FBgn0003926,snRNA:U3,2L,+,1432711,1432921,1.042654,1.21104,1.701749
FBgn0263321,CG43402,2L,+,1442627,1443832,31.056385,39.297871,55.22121
FBgn0051661,CG31661,2L,+,1497243,1498583,0,0,0
FBgn0031343,CG18131,2L,-,1498455,1500608,117.671219,155.507111,218.51796
FBgn0031344,CG7420,2L,-,1500784,1502904,0.461367,0.536559,0.75397
FBgn0264873,asRNA:CR44064,2L,+,1500830,1504204,2.827913,3.284615,4.615528
FBgn0031345,CG18132,2L,-,1516795,1517478,184.323105,214.090897,300.839661
FBgn0001174,halo,2L,-,1517533,1518148,0.123377,0.143302,0.201368
FBgn0026398,Or22a,2L,+,1520491,1522156,0.330049,0.383351,0.538684
FBgn0261509,haf,2L,+,1555129,1608404,0,0,0
FBgn0031347,CG10869,2L,-,1584866,1587155,599.275696,696.057434,978.097107
FBgn0051935,CG31935,2L,-,1594822,1611157,7.808699,9.069787,12.744828
FBgn0031351,CG14352,2L,+,1611410,1612576,1.74466,2.026419,2.847516
FBgn0021906,RFeSP,2L,-,1612429,1614160,89.917709,137.206879,192.802551
FBgn0265814,lncRNA:CR44603,2L,-,1618637,1626021,0,0,0
FBgn0086758,chinmo,2L,+,1651258,1704682,3.108061,7.240922,10.174913
FBgn0011570,cpb,2L,+,1704902,1706962,3.117359,4.588659,6.447965
FBgn0031356,CG17660,2L,-,1707132,1710421,9.694951,11.260666,15.823441
FBgn0266311,asRNA:CR44976,2L,+,1708452,1709244,0,0,0
FBgn0031357,mRpL48,2L,+,1710462,1711465,2.834466,3.292226,4.626223
FBgn0086698,frtz,2L,-,1711302,1715851,0.771667,0.89629,1.259462
FBgn0031359,Rim2,2L,-,1716244,1724388,1.452214,1.701527,2.390979
FBgn0000579,Eno,2L,-,1724768,1729636,106.976761,195.322357,274.466187
FBgn0260648,Rrp40,2L,+,1728732,1729762,3.32243,4.71401,6.624107
FBgn0031360,CG31937,2L,+,1729887,1731070,3.32348,3.860215,5.424358
FBgn0031361,CG17652,2L,-,1731033,1732356,0,0,0
FBgn0264494,CG17646,2L,+,1732524,1750612,0.781146,1.907423,2.680304
FBgn0027597,CG17712,2L,-,1750687,1752122,6.450557,7.492309,10.528161
FBgn0031364,CG17648,2L,+,1752308,1752848,56.075787,65.131912,91.523094
FBgn0041249,Gr22f,2L,-,1755253,1756451,3.327177,3.864509,5.430392
FBgn0031365,CG17650,2L,-,1758286,1759093,17.204121,19.98255,28.079395
FBgn0045498,Gr22d,2L,-,1789141,1790361,0,0,0
FBgn0265138,Gr22c,2L,-,1790617,1791823,7.337674,8.522693,11.976053
FBgn0045500,Gr22b,2L,-,1792057,1793268,0.246339,0.286122,0.402058
FBgn0051933,CG31933,2L,-,1821256,1823331,22.025047,25.582047,35.947788
FBgn0051664,CG31664,2L,-,1824172,1826500,0,0,0
FBgn0031367,c-cup,2L,-,1831627,1832565,176.761368,205.307953,288.497894
FBgn0262275,mir-2280,2L,-,1831685,1831799,0.047545,0.055223,0.0776
FBgn0051665,wry,2L,+,1836538,1858550,0,0,0
FBgn0264882,lncRNA:CR44073,2L,-,1839494,1839896,19.384615,22.515188,31.63825
FBgn0264883,lncRNA:CR44074,2L,-,1840070,1840808,0.530702,0.616409,0.866176
FBgn0051663,CG31663,2L,-,1858609,1881480,5.808422,6.748224,9.482576
FBgn0031372,CG7295,2L,+,1869803,1871032,0,0,0
FBgn0264884,lncRNA:CR44075,2L,+,1872693,1873511,7.785104,9.042381,12.706318
FBgn0031373,CG15358,2L,-,1882008,1883185,0.129032,0.190041,0.267045
FBgn0031374,Wdr62,2L,+,1884622,1944289,3.244347,18.54249,26.055834
FBgn0011859,tRNA:Gly-GCC-1-1,2L,-,1938089,1938159,0,0,0
FBgn0040719,CG15357,2L,-,1945150,1945709,38.482143,51.608822,72.520515
FBgn0053673,CG33673,2L,-,1945815,1946728,4.843359,5.625551,7.905002
FBgn0031375,erm,2L,-,1950239,1970362,0.340626,0.426759,0.59968
FBgn0051942,tRNA:Arg-TCT-2-1,2L,+,1965426,1965498,0,0,0
FBgn0267972,Der-1,2L,+,1973957,1975413,28.693483,38.075352,53.50333
FBgn0031377,CG15356,2L,-,1975463,1980755,0.817653,0.949702,1.334518
FBgn0031378,CG15362,2L,+,1981176,1982099,80.307503,93.276993,131.072449
FBgn0031379,CG7289,2L,+,1982217,1984514,36.057579,41.880802,58.850735
FBgn0001125,Got2,2L,-,1984512,1987758,114.68129,148.004105,207.974762
FBgn0031381,Npc2a,2L,+,1988290,1988940,21.712749,25.219311,35.438076
FBgn0053543,CG33543,2L,-,1997102,2006313,0,0,0
FBgn0263441,asRNA:CR43464,2L,+,2000058,2003935,0.79812,0.927015,1.302637
FBgn0040718,CG15353,2L,-,2006763,2007193,0.96589,1.121879,1.57646
FBgn0267276,asRNA:CR45712,2L,+,2006867,2007688,0.564402,0.655552,0.921179
FBgn0040717,Nplp4,2L,+,2008414,2009072,0.547348,0.635744,0.893344
FBgn0051943,tRNA:Gln-CTG-2-2,2L,+,2009155,2009226,0.736111,0.854991,1.20143
FBgn0051944,tRNA:Gln-CTG-2-3,2L,+,2009538,2009609,1.611111,1.871302,2.629546
FBgn0031384,CG4238,2L,+,2009859,2030788,2.790329,16.407976,23.056421
FBgn0051939,tRNA:Gln-CTG-2-4,2L,-,2010646,2010717,0,0,0
FBgn0051940,tRNA:Gln-CTG-3-1,2L,-,2010869,2010940,0,0,0
FBgn0051669,tRNA:Gln-CTG-2-5,2L,-,2013179,2013250,0,0,0
FBgn0259192,CG42296,2L,-,2032519,2036041,0,0,0
FBgn0259230,lectin-22C,2L,-,2036409,2037265,0.168028,0.195164,0.274244
FBgn0003557,Su(dx),2L,+,2037714,2044372,1.277519,1.934907,2.718923
FBgn0266836,lncRNA:CR45298,2L,-,2044517,2045381,0.175723,0.204102,0.286803
FBgn0028952,Kebab,2L,+,2045494,2048054,12.233928,14.567942,20.470812
FBgn0053516,dpr3,2L,-,2058790,2109878,11.045886,12.829773,18.028345
FBgn0031388,CG12674,2L,+,2079919,2081286,13.727646,15.944632,22.405331
FBgn0266043,lncRNA:CR44808,2L,+,2082031,2082347,0.40694,0.47266,0.66418
FBgn0264864,lncRNA:CR44055,2L,+,2083362,2084419,18.672962,21.688604,30.47674
FBgn0031389,CG4259,2L,-,2127309,2129237,0.685592,1.542238,2.167147
FBgn0004507,GlyP,2L,+,2130813,2137296,6.150445,7.768898,10.916824
FBgn0031390,tho2,2L,-,2137350,2145187,4.207808,4.888258,6.86896
FBgn0031391,CG11723,2L,-,2145297,2147275,1.523335,1.976656,2.777589
FBgn0027509,TBCD,2L,+,2147518,2151664,8.831203,10.257423,14.41369
FBgn0031392,AIF,2L,+,2151754,2155389,115.128632,146.031372,205.202682
FBgn0031393,CG15382,2L,+,2155753,2156790,2.640674,3.067137,4.309929
FBgn0000097,aop,2L,-,2156484,2178754,0.334158,1.095901,1.539956
FBgn0265017,lncRNA:CR43751,2L,+,2181962,2185495,0,0,0
FBgn0264875,lncRNA:CR44066,2L,-,2186975,2187970,0.678715,0.788326,1.107753
FBgn0051946,tRNA:Arg-TCT-3-1,2L,+,2187007,2187079,0,0,0
FBgn0266828,lncRNA:CR45290,2L,-,2188620,2189405,0,0,0
FBgn0031395,CG10874,2L,-,2189914,2192386,2.764187,3.213572,4.515698
FBgn0264874,asRNA:CR44065,2L,+,2190191,2191272,0,0,0
FBgn0085201,CG34172,2L,-,2192525,2197912,1.443266,1.825403,2.565049
FBgn0051668,CG31668,2L,-,2203721,2206166,0.142639,0.165675,0.232806
FBgn0053124,CG33124,2L,-,2206525,2209102,0,0,0
FBgn0031397,CG15385,2L,-,2209574,2212571,0,0,0
FBgn0010288,Uch,2L,-,2212738,2214211,266.711548,309.784882,435.308472
FBgn0085203,CG34174,2L,+,2214266,2215167,0,0,0
FBgn0031398,CG10880,2L,-,2214972,2216311,0.550973,0.639954,0.899261
FBgn0040715,CG15386,2L,-,2216503,2217246,14.697539,17.071161,23.988325
FBgn0259717,CG42371,2L,-,2216503,2217246,0,0,0
FBgn0031399,mio,2L,+,2217290,2220625,11.773005,13.67432,19.215099
FBgn0031401,papi,2L,+,2220748,2225544,53.360447,96.471214,135.560944
FBgn0031403,CG15387,2L,-,2225545,2226294,9.29293,10.793718,15.167289
FBgn0267378,sau,2L,+,2226342,2231099,32.156116,40.312252,56.64661
FBgn0264945,asRNA:CR44114,2L,-,2226753,2227604,1.249931,1.451792,2.040052
FBgn0262126,Sec24CD,2L,-,2231106,2236844,4.468407,6.029446,8.472552
FBgn0264946,asRNA:CR44115,2L,+,2236347,2237022,0,0,0
FBgn0051679,Tengl3,2L,-,2237076,2238251,131.171448,152.355362,214.089127
FBgn0052463,Tengl2,2L,-,2238304,2239384,30.712181,35.672131,50.126339
FBgn0051682,Tengl1,2L,-,2239414,2240593,150.708481,175.047592,245.976151
FBgn0264979,CG4267,2L,+,2242378,2245274,0.434402,0.504557,0.709001
FBgn0262106,lncRNA:CR42859,2L,+,2245230,2247383,24.047119,83.03363,116.678513
FBgn0266022,lncRNA:CR44787,2L,-,2257635,2258000,2.254098,2.61813,3.678986
FBgn0266023,lncRNA:CR44788,2L,-,2259396,2259730,2.579104,2.995624,4.209438
FBgn0031407,CG4270,2L,+,2263442,2264241,168.824677,208.594055,293.115509
FBgn0054049,CG34049,2L,-,2264231,2265321,25.959471,30.151871,42.369286
FBgn0250841,CG17242,2L,-,2268106,2269140,0.550725,0.786288,1.104888
FBgn0264084,lncRNA:CR43753,2L,-,2271319,2279714,4.18337,24.217283,34.030025
FBgn0264085,lncRNA:CR43754,2L,-,2283705,2285003,0,0,0
FBgn0031409,CG4271,2L,+,2285163,2285926,0.151832,0.176353,0.24781
FBgn0051681,CG31681,2L,-,2285925,2286873,0.320337,0.372071,0.522832
FBgn0261523,CG42658,2L,-,2287025,2287933,19.228758,22.334162,31.383873
FBgn0031410,CG17237,2L,-,2288503,2289416,304.90918,354.151367,497.652069
FBgn0028570,robl22E,2L,-,2290224,2290738,96.347069,120.68087,169.580276
FBgn0051949,CG31949,2L,+,2300103,2300888,172.494904,226.540604,318.333954
FBgn0031412,CG16995,2L,+,2307948,2308872,0.793343,0.921466,1.294841
FBgn0031413,CG9967,2L,-,2308761,2357356,1.215218,1.411473,1.983396
FBgn0031414,eys,2L,+,2311680,2358944,0.359659,0.417743,0.587011
FBgn0014010,Rab5,2L,-,2359142,2365273,7.771028,18.47473,25.960615
