id_eggnog,id_string_HS,id_string_MM,id_string_DM,HS_up,MM_up,DM_up,HS_down,MM_down,DM_down,id_gene_HS,gene_HS,biotype_HS,n_genes_HS,id_gene_MM,gene_MM,biotype_MM,n_genes_MM,id_gene_DM,gene_DM,biotype_DM,n_genes_DM,annotation
3B9MN,9606.ENSP00000372193,10090.ENSMUSP00000035964,7227.FBpp0086939,False,False,False,True,True,True,ENSG00000103249,CLCN7,protein_coding,1,ENSMUSG00000036636,Clcn7,protein_coding,1,FBgn0033755,ClC-b,protein_coding,1,voltage-gated chloride channel activity
3B9N9,"9606.ENSP00000245407,9606.ENSP00000361666","10090.ENSMUSP00000019044,10090.ENSMUSP00000075814","7227.FBpp0083982,7227.FBpp0083983","True,True","True,True","False,False","True,True","False,False","True,True","ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","protein_coding,protein_coding",2,"ENSMUSG00000018900,ENSMUSG00000063652","Slc22a5,Slc22a21","protein_coding,protein_coding",2,"FBgn0086365,FBgn0019952","Orct2,Orct","protein_coding,protein_coding",2,organic anion transmembrane transporter activity
3B9NC,9606.ENSP00000304697,10090.ENSMUSP00000019649,7227.FBpp0073035,True,True,True,False,False,False,ENSG00000170315,UBB,protein_coding,1,ENSMUSG00000019505,Ubb,protein_coding,1,FBgn0003943,Ubi-p63E,protein_coding,1,protein tag
3B9U2,"9606.ENSP00000280612,9606.ENSP00000455064","10090.ENSMUSP00000000984,10090.ENSMUSP00000041557",7227.FBpp0073761,"False,False","True,False",False,"True,True","False,True",True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","protein_coding,protein_coding",2,"ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","protein_coding,protein_coding",2,FBgn0030574,CG9413,protein_coding,1,L-alpha-amino acid transmembrane transport
3B9XB,9606.ENSP00000347046,10090.ENSMUSP00000086485,7227.FBpp0289559,False,True,True,True,True,False,ENSG00000138735,PDE5A,protein_coding,1,ENSMUSG00000023868,Pde10a,protein_coding,1,FBgn0038237,Pde6,protein_coding,1,"3',5'-cyclic-GMP phosphodiesterase activity"
3B9YX,9606.ENSP00000438689,"10090.ENSMUSP00000011492,10090.ENSMUSP00000099634",7227.FBpp0289511,True,"False,False",False,False,"True,True",True,ENSG00000072778,ACADVL,protein_coding,1,"ENSMUSG00000027710,ENSMUSG00000018574","Acad9,Acadvl","protein_coding,protein_coding",2,FBgn0034432,CG7461,protein_coding,1,long-chain-acyl-CoA dehydrogenase activity
3BA0A,9606.ENSP00000428845,"10090.ENSMUSP00000022293,10090.ENSMUSP00000136273,10090.ENSMUSP00000137236",7227.FBpp0079773,True,"True,True,True",True,False,"False,False,False",False,ENSG00000078668,VDAC3,protein_coding,1,"ENSMUSG00000021771,ENSMUSG00000008892,ENSMUSG00000075053","Vdac2,Vdac3,Vdac3-ps1","protein_coding,protein_coding,unprocessed_pseudogene",3,FBgn0069354,Porin2,protein_coding,1,Voltage-dependent anion-selective channel protein
3BA0S,9606.ENSP00000385808,"10090.ENSMUSP00000028977,10090.ENSMUSP00000112782",7227.FBpp0075762,False,"True,True",False,True,"False,False",True,ENSG00000131437,KIF3A,protein_coding,1,"ENSMUSG00000027475,ENSMUSG00000018395","Kif3b,Kif3a","protein_coding,protein_coding",2,FBgn0004381,Klp68D,protein_coding,1,microtubule motor activity
3BA18,9606.ENSP00000378199,"10090.ENSMUSP00000007248,10090.ENSMUSP00000015800,10090.ENSMUSP00000079306","7227.FBpp0075504,7227.FBpp0082175",True,"True,False,True","True,True",True,"False,True,False","False,False",ENSG00000126803,HSPA2,protein_coding,1,"ENSMUSG00000007033,ENSMUSG00000015656,ENSMUSG00000059970","Hspa1l,Hspa8,Hspa2","protein_coding,protein_coding,protein_coding",3,"FBgn0001216,FBgn0001217","Hsc70-1,Hsc70-2","protein_coding,protein_coding",2,heat shock
3BA2A,9606.ENSP00000331209,10090.ENSMUSP00000136717,"7227.FBpp0072531,7227.FBpp0271924",False,True,"False,True",True,True,"True,False",ENSG00000182919,C11orf54,protein_coding,1,ENSMUSG00000031938,4931406C07Rik,protein_coding,1,"FBgn0035189,FBgn0063667","CG9119,CG32335","protein_coding,protein_coding",2,Ester hydrolase C11orf54 homolog
3BA2V,9606.ENSP00000370128,"10090.ENSMUSP00000046714,10090.ENSMUSP00000096414","7227.FBpp0078206,7227.FBpp0099766",True,"False,False","True,False",True,"True,True","True,True",ENSG00000139514,SLC7A1,protein_coding,1,"ENSMUSG00000041313,ENSMUSG00000031596","Slc7a1,Slc7a2","protein_coding,protein_coding",2,"FBgn0037203,FBgn0036493","slif,CG7255","protein_coding,protein_coding",2,cationic amino acid transporter
3BA39,9606.ENSP00000258080,"10090.ENSMUSP00000006367,10090.ENSMUSP00000087073",7227.FBpp0303078,False,"False,False",True,True,"True,True",False,ENSG00000115317,HTRA2,protein_coding,1,"ENSMUSG00000006205,ENSMUSG00000068329","Htra1,Htra2","protein_coding,protein_coding",2,FBgn0038233,HtrA2,protein_coding,1,pentacyclic triterpenoid metabolic process
3BA3F,9606.ENSP00000368566,"10090.ENSMUSP00000034046,10090.ENSMUSP00000104533",7227.FBpp0074844,True,"True,True",True,True,"False,False",False,ENSG00000164398,ACSL6,protein_coding,1,"ENSMUSG00000018796,ENSMUSG00000020333","Acsl1,Acsl6","protein_coding,protein_coding",2,FBgn0036821,CG3961,protein_coding,1,medium-chain fatty acid-CoA ligase activity
3BA3V,9606.ENSP00000358698,10090.ENSMUSP00000112448,7227.FBpp0087596,False,False,False,True,True,True,ENSG00000134245,WNT2B,protein_coding,1,ENSMUSG00000030170,Wnt5b,protein_coding,1,FBgn0004360,Wnt2,protein_coding,1,frizzled binding
3BA46,"9606.ENSP00000295736,9606.ENSP00000405812",10090.ENSMUSP00000023776,7227.FBpp0288814,"False,True",True,True,"True,True",False,True,"ENSG00000033867,ENSG00000050438","SLC4A7,SLC4A8","protein_coding,protein_coding",2,ENSMUSG00000023032,Slc4a8,protein_coding,1,FBgn0259111,Ndae1,protein_coding,1,sodium:bicarbonate symporter activity
3BA4A,9606.ENSP00000220822,10090.ENSMUSP00000026879,7227.FBpp0076870,False,True,False,True,False,True,ENSG00000104381,GDAP1,protein_coding,1,ENSMUSG00000025777,Gdap1,protein_coding,1,FBgn0035587,Gdap1,protein_coding,1,mitochondrial fission
3BA72,9606.ENSP00000400252,10090.ENSMUSP00000065787,7227.FBpp0080100,False,True,True,True,False,False,ENSG00000171595,DNAI2,protein_coding,1,ENSMUSG00000034706,Dnaic2,protein_coding,1,FBgn0032520,CG10859,protein_coding,1,outer dynein arm assembly
3BA84,9606.ENSP00000440246,10090.ENSMUSP00000032856,7227.FBpp0082129,False,True,True,True,False,False,ENSG00000151376,ME3,protein_coding,1,ENSMUSG00000030621,Me3,protein_coding,1,FBgn0002719,Men,protein_coding,1,Malic enzyme
3BA8E,9606.ENSP00000377782,10090.ENSMUSP00000088678,7227.FBpp0099825,True,True,True,True,False,False,ENSG00000109381,ELF2,protein_coding,1,ENSMUSG00000037174,Elf2,protein_coding,1,FBgn0000567,Eip74EF,protein_coding,1,sequence-specific DNA binding
3BAAR,9606.ENSP00000261693,10090.ENSMUSP00000031377,7227.FBpp0072308,False,False,True,True,True,False,ENSG00000073060,SCARB1,protein_coding,1,ENSMUSG00000029426,Scarb2,protein_coding,1,FBgn0010435,emp,protein_coding,1,Belongs to the CD36 family
3BAAV,"9606.ENSP00000366641,9606.ENSP00000445929",10090.ENSMUSP00000032476,7227.FBpp0305687,"True,True",True,True,"False,False",True,False,"ENSG00000142583,ENSG00000173262","SLC2A5,SLC2A14","protein_coding,protein_coding",2,ENSMUSG00000003153,Slc2a3,protein_coding,1,FBgn0264574,Glut1,protein_coding,1,hexose transmembrane transporter activity
3BAB7,9606.ENSP00000446215,10090.ENSMUSP00000031383,7227.FBpp0075369,False,True,True,True,False,False,ENSG00000132341,RAN,protein_coding,1,ENSMUSG00000029430,Ran,protein_coding,1,FBgn0036497,Ran-like,protein_coding,1,snRNA import into nucleus
3BAEQ,9606.ENSP00000291295,"10090.ENSMUSP00000019514,10090.ENSMUSP00000048857,10090.ENSMUSP00000105709","7227.FBpp0084276,7227.FBpp0087929,7227.FBpp0087930",True,"True,True,True","True,True,True",False,"False,True,False","False,False,False",ENSG00000160014,CALM3,protein_coding,1,"ENSMUSG00000019370,ENSMUSG00000036438,ENSMUSG00000001175","Calm3,Calm2,Calm1","protein_coding,protein_coding,protein_coding",3,"FBgn0039373,FBgn0033238,FBgn0050378","CG5024,azot,CG30378","protein_coding,protein_coding,protein_coding",3,calcium ion binding
3BAFZ,"9606.ENSP00000364000,9606.ENSP00000379866",10090.ENSMUSP00000023123,7227.FBpp0305720,"False,False",True,True,"True,True",False,False,"ENSG00000204262,ENSG00000081052","COL5A2,COL4A4","protein_coding,protein_coding",2,ENSMUSG00000022483,Col2a1,protein_coding,1,FBgn0016075,vkg,protein_coding,1,collagen
3BAIT,"9606.ENSP00000264917,9606.ENSP00000311453",10090.ENSMUSP00000026672,7227.FBpp0291341,"False,False",True,False,"True,True",False,True,"ENSG00000113231,ENSG00000073417","PDE8B,PDE8A","protein_coding,protein_coding",2,ENSMUSG00000025584,Pde8a,protein_coding,1,FBgn0266377,Pde8,protein_coding,1,"3',5'-cyclic-AMP phosphodiesterase activity"
3BARG,9606.ENSP00000367755,10090.ENSMUSP00000092811,7227.FBpp0080901,False,True,True,True,True,False,ENSG00000143919,CAMKMT,protein_coding,1,ENSMUSG00000071037,Camkmt,protein_coding,1,FBgn0032857,CG10947,protein_coding,1,calmodulin-lysine N-methyltransferase activity
3BARU,9606.ENSP00000216039,10090.ENSMUSP00000048415,7227.FBpp0070860,False,True,True,True,False,False,ENSG00000100221,JOSD1,protein_coding,1,ENSMUSG00000038695,Josd2,protein_coding,1,FBgn0029853,CG3781,protein_coding,1,thiol-dependent ubiquitin-specific protease activity
3BASG,9606.ENSP00000358867,"10090.ENSMUSP00000000001,10090.ENSMUSP00000114144",7227.FBpp0076643,False,"False,True",False,True,"True,True",True,ENSG00000065135,GNAI3,protein_coding,1,"ENSMUSG00000000001,ENSMUSG00000031748","Gnai3,Gnao1","protein_coding,protein_coding",2,FBgn0001104,Galphai,protein_coding,1,G-protein beta/gamma-subunit complex binding
3BAUV,"9606.ENSP00000318197,9606.ENSP00000326042,9606.ENSP00000382982","10090.ENSMUSP00000084713,10090.ENSMUSP00000085580","7227.FBpp0081062,7227.FBpp0081565,7227.FBpp0082964","True,True,True","True,True","True,True,True","True,True,True","False,False","False,False,False","ENSG00000152086,ENSG00000075886,ENSG00000198033","TUBA3E,TUBA3D,TUBA3C","protein_coding,protein_coding,protein_coding",3,"ENSMUSG00000067338,ENSMUSG00000067702","Tuba3b,Tuba3a","protein_coding,protein_coding",2,"FBgn0003885,FBgn0003886,FBgn0038565","alphaTub84D,alphaTub85E,CG7794","protein_coding,protein_coding,protein_coding",3,structural constituent of cytoskeleton
3BAXN,9606.ENSP00000255977,10090.ENSMUSP00000031985,7227.FBpp0073753,True,True,True,False,False,False,ENSG00000133606,MKRN1,protein_coding,1,ENSMUSG00000029922,Mkrn1,protein_coding,1,FBgn0030578,CG5347,protein_coding,1,protein modification by small protein conjugation
3BB2J,9606.ENSP00000319052,10090.ENSMUSP00000100020,7227.FBpp0080611,True,True,True,False,False,False,ENSG00000177143,CETN1,protein_coding,1,ENSMUSG00000045031,Cetn4,protein_coding,1,FBgn0051802,CG31802,protein_coding,1,heterotrimeric G-protein binding
3BB3B,9606.ENSP00000403925,10090.ENSMUSP00000067882,7227.FBpp0304278,False,False,True,True,True,False,ENSG00000154114,TBCEL,protein_coding,1,ENSMUSG00000037287,Tbcel,protein_coding,1,FBgn0265512,mlt,protein_coding,1,developmental process involved in reproduction
3BB8C,9606.ENSP00000222644,10090.ENSMUSP00000125880,7227.FBpp0088886,True,True,False,True,False,True,ENSG00000105926,MPP6,protein_coding,1,ENSMUSG00000038388,Mpp6,protein_coding,1,FBgn0250785,vari,protein_coding,1,Belongs to the MAGUK family
3BBAZ,"9606.ENSP00000283426,9606.ENSP00000353646",10090.ENSMUSP00000014927,"7227.FBpp0086135,7227.FBpp0088791","False,True",True,"True,True","True,False",True,"True,True","ENSG00000153404,ENSG00000196155","PLEKHG4B,PLEKHG4","protein_coding,protein_coding",2,ENSMUSG00000014782,Plekhg4,protein_coding,1,"FBgn0034194,FBgn0035802","CG15611,Pura","protein_coding,protein_coding",2,"Pleckstrin homology domain containing, family G (with RhoGef domain) member"
3BBB4,9606.ENSP00000376443,"10090.ENSMUSP00000030010,10090.ENSMUSP00000045285,10090.ENSMUSP00000047927","7227.FBpp0110124,7227.FBpp0297618",False,"False,False,True","True,False",True,"True,True,True","False,True",ENSG00000154265,ABCA5,protein_coding,1,"ENSMUSG00000015243,ENSMUSG00000024130,ENSMUSG00000018800","Abca1,Abca3,Abca5","protein_coding,protein_coding,protein_coding",3,"FBgn0083956,FBgn0031170","CG34120,ABCA","protein_coding,protein_coding",2,"ATPase activity, coupled to transmembrane movement of substances"
3BBBA,9606.ENSP00000303830,10090.ENSMUSP00000005671,"7227.FBpp0080716,7227.FBpp0082463",False,False,"False,False",True,True,"True,True",ENSG00000171105,INSR,protein_coding,1,ENSMUSG00000005533,Igf1r,protein_coding,1,"FBgn0032752,FBgn0038279","CG10702,Sdr","protein_coding,protein_coding",2,insulin receptor substrate binding
3BBJ6,9606.ENSP00000368305,10090.ENSMUSP00000105769,"7227.FBpp0074813,7227.FBpp0082033",False,False,"True,True",True,True,"False,False",ENSG00000125772,GPCPD1,protein_coding,1,ENSMUSG00000027346,Gpcpd1,protein_coding,1,"FBgn0036836,FBgn0038008","CG11619,CG3942","protein_coding,protein_coding",2,starch binding. It is involved in the biological process described with lipid metabolic process
3BBKC,9606.ENSP00000377721,10090.ENSMUSP00000032768,7227.FBpp0082035,False,False,True,True,True,False,ENSG00000185551,NR2F2,protein_coding,1,ENSMUSG00000030551,Nr2f2,protein_coding,1,FBgn0003651,svp,protein_coding,1,radial pattern formation
3BBKV,9606.ENSP00000310978,10090.ENSMUSP00000132190,7227.FBpp0075543,False,False,True,True,True,False,ENSG00000175309,PHYKPL,protein_coding,1,ENSMUSG00000020359,Phykpl,protein_coding,1,FBgn0036381,CG8745,protein_coding,1,ethanolamine-phosphate phospho-lyase activity
3BBND,9606.ENSP00000324510,"10090.ENSMUSP00000102058,10090.ENSMUSP00000138188","7227.FBpp0292144,7227.FBpp0305560",False,"True,True","False,True",True,"True,True","True,True",ENSG00000007516,BAIAP3,protein_coding,1,"ENSMUSG00000057948,ENSMUSG00000047507","Unc13d,Baiap3","protein_coding,protein_coding",2,"FBgn0266719,FBgn0035756","stac,unc-13-4A","protein_coding,protein_coding",2,regulation of dense core granule exocytosis
3BBPR,"9606.ENSP00000226207,9606.ENSP00000384330",10090.ENSMUSP00000099867,7227.FBpp0080452,"True,True",True,True,"False,True",True,False,"ENSG00000109061,ENSG00000133020","MYH1,MYH8","protein_coding,protein_coding",2,ENSMUSG00000053093,Myh7,protein_coding,1,FBgn0264695,Mhc,protein_coding,1,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
3BBR0,"9606.ENSP00000385751,9606.ENSP00000483424","10090.ENSMUSP00000027929,10090.ENSMUSP00000131684",7227.FBpp0290718,"False,True","False,False",False,"True,True","True,True",True,"ENSG00000072518,ENSG00000116141","MARK2,MARK1","protein_coding,protein_coding",2,"ENSMUSG00000026620,ENSMUSG00000024969","Mark1,Mark2","protein_coding,protein_coding",2,FBgn0260934,par-1,protein_coding,1,Map microtubule affinity-regulating kinase
3BBUH,9606.ENSP00000360664,10090.ENSMUSP00000099803,7227.FBpp0077736,False,True,True,True,False,False,ENSG00000134717,BTF3L4,protein_coding,1,ENSMUSG00000028568,Btf3l4,protein_coding,1,FBgn0031264,CG11835,protein_coding,1,embryo development ending in birth or egg hatching
3BC6Y,9606.ENSP00000367323,10090.ENSMUSP00000125058,7227.FBpp0300312,False,True,True,True,False,False,ENSG00000069424,KCNAB2,protein_coding,1,ENSMUSG00000028931,Kcnab2,protein_coding,1,FBgn0263220,Hk,protein_coding,1,Voltage-gated potassium channel subunit
3BCAM,"9606.ENSP00000268793,9606.ENSP00000376807",10090.ENSMUSP00000034371,7227.FBpp0111628,"False,False",True,True,"True,True",False,False,"ENSG00000141096,ENSG00000015413","DPEP3,DPEP1","protein_coding,protein_coding",2,ENSMUSG00000031898,Dpep3,protein_coding,1,FBgn0266100,CG44837,protein_coding,1,dipeptidase activity
3BCCI,9606.ENSP00000292246,10090.ENSMUSP00000045214,7227.FBpp0080263,False,True,True,True,True,False,ENSG00000160746,ANO10,protein_coding,1,ENSMUSG00000037949,Ano10,protein_coding,1,FBgn0028879,CG15270,protein_coding,1,intracellular chloride channel activity
3BCFH,9606.ENSP00000295628,10090.ENSMUSP00000077779,7227.FBpp0071392,False,False,False,True,True,True,ENSG00000163428,LRRC58,protein_coding,1,ENSMUSG00000034158,Lrrc58,protein_coding,1,FBgn0052687,CG32687,protein_coding,1,Leucine rich repeat
3BCKV,9606.ENSP00000446242,10090.ENSMUSP00000026899,"7227.FBpp0083299,7227.FBpp0087946,7227.FBpp0306183",True,True,"True,True,True",False,True,"False,False,False",ENSG00000183048,SLC25A10,protein_coding,1,ENSMUSG00000025792,Slc25a10,protein_coding,1,"FBgn0038797,FBgn0033248,FBgn0036808","Dic2,Dic3,Dic4","protein_coding,protein_coding,protein_coding",3,oxaloacetate(2-) transmembrane transport
3BCPB,9606.ENSP00000309741,10090.ENSMUSP00000026897,7227.FBpp0079423,True,True,True,False,False,False,ENSG00000173930,SLCO4C1,protein_coding,1,ENSMUSG00000025790,Slco3a1,protein_coding,1,FBgn0032123,Oatp30B,protein_coding,1,"Solute carrier organic anion transporter family, member"
3BCPK,9606.ENSP00000442656,"10090.ENSMUSP00000000544,10090.ENSMUSP00000088453",7227.FBpp0078721,False,"False,False",False,True,"True,True",True,ENSG00000135503,ACVR1B,protein_coding,1,"ENSMUSG00000000532,ENSMUSG00000026836","Acvr1b,Acvr1","protein_coding,protein_coding",2,FBgn0003716,tkv,protein_coding,1,transmembrane receptor protein serine/threonine kinase activity
3BCUC,9606.ENSP00000264649,10090.ENSMUSP00000044838,"7227.FBpp0083071,7227.FBpp0084743",False,False,"False,False",True,True,"True,True",ENSG00000033627,ATP6V0A1,protein_coding,1,ENSMUSG00000019302,Atp6v0a1,protein_coding,1,"FBgn0028670,FBgn0028671","Vha100-2,Vha100-1","protein_coding,protein_coding",2,"Essential component of the vacuolar proton pump (V- ATPase), a multimeric enzyme that catalyzes the translocation of protons across the membranes. Required for assembly and activity of the V-ATPase"
3BCX4,9606.ENSP00000318429,10090.ENSMUSP00000042772,7227.FBpp0083775,True,True,True,True,False,False,ENSG00000105479,CCDC114,protein_coding,1,ENSMUSG00000040189,Ccdc114,protein_coding,1,FBgn0039070,CG17083,protein_coding,1,outer dynein arm assembly
3BCYK,9606.ENSP00000477602,10090.ENSMUSP00000006557,7227.FBpp0081313,False,False,True,True,True,False,ENSG00000066322,ELOVL1,protein_coding,1,ENSMUSG00000006390,Elovl1,protein_coding,1,FBgn0037534,CG2781,protein_coding,1,"Catalyzes the first and rate-limiting reaction of the four that constitute the long-chain fatty acids elongation cycle. This endoplasmic reticulum-bound enzymatic process, allows the addition of 2 carbons to the chain of long- and very long-chain fatty acids VLCFAs per cycle. Condensing enzyme"
3BD0W,9606.ENSP00000366488,10090.ENSMUSP00000005606,7227.FBpp0085090,True,True,True,False,False,False,ENSG00000165059,PRKACG,protein_coding,1,ENSMUSG00000005469,Prkaca,protein_coding,1,FBgn0039796,CG12069,protein_coding,1,camp-dependent protein kinase catalytic subunit
3BD14,9606.ENSP00000311121,10090.ENSMUSP00000042590,7227.FBpp0072257,False,True,True,True,True,False,ENSG00000154611,PSMA8,protein_coding,1,ENSMUSG00000036743,Psma8,protein_coding,1,FBgn0017556,Prosalpha4T2,protein_coding,1,"The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH"
3BD4S,9606.ENSP00000264775,10090.ENSMUSP00000016144,"7227.FBpp0078157,7227.FBpp0087635",False,True,"True,True",True,False,"False,True",ENSG00000067113,PLPP1,protein_coding,1,ENSMUSG00000021759,Plpp1,protein_coding,1,"FBgn0037165,FBgn0016078","CG11437,wun","protein_coding,protein_coding",2,Lipid phosphate phosphohydrolase
3BD60,9606.ENSP00000358575,10090.ENSMUSP00000103771,7227.FBpp0085543,True,True,True,True,False,False,ENSG00000272514,CFAP206,protein_coding,1,ENSMUSG00000028294,Cfap206,protein_coding,1,FBgn0034532,CG13436,protein_coding,1,cilium movement
3BD78,9606.ENSP00000307674,10090.ENSMUSP00000090032,7227.FBpp0081866,True,True,True,False,False,False,ENSG00000171302,CANT1,protein_coding,1,ENSMUSG00000025575,Cant1,protein_coding,1,FBgn0037900,CG5276,protein_coding,1,nucleotidase 1
3BD7U,9606.ENSP00000356263,10090.ENSMUSP00000093581,"7227.FBpp0071713,7227.FBpp0071716,7227.FBpp0080294",False,True,"True,True,True",True,True,"False,False,False",ENSG00000146476,ARMT1,protein_coding,1,ENSMUSG00000061759,Armt1,protein_coding,1,"FBgn0034689,FBgn0034687,FBgn0028892","CG2921,CG11475,CG4161","protein_coding,protein_coding,protein_coding",3,UPF0364 protein C6orf211 homolog
3BDAR,9606.ENSP00000219240,10090.ENSMUSP00000070303,7227.FBpp0289671,False,False,True,True,True,False,ENSG00000102967,DHODH,protein_coding,1,ENSMUSG00000031730,Dhodh,protein_coding,1,FBgn0000447,Dhod,protein_coding,1,dihydroorotate dehydrogenase activity
3BDEG,9606.ENSP00000470152,10090.ENSMUSP00000126194,7227.FBpp0111987,False,True,False,True,False,True,ENSG00000134769,DTNA,protein_coding,1,ENSMUSG00000071454,Dtnb,protein_coding,1,FBgn0033739,Dyb,protein_coding,1,zinc ion binding
3BDJX,9606.ENSP00000317842,"10090.ENSMUSP00000034172,10090.ENSMUSP00000121729",7227.FBpp0078010,False,"True,False",True,True,"False,True",False,ENSG00000172831,CES2,protein_coding,1,"ENSMUSG00000056973,ENSMUSG00000074156","Ces1d,Ces1h","protein_coding,protein_coding",2,FBgn0037090,Est-Q,protein_coding,1,carboxylic ester hydrolase activity
3BDQF,9606.ENSP00000341289,"10090.ENSMUSP00000042342,10090.ENSMUSP00000136922","7227.FBpp0076678,7227.FBpp0081524",True,"True,True","True,True",False,"False,False","False,False",ENSG00000188229,TUBB4B,protein_coding,1,"ENSMUSG00000036752,ENSMUSG00000095159","Tubb4b,Tubb4b-ps1","protein_coding,processed_pseudogene",2,"FBgn0052396,FBgn0003889","CG32396,betaTub85D","protein_coding,protein_coding",2,structural constituent of cytoskeleton
3BE2N,9606.ENSP00000449535,10090.ENSMUSP00000029135,7227.FBpp0078067,True,True,False,True,False,True,ENSG00000111058,ACSS3,protein_coding,1,ENSMUSG00000027605,Acss2,protein_coding,1,FBgn0012034,AcCoAS,protein_coding,1,acetate-CoA ligase activity
3BE60,9606.ENSP00000360541,10090.ENSMUSP00000030345,7227.FBpp0072848,False,True,False,True,False,True,ENSG00000157184,CPT2,protein_coding,1,ENSMUSG00000028607,Cpt2,protein_coding,1,FBgn0035383,CPT2,protein_coding,1,carnitine O-palmitoyltransferase activity
3BE6T,9606.ENSP00000365272,10090.ENSMUSP00000102814,7227.FBpp0290503,False,True,False,True,False,True,ENSG00000150672,DLG2,protein_coding,1,ENSMUSG00000052572,Dlg2,protein_coding,1,FBgn0001624,dlg1,protein_coding,1,guanylate kinase activity
3BE7K,9606.ENSP00000433757,10090.ENSMUSP00000056378,"7227.FBpp0082652,7227.FBpp0084076,7227.FBpp0111383",True,True,"True,True,True",False,False,"False,False,False",ENSG00000149292,TTC12,protein_coding,1,ENSMUSG00000040219,Ttc12,protein_coding,1,"FBgn0051294,FBgn0039228,FBgn0085303","CG31294,CG6980,CG34274","protein_coding,protein_coding,protein_coding",3,positive regulation of catalytic activity in other organism involved in symbiotic interaction
