id_gene_DM,gene_DM,biotype_DM,DM_up,DM_down,id_gene_HS,gene_HS,biotype_HS,HS_up,HS_down,id_gene_MM,gene_MM,biotype_MM,MM_up,MM_down,FDR<=0.05,FDR<=0.01,StockNumber,FlyBase Genotype,FT1 eggs,FT1 hatched,FT2 eggs,FT2 hatched,FT3 eggs,FT3 hatched,FT4 eggs,FT4 hatched,Phenotype or literature,Previously known to affect spermatogenesis,Function,Previous ref to RNAi working,Other species infertility phenotype?
FBgn0260746,Ect3,protein_coding,True,True,"ENSG00000163521,ENSG00000166105","GLB1L,GLB1L3","protein_coding,protein_coding","True,False","False,True","ENSMUSG00000045594,ENSMUSG00000026200","Glb1,Glb1l","protein_coding,protein_coding","False,True","True,False",True,True,41655,y1 v1; P{TRiP.GL01237}attP2,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,,,No,
FBgn0082582,tmod,protein_coding,True,True,ENSG00000128872,TMOD2,protein_coding,False,True,"ENSMUSG00000058587,ENSMUSG00000032186","Tmod3,Tmod2","protein_coding,protein_coding","False,True","True,False",True,False,,,,,,,,,,,,,,,
FBgn0034572,CG9346,protein_coding,True,True,ENSG00000163714,U2SURP,protein_coding,False,True,ENSMUSG00000032407,U2surp,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0033074,tomboy40,protein_coding,True,True,ENSG00000130204,TOMM40,protein_coding,False,True,ENSMUSG00000005674,Tomm40l,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0016041,Tom40,protein_coding,True,True,ENSG00000130204,TOMM40,protein_coding,False,True,ENSMUSG00000005674,Tomm40l,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0015239,Hr78,protein_coding,True,True,ENSG00000120798,NR2C1,protein_coding,False,True,"ENSMUSG00000005897,ENSMUSG00000005893","Nr2c1,Nr2c2","protein_coding,protein_coding","True,False","False,True",True,True,,,,,,,,,,,,,,,
FBgn0032208,Ufd4,protein_coding,True,True,ENSG00000092148,HECTD1,protein_coding,False,True,ENSMUSG00000035247,Hectd1,protein_coding,False,True,True,False,,,,,,,,,,,,,,,
FBgn0037182,ArfGAP3,protein_coding,True,True,ENSG00000149182,ARFGAP2,protein_coding,True,True,"ENSMUSG00000027255,ENSMUSG00000054277","Arfgap2,Arfgap3","protein_coding,protein_coding","True,True","True,False",True,True,,,,,,,,,,,,,,,
FBgn0037240,Cont,protein_coding,True,True,ENSG00000134121,CHL1,protein_coding,False,True,ENSMUSG00000030092,Cntn6,protein_coding,True,False,True,True,,,,,,,,,,,,,,,
FBgn0264975,Nrg,protein_coding,True,True,ENSG00000134121,CHL1,protein_coding,False,True,ENSMUSG00000030092,Cntn6,protein_coding,True,False,True,True,,,,,,,,,,,,,,,
FBgn0036801,MYPT-75D,protein_coding,True,True,ENSG00000160972,PPP1R16A,protein_coding,True,False,ENSMUSG00000033819,Ppp1r16a,protein_coding,True,False,True,False,,,,,,,,,,,,,,,
FBgn0003862,trx,protein_coding,True,True,ENSG00000272333,KMT2B,protein_coding,False,True,ENSMUSG00000006307,Kmt2b,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0040918,schlank,protein_coding,True,True,ENSG00000139624,CERS5,protein_coding,False,True,"ENSMUSG00000015714,ENSMUSG00000023021","Cers2,Cers5","protein_coding,protein_coding","False,False","True,True",True,True,v109418,P{KK108152}VIE-260B                               ,25,0,27,0,28,0,30,0,No sperm. Individualization defect.,No,essential for ceramide synthesis and modulates triacylglycerol levels and transcriptional expression of body fat metabolism regulators,Yes,
FBgn0039252,CG11771,protein_coding,True,True,ENSG00000172009,AC006538.1,protein_coding,False,True,ENSMUSG00000004929,Thop1,protein_coding,True,False,True,False,,,,,,,,,,,,,,,
FBgn0025463,Bap60,protein_coding,True,True,"ENSG00000066117,ENSG00000108604","SMARCD1,SMARCD2","protein_coding,protein_coding","False,False","True,True","ENSMUSG00000078619,ENSMUSG00000023018,ENSMUSG00000028949","Smarcd2,Smarcd1,Smarcd3","protein_coding,protein_coding,protein_coding","True,False,False","False,True,True",True,True,,,,,,,,,,,,,,,
FBgn0014189,Hel25E,protein_coding,True,True,ENSG00000123136,DDX39A,protein_coding,True,False,"ENSMUSG00000005481,ENSMUSG00000019432","Ddx39,Ddx39b","protein_coding,protein_coding","False,False","True,True",True,True,,,,,,,,,,,,,,,
FBgn0010328,woc,protein_coding,True,True,ENSG00000147130,ZMYM3,protein_coding,False,True,ENSMUSG00000021945,Zmym2,protein_coding,False,True,True,False,,,,,,,,,,,,,,,
FBgn0267977,mh,protein_coding,True,True,ENSG00000010072,SPRTN,protein_coding,True,False,ENSMUSG00000031986,Sprtn,protein_coding,True,True,True,True,44448,"y1 v1; P{TRiP.GLC01597}attP2/TM3, Sb1",17,0,30,0,16,0,11,0,"Few sperm, all immotile/dead. Spermiogenesis defect",No,DNA binding / protease,No,
FBgn0032052,PIG-U,protein_coding,True,True,ENSG00000101464,PIGU,protein_coding,True,True,ENSMUSG00000038383,Pigu,protein_coding,True,True,True,True,v105420,P{KK101552}VIE-260B,26,3,23,0,13,0,25,1,"OAT (very few sperm, but motile) ",No,"subunit of glycosylphosphatidylinositol (GPI) transamidase, which mediates GPI anchoring in the endoplasmic reticulum",No,
FBgn0034908,CG5543,protein_coding,True,True,ENSG00000082068,WDR70,protein_coding,False,True,ENSMUSG00000039828,Wdr70,protein_coding,True,False,True,True,,,,,,,,,,,,,,,
FBgn0046692,Stlk,protein_coding,True,True,ENSG00000266173,STRADA,protein_coding,False,True,ENSMUSG00000069631,Strada,protein_coding,True,False,True,True,,,,,,,,,,,,,,,
FBgn0050410,Rpi,protein_coding,True,True,ENSG00000153574,RPIA,protein_coding,True,False,ENSMUSG00000053604,Rpia,protein_coding,False,True,True,False,,,,,,,,,,,,,,,
FBgn0025615,Torsin,protein_coding,True,True,ENSG00000136827,TOR1A,protein_coding,False,True,ENSMUSG00000026848,Tor1b,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0030735,CG3632,protein_coding,True,False,ENSG00000100330,MTMR3,protein_coding,False,True,ENSMUSG00000018401,Mtmr4,protein_coding,True,False,True,True,,,,,,,,,,,,,,,
FBgn0028968,gammaCOP,protein_coding,True,True,ENSG00000158623,COPG2,protein_coding,False,True,ENSMUSG00000025607,Copg2,protein_coding,True,False,True,False,,,,,,,,,,,,,,,
FBgn0017572,Mo25,protein_coding,True,True,ENSG00000135932,CAB39,protein_coding,False,True,ENSMUSG00000021981,Cab39l,protein_coding,True,False,True,False,,,,,,,,,,,,,,,
FBgn0036893,PIG-F,protein_coding,True,True,ENSG00000151665,PIGF,protein_coding,False,True,ENSMUSG00000024145,Pigf,protein_coding,True,False,True,False,,,,,,,,,,,,,,,
FBgn0033060,CG7849,protein_coding,True,True,ENSG00000167112,TRUB2,protein_coding,False,True,ENSMUSG00000039826,Trub2,protein_coding,False,True,True,True,v107949,P{KK102617}VIE-260B,17,15,28,20,30,21,23,19,GD works,,,No,
FBgn0039183,Dis3,protein_coding,True,False,ENSG00000166938,DIS3L,protein_coding,True,True,ENSMUSG00000032396,Dis3l,protein_coding,True,False,True,False,,,,,,,,,,,,,,,
FBgn0284221,Sema5c,protein_coding,True,False,ENSG00000143434,SEMA6C,protein_coding,False,True,ENSMUSG00000052133,Sema5b,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0016059,Sema1b,protein_coding,True,True,ENSG00000143434,SEMA6C,protein_coding,False,True,ENSMUSG00000052133,Sema5b,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0011260,Sema2a,protein_coding,True,True,ENSG00000143434,SEMA6C,protein_coding,False,True,ENSMUSG00000052133,Sema5b,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0264273,Sema2b,protein_coding,True,True,ENSG00000143434,SEMA6C,protein_coding,False,True,ENSMUSG00000052133,Sema5b,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0011259,Sema1a,protein_coding,True,True,ENSG00000143434,SEMA6C,protein_coding,False,True,ENSMUSG00000052133,Sema5b,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0032812,Hakai,protein_coding,True,True,ENSG00000105879,CBLL1,protein_coding,False,True,ENSMUSG00000020659,Cbll1,protein_coding,True,False,True,True,,,,,,,,,,,,,,,
FBgn0039229,Saf-B,protein_coding,True,True,ENSG00000160633,SAFB,protein_coding,False,True,"ENSMUSG00000032212,ENSMUSG00000071054","Sltm,Safb","protein_coding,protein_coding","True,False","False,True",True,True,,,,,,,,,,,,,,,Mouse infertility reported
FBgn0037382,Hpr1,protein_coding,True,True,ENSG00000079134,THOC1,protein_coding,False,True,ENSMUSG00000024287,Thoc1,protein_coding,True,False,True,True,,,,,,,,,,,,,,,
FBgn0038721,subdued,protein_coding,True,True,ENSG00000146205,ANO7,protein_coding,False,True,ENSMUSG00000055489,Ano5,protein_coding,True,True,True,True,v108953,P{KK102353}VIE-260B,29,28,26,26,30,29,25,23,,,,Yes,
FBgn0011763,Dp,protein_coding,True,True,ENSG00000198176,TFDP1,protein_coding,True,True,ENSMUSG00000038482,Tfdp1,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0036888,CG9330,protein_coding,True,True,ENSG00000161204,ABCF3,protein_coding,False,True,ENSMUSG00000003234,Abcf3,protein_coding,True,False,True,False,,,,,,,,,,,,,,,
FBgn0038195,CG3061,protein_coding,True,True,ENSG00000164031,DNAJB14,protein_coding,False,True,ENSMUSG00000074212,Dnajb14,protein_coding,True,False,True,False,,,,,,,,,,,,,,,
FBgn0050156,CG30156,protein_coding,True,True,ENSG00000164031,DNAJB14,protein_coding,False,True,ENSMUSG00000074212,Dnajb14,protein_coding,True,False,True,False,,,,,,,,,,,,,,,
FBgn0000119,arr,protein_coding,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","protein_coding,protein_coding","False,False","True,True",ENSMUSG00000032193,Ldlr,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0051092,LpR2,protein_coding,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","protein_coding,protein_coding","False,False","True,True",ENSMUSG00000032193,Ldlr,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0261260,mgl,protein_coding,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","protein_coding,protein_coding","False,False","True,True",ENSMUSG00000032193,Ldlr,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0053087,LRP1,protein_coding,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","protein_coding,protein_coding","False,False","True,True",ENSMUSG00000032193,Ldlr,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0066101,LpR1,protein_coding,True,True,"ENSG00000157193,ENSG00000134569","LRP8,LRP4","protein_coding,protein_coding","False,False","True,True",ENSMUSG00000032193,Ldlr,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0004391,shtd,protein_coding,True,True,ENSG00000153107,ANAPC1,protein_coding,False,True,ENSMUSG00000014355,Anapc1,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0030361,CG1492,protein_coding,True,False,ENSG00000100121,GGTLC2,protein_coding,True,False,ENSMUSG00000027603,Ggt7,protein_coding,True,False,True,False,,,,,,,,,,,,,,,
FBgn0030796,CG4829,protein_coding,True,False,ENSG00000100121,GGTLC2,protein_coding,True,False,ENSMUSG00000027603,Ggt7,protein_coding,True,False,True,False,,,,,,,,,,,,,,,
FBgn0025837,CG17636,protein_coding,True,True,ENSG00000100121,GGTLC2,protein_coding,True,False,ENSMUSG00000027603,Ggt7,protein_coding,True,False,True,False,,,,,,,,,,,,,,,
FBgn0265140,Meltrin,protein_coding,True,True,"ENSG00000073670,ENSG00000148848,ENSG00000168615","ADAM11,ADAM12,ADAM9","protein_coding,protein_coding,protein_coding","False,True,False","True,True,True","ENSMUSG00000011256,ENSMUSG00000040537,ENSMUSG00000020926","Adam19,Adam22,Adam11","protein_coding,protein_coding,protein_coding","False,True,True","True,False,True",True,True,58331,y[1] v[1]; P{TRiP.HMJ22461}attP40,14,13,16,15,20,18,23,22,,,,No,
FBgn0085434,NaCP60E,protein_coding,True,True,"ENSG00000196876,ENSG00000169432","SCN8A,SCN9A","protein_coding,protein_coding","False,False","True,True","ENSMUSG00000075318,ENSMUSG00000023033","Scn2a,Scn8a","protein_coding,protein_coding","True,True","False,False",True,True,26012,y1 v1; P{TRiP.JF02037}attP2,25,22,15,12,25,20,28,26,,,,No,
FBgn0024846,p38b,protein_coding,True,True,ENSG00000112062,MAPK14,protein_coding,False,True,ENSMUSG00000053137,Mapk11,protein_coding,False,True,True,False,,,,,,,,,,,,,,,
FBgn0015765,p38a,protein_coding,True,True,ENSG00000112062,MAPK14,protein_coding,False,True,ENSMUSG00000053137,Mapk11,protein_coding,False,True,True,False,,,,,,,,,,,,,,,
FBgn0267339,p38c,protein_coding,True,True,ENSG00000112062,MAPK14,protein_coding,False,True,ENSMUSG00000053137,Mapk11,protein_coding,False,True,True,False,,,,,,,,,,,,,,,
FBgn0036500,CG7275,protein_coding,True,True,ENSG00000164934,DCAF13,protein_coding,False,True,ENSMUSG00000022300,Dcaf13,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0003071,Pfk,protein_coding,True,True,ENSG00000067057,PFKP,protein_coding,True,False,"ENSMUSG00000033065,ENSMUSG00000021196","Pfkm,Pfkp","protein_coding,protein_coding","True,True","False,False",True,False,,,,,,,,,,,,,,,
FBgn0005696,DNApol-alpha73,protein_coding,True,False,ENSG00000014138,POLA2,protein_coding,False,True,ENSMUSG00000024833,Pola2,protein_coding,True,True,True,True,,,,,,,,,,,,,,,
FBgn0031536,Cog3,protein_coding,True,True,ENSG00000136152,COG3,protein_coding,False,True,ENSMUSG00000034893,Cog3,protein_coding,False,True,True,False,,,,,,,,,,,,,,,
FBgn0033755,ClC-b,protein_coding,True,True,ENSG00000103249,CLCN7,protein_coding,False,True,ENSMUSG00000036636,Clcn7,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0035645,CG5592,protein_coding,True,True,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","protein_coding,protein_coding","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000063652","Slc22a5,Slc22a21","protein_coding,protein_coding","True,True","False,False",True,True,v110489,P{KK103933}VIE-260B,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,,,No,
FBgn0035647,CG10486,protein_coding,True,True,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","protein_coding,protein_coding","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000063652","Slc22a5,Slc22a21","protein_coding,protein_coding","True,True","False,False",True,True,v107903,P{KK105599}VIE-260B,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,,,No,
FBgn0259164,CG42269,protein_coding,False,True,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","protein_coding,protein_coding","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000063652","Slc22a5,Slc22a21","protein_coding,protein_coding","True,True","False,False",True,True,,,,,,,,,,,,,,,
FBgn0034479,CG8654,protein_coding,True,True,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","protein_coding,protein_coding","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000063652","Slc22a5,Slc22a21","protein_coding,protein_coding","True,True","False,False",True,True,61850,y1 v1; P{TRiP.HMJ23339}attP40,30,30,8,6,25,24,26,22,,,,No,
FBgn0033809,CG4630,protein_coding,True,False,"ENSG00000197375,ENSG00000137204","SLC22A5,SLC22A7","protein_coding,protein_coding","True,True","True,True","ENSMUSG00000018900,ENSMUSG00000063652","Slc22a5,Slc22a21","protein_coding,protein_coding","True,True","False,False",True,True,61249,y[1] v[1]; P{TRiP.HMJ23028}attP40,45,33,16,15,74,56,75,72,,,,No,
FBgn0086558,Ubi-p5E,protein_coding,True,True,ENSG00000170315,UBB,protein_coding,True,False,ENSMUSG00000019505,Ubb,protein_coding,True,False,True,True,38967,y1 v1; P{TRiP.HMS01881}attP40/CyO,22,20,20,19,25,24,25,25,,,,No,Mouse infertility reported
FBgn0003943,Ubi-p63E,protein_coding,True,True,ENSG00000170315,UBB,protein_coding,True,False,ENSMUSG00000019505,Ubb,protein_coding,True,False,True,True,v102379,P{KK109327}VIE-260B,26,0,28,0,24,0,20,0,Meiotic arrest,Yes. Meiotic arrest. http://dev.biologists.org/content/140/17/3522,polyubiquitin precursor,No,Mouse infertility reported (meiotic arrest)
FBgn0029856,CG11700,protein_coding,True,True,ENSG00000170315,UBB,protein_coding,True,False,ENSMUSG00000019505,Ubb,protein_coding,True,False,True,True,32933,y1 sc* v1 sev21; P{TRiP.HMS00726}attP2,30,30,13,12,30,28,29,28,,,,No,Mouse infertility reported
FBgn0015828,TfIIEalpha,protein_coding,True,True,ENSG00000153767,GTF2E1,protein_coding,False,True,ENSMUSG00000022828,Gtf2e1,protein_coding,True,True,True,True,,,,,,,,,,,,,,,
FBgn0265174,PIG-V,protein_coding,True,True,ENSG00000060642,PIGV,protein_coding,True,False,ENSMUSG00000043257,Pigv,protein_coding,True,True,True,True,v8143,w[1118]; P{GD3514}v8143/TM3,24,23,25,24,29,29,27,24,,,,Yes,
FBgn0037660,beag,protein_coding,True,True,ENSG00000113141,IK,protein_coding,False,True,ENSMUSG00000024474,Ik,protein_coding,True,False,True,True,,,,,,,,,,,,,,,
FBgn0033916,Usp20-33,protein_coding,True,True,ENSG00000136878,USP20,protein_coding,False,True,"ENSMUSG00000026854,ENSMUSG00000025437","Usp20,Usp33","protein_coding,protein_coding","True,False","False,True",True,True,v110250,P{KK104810}VIE-260B,14,0,15,0,9,0,15,0,No sperm. Individualization defect.,No,Ubiquitin specific protease,No,
FBgn0030871,CG8142,protein_coding,True,True,ENSG00000163918,RFC4,protein_coding,True,False,ENSMUSG00000022881,Rfc4,protein_coding,True,False,True,True,,,,,,,,,,,,,,,
FBgn0011224,heph,protein_coding,True,True,ENSG00000117569,PTBP2,protein_coding,False,True,ENSMUSG00000028134,Ptbp2,protein_coding,True,True,True,False,55655,y1 sc* v1 sev21; P{TRiP.HMC03805}attP40,25,25,7,4,29,0,25,19,,,,Yes,
FBgn0030607,dob,protein_coding,True,True,ENSG00000177666,PNPLA2,protein_coding,False,True,ENSMUSG00000025509,Pnpla2,protein_coding,True,False,True,True,,,,,,,,,,,,,,,
FBgn0036449,bmm,protein_coding,True,True,ENSG00000177666,PNPLA2,protein_coding,False,True,ENSMUSG00000025509,Pnpla2,protein_coding,True,False,True,True,,,,,,,,,,,,,,,
FBgn0037549,CG7878,protein_coding,True,True,ENSG00000080007,DDX43,protein_coding,False,True,ENSMUSG00000070291,Ddx43,protein_coding,True,True,True,False,,,,,,,,,,,,,,,
FBgn0033636,tou,protein_coding,True,False,ENSG00000123636,BAZ2B,protein_coding,False,True,ENSMUSG00000040054,Baz2a,protein_coding,True,False,True,False,,,,,,,,,,,,,,,
FBgn0034849,CG3500,protein_coding,True,True,ENSG00000144043,TEX261,protein_coding,True,True,ENSMUSG00000014748,Tex261,protein_coding,True,False,True,True,v19703,w[1118]; P{GD2177}v19703,25,23,30,5,30,11,19,16,OAT. Individualization defect. ?Abnormal Nebenkern? ?Cytokinesis defect (based on similarity with Det)?,No,Transmembrane adaptor Erv26 (ER-Golgi transport),Yes,
FBgn0004875,enc,protein_coding,True,True,ENSG00000179912,R3HDM2,protein_coding,False,True,"ENSMUSG00000056211,ENSMUSG00000025404","R3hdm1,R3hdm2","protein_coding,protein_coding","True,False","False,True",True,False,,,,,,,,,,,,,,,
FBgn0023096,btv,protein_coding,True,True,ENSG00000187240,DYNC2H1,protein_coding,False,True,ENSMUSG00000047193,Dync2h1,protein_coding,True,False,True,True,28373, y[1] v[1]; P{TRiP.JF03010}attP2                               ,22,21,25,25,20,17,27,26,,,,No,
FBgn0036273,INPP5E,protein_coding,True,True,ENSG00000148384,INPP5E,protein_coding,True,True,ENSMUSG00000026925,Inpp5e,protein_coding,True,False,True,True,34037,y[1] sc[*] v[1]; P{TRiP.HMS01011}attP2,10,0,8,0,18,0,20,0,Meiotic arrest,No,Inositol polyphosphate-related phosphatase,No,
FBgn0261983,l(2)gd1,protein_coding,True,True,ENSG00000132024,CC2D1A,protein_coding,True,False,ENSMUSG00000036686,Cc2d1a,protein_coding,True,False,True,False,,,,,,,,,,,,,,,
FBgn0030574,CG9413,protein_coding,True,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","protein_coding,protein_coding","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","protein_coding,protein_coding","True,False","False,True",True,True,,,,,,,,,,,,,,,
FBgn0002778,mnd,protein_coding,True,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","protein_coding,protein_coding","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","protein_coding,protein_coding","True,False","False,True",True,True,,,,,,,,,,,,,,,
FBgn0039487,gb,protein_coding,True,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","protein_coding,protein_coding","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","protein_coding,protein_coding","True,False","False,True",True,True,v1262,w[1118]; P{GD315}v1262,28,26,30,25,30,30,25,25,,,,Yes,
FBgn0039844,CG1607,protein_coding,False,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","protein_coding,protein_coding","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","protein_coding,protein_coding","True,False","False,True",True,True,,,,,,,,,,,,,,,
FBgn0028425,JhI-21,protein_coding,True,True,"ENSG00000151012,ENSG00000103064","SLC7A11,SLC7A6","protein_coding,protein_coding","False,False","True,True","ENSMUSG00000000958,ENSMUSG00000040010","Slc7a7,Slc7a5","protein_coding,protein_coding","True,False","False,True",True,True,,,,,,,,,,,,,,,
FBgn0260439,Pp2A-29B,protein_coding,True,True,ENSG00000105568,PPP2R1A,protein_coding,False,True,ENSMUSG00000032058,Ppp2r1b,protein_coding,True,False,True,False,,,,,,,,,,,,,,,
FBgn0031020,Naa15-16,protein_coding,True,True,ENSG00000164134,NAA15,protein_coding,False,True,ENSMUSG00000022020,Naa16,protein_coding,False,True,True,True,,,,,,,,,,,,,,,
FBgn0261710,nocte,protein_coding,True,True,ENSG00000117523,PRRC2C,protein_coding,False,True,ENSMUSG00000024393,Prrc2a,protein_coding,True,False,True,False,,,,,,,,,,,,,,,
FBgn0263602,Tasp1,protein_coding,True,True,ENSG00000089123,TASP1,protein_coding,False,True,ENSMUSG00000039033,Tasp1,protein_coding,True,False,True,True,,,,,,,,,,,,,,,
FBgn0026192,par-6,protein_coding,True,True,ENSG00000124171,PARD6B,protein_coding,False,True,ENSMUSG00000005699,Pard6a,protein_coding,True,False,True,True,,,,,,,,,,,,,,,
FBgn0039877,Mccc1,protein_coding,True,True,ENSG00000078070,MCCC1,protein_coding,True,False,ENSMUSG00000027709,Mccc1,protein_coding,False,True,True,False,,,,,,,,,,,,,,,
FBgn0002783,mor,protein_coding,True,True,ENSG00000139613,SMARCC2,protein_coding,False,True,ENSMUSG00000025369,Smarcc2,protein_coding,True,False,True,True,,,,,,,,,,,,,,,
FBgn0039450,CG5484,protein_coding,True,True,ENSG00000174851,YIF1A,protein_coding,False,True,"ENSMUSG00000024875,ENSMUSG00000030588","Yif1a,Yif1b","protein_coding,protein_coding","True,True","False,False",True,False,,,,,,,,,,,,,,,
FBgn0033038,CG7791,protein_coding,True,True,ENSG00000027001,MIPEP,protein_coding,False,True,ENSMUSG00000021993,Mipep,protein_coding,True,False,True,True,,,,,,,,,,,,,,,
FBgn0085370,Pde11,protein_coding,True,True,ENSG00000138735,PDE5A,protein_coding,False,True,ENSMUSG00000023868,Pde10a,protein_coding,True,True,True,True,,,,,,,,,,,,,,,
FBgn0027330,l(1)G0020,protein_coding,True,True,ENSG00000135372,NAT10,protein_coding,False,True,ENSMUSG00000027185,Nat10,protein_coding,True,True,True,True,v13479,w[1118]; P{GD3539}v13479,23,17,31,29,31,28,30,26,,,,Yes,
FBgn0261618,larp,protein_coding,True,True,ENSG00000155506,LARP1,protein_coding,False,True,"ENSMUSG00000025762,ENSMUSG00000037331","Larp1b,Larp1","protein_coding,protein_coding","True,True","False,False",True,True,v24841,w[1118]; P{GD8215}v24841,30,28,30,27,29,25,21,15,No discernible phenotype. Test all available reagents,Yes. Mutant is male sterile and has partially penetrant spermatocyte/spermatid defects (https://www.sciencedirect.com/science/article/pii/S0012160609010665?via%3Dihub),Protein that associates and interacts with poly(A)-binding protein,Yes,
