id_gene,Stock Number,Transgene,status,FT1 eggs,FT1 hatched,FT2 eggs,FT2 hatched,FT3 eggs,FT3 hatched,FT4 eggs,FT4 hatched,Recorded cellular phenotype,Previously known to affect male fertility/sperm cells,Function,Previous ref to RNAi working,Other species infertility phenotype?,Flybase link
FBgn0011259,v4743,P{GD2504}v4743,Screened,30,0,25,0,30,0,25,0,No sperm. Individualization defect.,No,Transmembrane protein related with epulsive axon guidance cue.,Yes ,,http://flybase.org/reports/FBgn0011259
FBgn0028692,v44134,P{GD7421}v44134,Screened,32,0,22,0,30,0,28,0,No sperm. Cells incapable of completing meiosis.,No,Zinc ion binding and predicted to contribute to endopeptidase activity and enzyme regulator activity.,Yes ,,http://flybase.org/reports/FBgn0028692
FBgn0025638,v32398,P{GD8596}v32398/TM3,Screened,25,0,22,0,30,0,25,0,"Few sperm, all immotile/dead. Spermiogenesis defect.",No,C2H2 type zinc finger protein and component of several Cullin-Ring E3 ubiquitin ligase complexes. It binds directly to the Cullin subunit within the CRL complex and functions to recruit ubiquitin-charged E2 proteins.,Yes ,,http://flybase.org/reports/FBgn0025638
FBgn0263120,v3222,P{GD1638}v3222,Screened,6,0,17,0,15,0,8,0,No sperm. Defective spermatogenesis from the meiotic domain onwards.,No,Long-chain-fatty-acid--CoA ligase and palmitoyl-CoA ligase activity.,Yes ,,http://flybase.org/reports/FBgn0263120
FBgn0041087,v4176,P{GD1900}v4176,Screened,6,0,19,0,9,0,32,0,No sperm. Defective spermatogenesis from the meiotic domain onwards.,Yes. Affects early germ cell migration (https://dev.biologists.org/content/128/6/983.long),"Lipid phosphate phosphatase, an enzyme with an active site predicted to face extracellularly. It is required for germ cell migration and survival, acting partially redundantly with its paralog wun.",Yes ,,http://flybase.org/reports/FBgn0041087
FBgn0034579,v35447,w[1118]; P{GD12550}v35447,Screened,28,1,26,0,25,0,19,0,"Few sperm, all presumably immotile/dead. Cell death in the pre-meiotic domain (identifed by empty spaces and cellular debris in the proximal testis).",No,mitochondrial ribosomal protein L54,Yes ,,http://flybase.org/reports/FBgn0034579
FBgn0033897,v108002,P{KK100764}VIE-260B,Screened,25,0,30,0,30,2,20,0,No sperm. No post-meiotic cells are visible. Distal testis is full of cellular debris (and round cells). ,No,histone acetyltransferase,No ,,http://flybase.org/reports/FBgn0033897
FBgn0024833,v24017,P{GD14206}v24017/TM3,Screened,22,0,25,0,30,2,20,0,"Reasonable number of sperm, but immotile/dead. Cell death from miotic point onwards. Late spermatogenesis defect? Motility or individualization defect?",No,Adaptor protein complex 1 (clathrin adaptor involved in intracellular transport).,Yes ,,http://flybase.org/reports/FBgn0024833
FBgn0032258,53679,P{TRiP.HMJ21592}attP40,Screened,12,0,19,2,34,0,32,0,"No sperm. Meiotic defect (extensive spermatocyte death). Few post-meiotic cells, fewer are able to elongate",No,"Golgi complex, subunit 4",No ,, http://flybase.org/reports/FBgn0032258
FBgn0032052,v105420,P{KK101552}VIE-260B,Screened,26,3,23,0,13,0,25,1,Few sperm. Motile.,No,"subunit of glycosylphosphatidylinositol (GPI) transamidase, which mediates GPI anchoring in the endoplasmic reticulum",No ,,http://flybase.org/reports/FBgn0032052
FBgn0027866,v107811,P{KK109675}VIE-260B,Screened,30,0,30,0,27,7,30,0,"Very few sperm, all immotile/dead. Individualization defect.",No,Unknown.,No ,,http://flybase.org/reports/FBgn0027866
FBgn0034535,v106768,P{KK108425}VIE-260B,Screened,24,0,17,0,27,10,18,1,"Few sperm. Motile, testis is disorganized from the apical domain.",No,Mitochondrial inner membrane protease subunit 2,No ,Mouse infertility. Age-dependent spermatogenesis defects (https://academic.oup.com/biolreprod/article/78/4/601/2629830),http://flybase.org/reports/FBgn0034535
FBgn0024285,v51088,P{GD10663}v51088,Screened,32,0,32,3,25,2,25,7,No visible sperm. Individualization defect.,No,Splicing regulator,Yes ,,http://flybase.org/reports/FBgn0024285
FBgn0039875,v6870,P{GD3145}v6870,Screened,25,0,10,2,7,0,25,10,"Few sperm, all immotile/dead. Spermiogenesis defect.",No,Transmembrane protein in the endoplasmic reticulum (ER) membrane with ubiquitin ligase activity (promotes the degradation of misfolded peptides by retro-translocating them from the ER lumen to the cytoplasm and sending them for proteasomal degradation via ubiquitylation).,Yes ,,http://flybase.org/reports/FBgn0039875
FBgn0024804,34682,P{TRiP.HMS01160}attP2,Screened,19,3,22,5,52,13,95,23,Few sperm. Spermiogenesis defect.,No,RNA helicase,No ,Mouse infertility (Ddx25). Spermiogenesis defect (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3245878/), http://flybase.org/reports/FBgn0024804
FBgn0266599,54810,P{TRiP.HMJ21529}attP40,Screened,25,7,17,0,23,18,23,0,Morphologically normal testis.,No,Heat shock protein cognate 4,Yes ,Mouse infertility 3/4 (Hspa2). Meiotic defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4326386/), http://flybase.org/reports/FBgn0266599
FBgn0034893,v104466,P{KK109027}VIE-260B,Screened,28,12,21,9,25,5,25,8,Few sperm. Individualization defect.,No,39S ribosomal protein L43/54S ribosomal protein L51,No ,,http://flybase.org/reports/FBgn0034893
FBgn0263697,v105141,P{KK102057}VIE-260B,Screened,11,6,30,16,22,13,14,4,Few sperm. No or weakly motile.,No,Ubiquitin activating enzyme,Yes ,,http://flybase.org/reports/FBgn0263697
FBgn0041164,31604,P{TRiP.JF01388}attP2,Screened,11,2,17,15,27,15,25,12,Morphologically normal testis.,Yes. Defects in small RNA pathways (https://www.sciencedirect.com/science/article/pii/S0092867404002181?via%3Dihub),RNA helicase,No ,Mouse infertility. Meiotic arrest (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2900665/), http://flybase.org/reports/FBgn0041164
FBgn0031099,v32845,P{GD9278}v32845,Screened,25,13,25,5,30,23,30,24,"Few sperm, immotile/dead. Individualization or motility defect?",No,Unknown (predicted to have N-acetylglucosamine-6-phosphate deacetylase activity).,Yes ,,http://flybase.org/reports/FBgn0031099
FBgn0034849,v19703 - lost stock,P{GD2177}v19703,Screened,25,23,30,5,30,11,19,16,Few sperm. Individualization defect.,No,Transmembrane adaptor Erv26 (ER-Golgi transport),Yes ,,http://flybase.org/reports/FBgn0034849
FBgn0037722,v110491,P{KK104218}VIE-260B,Screened,25,20,28,21,30,21,30,18,No detectable phenotype.,No,Unknown (predicted transcription factor).,Yes ,,http://flybase.org/reports/FBgn0037722
FBgn0004838,33716,P{TRiP.HMS00597}attP2,Screened,25,11,21,19,14,11,25,18,Morphologically normal testis.,No (but predicted) ,mRNA 3'-UTR binding (DAZ-associated domain),Yes ,Mouse infertility. Meiotic entry defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2525968/), http://flybase.org/reports/FBgn0004838
FBgn0036848,v39667,P{GD6974}v39667/CyO,Screened,25,22,25,20,30,20,25,20,,No,ADP-dependent NAD(P)H-hydrate dehydratase,Yes ,,http://flybase.org/reports/FBgn0036848
FBgn0034566,51888,P{TRiP.HMC03462}attP40,Screened,14,12,20,16,52,41,44,31,,No,"Unknown (predicted ATP-dependent microtubule motor activity, plus-end-directed and dynein heavy/light chain binding).",No ,, http://flybase.org/reports/FBgn0034566
FBgn0037241,v103770,P{KK102570}VIE-260B,Screened,26,16,22,21,30,26,28,20,,No,Unknown (predicted ubiquitin protein ligase activity).,No ,,http://flybase.org/reports/FBgn0037241
FBgn0030099,51395,P{TRiP.GLC01627}attP2,Screened,26,20,25,23,23,15,83,69,,No,Unknown (predicted heme binding).,No ,, http://flybase.org/reports/FBgn0030099
FBgn0036165,43975,P{TRiP.GL01585}attP2,Screened,22,15,33,30,23,19,59,45,,No,Unknown.,No ,, http://flybase.org/reports/FBgn0036165
FBgn0036043,51827,P{TRiP.HMC03399}attP40,Screened,20,17,27,17,57,46,76,68,,No,Unknown (predicted inorganic anion exchanger activity).,Yes ,, http://flybase.org/reports/FBgn0036043
FBgn0039726,v40322,P{GD10611}v40322,Screened,15,9,15,11,25,25,23,20,,No,Eukaryotic translation initiation factor 2B subunit alpha: regulatory subunit of the eIF2B heteropentamer.,Yes ,,http://flybase.org/reports/FBgn0039726
FBgn0030183,29530,P{TRiP.HM05209}attP2,Screened,23,12,37,31,37,35,76,71,,No,Unknown.,No ,, http://flybase.org/reports/FBgn0030183
FBgn0038787,51813,P{TRiP.HMC03384}attP2,Screened,25,25,14,7,19,18,25,20,,No,"Unknown (predicted DNA-binding transcription repressor activity, RNA polymerase II-specific).",No ,, http://flybase.org/reports/FBgn0038787
FBgn0028497,38340,P{TRiP.HMS01807}attP2,Screened,15,11,71,56,62,49,134,131,,No,"Protein-tyrosine-phosphatase, Phosphatidylinositol-3-phosphatase.",Yes ,, http://flybase.org/reports/FBgn0028497
FBgn0034158,31142,P{TRiP.JF01617}attP2,Screened,26,25,26,18,27,23,48,38,,No,Unknown (predicted Ral guanyl-nucleotide exchange factor activity).,No ,, http://flybase.org/reports/FBgn0034158
FBgn0038578,v44024,P{GD4153}v44024/CyO,Screened,8,8,15,15,25,19,20,11,,Yes. Partial meiotic arrest (https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005701),Activating transcription factor binding.,Yes ,,http://flybase.org/reports/FBgn0038578
FBgn0037609,34570,P{TRiP.HMS01044}attP2,Screened,8,4,15,14,22,21,30,28,,No,Unknown.,No ,, http://flybase.org/reports/FBgn0037609
FBgn0041094,v25504,P{GD9925}v25504/CyO,Screened,26,21,26,23,30,23,30,26,,No,Unknown.,No ,,http://flybase.org/reports/FBgn0041094
FBgn0013759,51721,P{TRiP.HMC03260}attP2,Screened,24,20,23,20,30,25,25,20,,No,Protein member of the MAGUK family of scaffolding proteins (different roles in epithelial and neuronal tissues).,Yes ,, http://flybase.org/reports/FBgn0013759
FBgn0262871,v17491,P{GD8297}v17491,Screened,25,23,25,20,30,26,25,19,,No,Protein involved in neurogenesis.,Yes ,,http://flybase.org/reports/FBgn0262871
FBgn0033934,v47901,P{GD9366}v47901/TM3,Screened,30,25,32,25,22,22,30,22,,No,Unknown (predicted to be involved in regulation of transcription).,Yes ,,http://flybase.org/reports/FBgn0033934
FBgn0036254,v9289,P{GD1720}v9289,Screened,30,25,26,18,30,29,23,20,,No,"Unknown (predicted to be involved in endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)).",Yes ,,http://flybase.org/reports/FBgn0036254
FBgn0037024,v6262,P{GD1595}v6262/TM3,Screened,23,15,25,22,21,19,16,15,,No,Hydroxyacylglutathione hydrolase (predicted activity only).,Yes ,,http://flybase.org/reports/FBgn0037024
FBgn0036330,v31113,P{GD6726}v31113/TM3,Screened,30,18,28,26,30,29,25,22,,No,"Unknown (predicted NOT 3'-5' exonuclease activity, protein homodimerization activity and RNA binding).",Yes ,,http://flybase.org/reports/FBgn0036330
FBgn0033809,61249,P{TRiP.HMJ23028}attP40,Screened,45,33,16,15,74,56,75,72,,No,Unknown (predicted transmembrane transporter activity).,No ,, http://flybase.org/reports/FBgn0033809
FBgn0027507,35261,P{TRiP.GL00152}attP2,Screened,30,24,21,14,27,26,33,32,,No,Unknown (predicted NOT kinase activity).,Yes ,, http://flybase.org/reports/FBgn0027507
FBgn0085434,26012,P{TRiP.JF02037}attP2,Screened,25,22,15,12,25,20,28,26,,No,Voltage-gated calcium-selective cation channel.,No ,, http://flybase.org/reports/FBgn0085434
FBgn0261618,v24841,P{GD8215}v24841,Screened,30,28,30,27,29,25,21,15,,Yes. Mutant is male sterile and has partially penetrant spermatocyte/spermatid defects (https://www.sciencedirect.com/science/article/pii/S0012160609010665?via%3Dihub),Protein that associates and interacts with poly(A)-binding protein.,Yes ,,http://flybase.org/reports/FBgn0261618
FBgn0038047,57445,P{TRiP.HMC04753}attP40,Screened,30,26,20,17,28,20,20,20,,No,Unknown (predicted RNA polymerase II regulatory region sequence-specific DNA binding and zinc ion binding).,No,, http://flybase.org/reports/FBgn0038047
FBgn0033755,v4642,P{GD1958}v4642/TM3,Screened,25,20,25,25,25,23,25,18,,No,Chloride transmembrane transporter involved in phagocytosis.,Yes ,,http://flybase.org/reports/FBgn0033755
FBgn0027330,v13479,P{GD3539}v13479,Screened,23,17,31,29,31,28,30,26,,No,Unknown (predicted ATP binding and rRNA cytidine N-acetyltransferase activity).,Yes ,,http://flybase.org/reports/FBgn0027330
FBgn0036967,v104778,P{KK108602}VIE-260B,Screened,22,21,15,13,24,21,16,12,,No,Squamous cell carcinoma-related oncogene 4: protein involved in the regulation of protein neddylation.,No ,,http://flybase.org/reports/FBgn0036967
FBgn0261804,v104049,P{KK112556}VIE-260B,Screened,28,23,32,31,27,25,25,19,,No,"Unknown (predicted dipeptidase activity, dipeptidyl-peptidase activity and metalloexopeptidase activity).",No ,,http://flybase.org/reports/FBgn0261804
FBgn0012034,41917,P{TRiP.HMS02314}attP2,Screened,20,18,24,18,15,13,29,28,,No,Acetate-CoA ligase and Long-chain-fatty-acid--CoA ligase.,Yes ,, http://flybase.org/reports/FBgn0012034
FBgn0040228,v8057,P{GD3469}v8057,Screened,21,17,19,13,16,16,30,30,,Yes. Male sterility (http://flybase.org/reports/FBrf0209649.html),Motor protein involved in spermatogenesis (also contributes to the dendritic restriction of the product of Dscam1).,Yes ,,http://flybase.org/reports/FBgn0040228
FBgn0034803,55948,P{TRiP.HMC04237}attP40,Screened,17,12,73,62,56,55,83,81,,No,Unknown.,No ,, http://flybase.org/reports/FBgn0034803
FBgn0022942,v22331,P{GD12110}v22331,Screened,18,18,25,20,25,19,30,29,,No,Unknown (predicted mRNA binding and RNA cap binding).,Yes ,,http://flybase.org/reports/FBgn0022942
FBgn0032378,34009,P{TRiP.HMS00974}attP2,Screened,25,16,16,15,28,28,25,24,,No,Unknown (predicted cyclin-dependent protein serine/threonine kinase regulator activity and protein kinase binding).,No ,"Mouse infertility (Ccnyl1). Spermiogenesis defects, but normal counts (https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005485)", http://flybase.org/reports/FBgn0032378
FBgn0266377,v25976,P{GD10547}v25976,Screened,29,29,26,25,30,21,25,22,,No,"Unknown (predicted 3',5'-cyclic-nucleotide phosphodiesterase).",Yes ,,http://flybase.org/reports/FBgn0266377
FBgn0030753,v40513,P{GD11310}v40513,Screened,15,13,25,24,30,26,21,18,,No,Ubiquitin receptor that binds to ubiquitinated proteins via its ubiquitin-associated domain.,Yes ,,http://flybase.org/reports/FBgn0030753
FBgn0034479,61850,P{TRiP.HMJ23339}attP40,Screened,30,30,8,6,25,24,26,22,,No,Unknown (predicted transmembrane transporter activity).,No ,, http://flybase.org/reports/FBgn0034479
FBgn0020930,v4659,P{GD1964}v4659,Screened,24,20,30,24,25,25,26,24,,No,Kinase that plays a key role in the metabolism of diacylglycerol by converting diacylglycerol into phosphatidic acid.,Yes ,,http://flybase.org/reports/FBgn0020930
FBgn0039329,31946,P{TRiP.JF02237}attP2,Screened,25,25,11,10,20,15,30,27,,No,Unknown (predicted DNA-binding transcription factor activity and zinc ion binding).,No ,, http://flybase.org/reports/FBgn0039329
FBgn0032475,32473,"P{TRiP.HMS00473}attP2/TM3, Sb1",Screened,20,20,18,13,27,27,25,21,,No,Subunit of the Polycomb Group protein complex Pho repressive complex (PhoRC): recognizes with high selectivity mono- and dimethylated lysine residues in various histone peptides.,No ,, http://flybase.org/reports/FBgn0032475
FBgn0266719,v31571,P{GD7394}v31571,Screened,25,24,25,25,25,21,30,23,,No,Unknown.,Yes ,,http://flybase.org/reports/FBgn0266719
FBgn0086784,v23618,P{GD14013}v23618,Screened,20,18,14,12,23,23,27,22,,No,Unknown.,Yes ,,http://flybase.org/reports/FBgn0086784
FBgn0039846,v108158,P{KK100394}VIE-260B,Screened,22,22,29,27,30,23,27,25,,No,Enzyme involved in the regulation of mitochondrial mRNA stability.,Yes ,,http://flybase.org/reports/FBgn0039846
FBgn0038363,57525,P{TRiP.HMC04840}attP40,Screened,21,17,15,15,30,29,20,17,,No,Small cytosolic enzyme that catalyses the hydrolysis of carboxyl phosphate bonds (its exact role and function are unknown).,No ,, http://flybase.org/reports/FBgn0038363
FBgn0039115,v101393,P{KK109035}VIE-260B,Screened,22,22,20,16,26,25,23,20,,No,Unknown (predicted exonucleolytic cleavage of oligonucleotides to yield nucleoside 5'-phosphates).,No ,,http://flybase.org/reports/FBgn0039115
FBgn0000146,v30125,P{GD11831}v30125,Screened,28,28,26,19,29,29,24,22,,"Yes. Male sterile, with meiotic defects and crystal accumulation in spermatocytes and spermatids (https://www.genetics.org/content/151/2/749.long)",piRNA binding and RNA binding.,Yes ,Mouse infertility 1/3 (for either Piwil1 or Piwil2). Meiotic (Piwil2) or spermiogenesis (Piwil1) defects (https://dev.biologists.org/content/131/4/839.long and https://www.sciencedirect.com/science/article/pii/S153458070200165X?via%3Dihub),http://flybase.org/reports/FBgn0000146
FBgn0086674,v102758,P{KK112357}VIE-260B,Screened,25,23,23,22,24,21,30,27,,No,Unknown (predicted protein-tyrosine sulfotransferase activity).,No,,http://flybase.org/reports/FBgn0086674
FBgn0261112,v7728,P{GD1303}v7728,Screened,18,18,27,23,29,28,25,21,,No,Amyloid-beta binding: contributes to NEDD8 activating enzyme activity by protein binding.,Yes ,,http://flybase.org/reports/FBgn0261112
FBgn0033491,v23958,P{GD8721}v23958,Screened,30,23,30,29,27,25,30,30,,No,Unknown (predicted to have DNA-binding transcription factor activity).,Yes ,,http://flybase.org/reports/FBgn0033491
FBgn0033686,33385,P{TRiP.HMS00262}attP2,Screened,30,22,23,23,24,23,32,31,,No,Methyltransferase that methylates the terminal 2' hydroxyl group of small interfering RNAs and Piwi-interacting RNAs (it probably protects the 3' ends of small RNAs from degradation).,No,Mouse infertility. Spermiogenesis defects (https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005620), http://flybase.org/reports/FBgn0033686
FBgn0038453,v5894,P{GD3027}v5894,Screened,26,25,25,23,21,18,25,24,,No,Unknown.,Yes ,,http://flybase.org/reports/FBgn0038453
FBgn0003483,v21374,P{GD10299}v21374/TM3,Screened,29,28,20,20,30,30,30,22,,"Yes. Male sterile, with meiotic defects (https://link.springer.com/article/10.1007/s004120100136)",RNA helicase.,Yes ,Mouse infertility. Meiotic failure (https://www.ncbi.nlm.nih.gov/pubmed/20059948),http://flybase.org/reports/FBgn0003483
FBgn0032295,33957,P{TRiP.HMS00912}attP2,Screened,20,19,25,19,27,27,25,25,,No,Unknown (predicted DNA-binding transcription repressor activity and RNA polymerase II-specific).,No ,, http://flybase.org/reports/FBgn0032295
FBgn0086757,v103509,P{KK112417}VIE-260B,Screened,30,28,33,29,30,27,30,30,,No,Golgi protein required for the centrosome cycle (ADP-ribosylation factor binding and Rab GTPase binding).,No ,,http://flybase.org/reports/FBgn0086757
FBgn0011740,v5838,P{GD2875}v5838,Screened,16,16,26,26,27,22,30,27,,No,Mannosidase activity.,No ,Mouse infertility 1/2 (Man2a2). Defective adhesion between somatic and germ cells (https://www.ncbi.nlm.nih.gov/pubmed/12417422),http://flybase.org/reports/FBgn0011740
FBgn0001230,v47146,P{KK106301}VIE-260B,Screened,30,28,25,24,30,26,25,24,,No,Heat shock protein,Yes ,Mouse infertility 4/4 (Hspa2). Meiotic defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4326386/),http://flybase.org/reports/FBgn0001230
FBgn0264000,v42890,P{GD3584}v42890,Screened,25,22,25,25,25,25,25,21,,No,"Unknown (predicted AMPA glutamate receptor activity, extracellular ligand-gated ion channel activity, glutamate receptor activity and transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential).",Yes ,,http://flybase.org/reports/FBgn0264000
FBgn0265140,58331,P{TRiP.HMJ22461}attP40,Screened,14,13,16,15,20,18,23,22,,No,ADAM protein that belongs to the metzincin superfamily of metalloproteases (it is regulated by the homeobox protein encoded by vnd during embryonic development).,No ,, http://flybase.org/reports/FBgn0265140
FBgn0032042,v103418,P{KK100762}VIE-260B,Screened,16,15,27,26,30,28,18,16,,No,Unknown.,No ,,http://flybase.org/reports/FBgn0032042
FBgn0030411,v104886,P{KK110925}VIE-260B,Screened,18,18,27,26,20,16,25,24,,No,Unknown (predicted gamma-glutamylcyclotransferase activity).,No ,,http://flybase.org/reports/FBgn0030411
FBgn0041604,v10298,P{GD3592}v10298/TM3,Screened,28,26,30,26,26,25,30,29,,No,Glypican that regulates the signaling strength and range of the morphogens encoded by hh and wg (hedgehog family protein binding and Wnt-protein binding).,Yes ,,http://flybase.org/reports/FBgn0041604
FBgn0031458,v16820,P{GD840}v16820,Screened,25,25,30,29,30,25,27,25,,No,Scaffolding subunit of the gamma-secretase complex.,Yes ,,http://flybase.org/reports/FBgn0031458
FBgn0010340,v48717,P{GD16421}v48717,Screened,19,18,32,32,31,29,20,17,,No,Unknown.,Yes ,,http://flybase.org/reports/FBgn0010340
FBgn0038325,56046,P{TRiP.HMS04249}attP2,Screened,30,26,16,15,25,25,30,28,,No,"Cysteine protease that cleaves the precursor product of Atg8a at the C-terminal region, thereby initiating autophagosome formation.",No ,, http://flybase.org/reports/FBgn0038325
FBgn0026630,62490,P{TRiP.HMJ24013}attP40/CyO,Screened,26,24,5,5,25,23,29,26,,No,Lysophospholipid acyltransferase that is required redundantly with the product of oys for germ cell migration and spermatid individualization.,No ,, http://flybase.org/reports/FBgn0026630
FBgn0037901,61830,P{TRiP.HMJ23313}attP40,Screened,27,26,22,22,27,21,22,22,,No,3'-5'-exoribonuclease activity.,No ,, http://flybase.org/reports/FBgn0037901
FBgn0038499,v40219,P{GD10207}v40219/TM3,Screened,24,23,17,14,23,23,25,24,,No,Transcription factor binding protein involved in transcription mediated by RNA polymerase III.,Yes ,,http://flybase.org/reports/FBgn0038499
FBgn0001624,v41136,P{GD4689}v41136/TM3,Screened,35,34,26,24,30,28,25,23,,No,Guanylate kinase.,Yes ,,http://flybase.org/reports/FBgn0001624
FBgn0033155,v30436,P{GD4038}v30436/CyO,Screened,21,20,20,17,24,24,22,21,,No,"Histone acetyltransferase that is a component of the Enok complex, which interacts with the product of elg1 via Br140 to promote the G1/S transition via proliferating cell nuclear antigen (PCNA) unloading.",Yes ,,http://flybase.org/reports/FBgn0033155
FBgn0030010,29361,"P{TRiP.JF02525}attP2/TM3, Sb1",Screened,22,22,10,9,13,12,32,30,,No,Unknown (predicted  DNA-binding transcription repressor activity and RNA polymerase II-specific).,No ,, http://flybase.org/reports/FBgn0030010
FBgn0039487,v1262,P{GD315}v1262,Screened,28,26,30,25,30,30,25,25,,No,Amino acid transporter involved in glutamate secretion into the extracellular space (it regulates synaptic transmission and male courtship behavior).,Yes ,,http://flybase.org/reports/FBgn0039487
FBgn0020309,v7779,P{GD1410}v7779,Screened,30,29,30,29,23,20,28,27,,No,Zinc finger transcription factor induced by 20-hydroxyecdysone at the onset of metamorphosis (it regulates wg transcription and cell cycle progression in the wing and its over-expression in the eye accelerates the cell cycle and de-represses silenced genes).,Yes ,,http://flybase.org/reports/FBgn0020309
FBgn0023096,28373,P{TRiP.JF03010}attP2,Screened,22,21,25,25,20,17,27,26,,No,"Minor cytoplasmic dynein heavy chain, which is the retrograde motor for intraflagellar transport.",No ,, http://flybase.org/reports/FBgn0023096
FBgn0037607,60371,P{TRiP.HMJ22552}attP40,Screened,17,14,19,18,10,10,19,19,,No,Unknown (predicted transketolase activity). ,No ,, http://flybase.org/reports/FBgn0037607
FBgn0037109,v13054,P{GD4136}v13054,Screened,13,13,14,13,25,24,27,24,,Yes. Incomplete meiotic arrest (https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005701),Transcription coregulator activity.,Yes ,,http://flybase.org/reports/FBgn0037109
FBgn0031519,v24747,P{GD10937}v24747,Screened,13,13,14,13,20,17,29,29,,No,Adenosinetriphosphatase (microtubule-severing ATPase activity).,Yes ,,http://flybase.org/reports/FBgn0031519
FBgn0028647,29363,"P{TRiP.JF02527}attP2/TM3, Sb1",Screened,25,23,8,8,35,34,27,24,,No,"Unknown (predicted DNA-binding transcription factor activity, nucleic acid binding and zinc ion binding).",No ,, http://flybase.org/reports/FBgn0028647
