id_gene,gene,Stock Number,Transgene,Status,Human variants in cohort,FT1 eggs,FT1 hatched,FT2 eggs,FT2 hatched,FT3 eggs,FT3 hatched,FT4 eggs,FT4 hatched,Recorded cellular phenotype,Previously reported in DM?,Function,Previous ref to RNAi working?,Other species infertility phenotype?,Our DM pheno code,Others DM pheno code,MM pheno code,HS pheno code,Flybase link,Origin of gene
FBgn0034352,Dnaaf3,64623,P{TRiP.HMC05658}attP40,Screened,Homozygous - stop gain,25,0,27,0,30,0,24,0,No sperm. Individualization defect.,Yes. Sperm motility defects (https://journals.biologists.com/bio/article/10/10/bio058812/272642/The-Drosophila-orthologue-of-the-primary-ciliary),Predicted to be involved in axonemal dynein complex assembly,No,,B,C,,,http://flybase.org/reports/FBgn0034352,"Original ""pool"""
FBgn0003889,betaTub85D,v109590,P{KK110793}VIE-260B,Screened,,28,0,30,0,28,0,29,0,No sperm. Post meiotic defect: spermatids do not elongate.,Yes. Meiotic and post-meiotic defects (http://jcb.rupress.org/content/99/1/1),Predicted to have GTP binding activity and to be a structural constituent of cytoskeleton,No,,B,A,,,http://flybase.org/reports/FBgn0003889,"Original ""core"""
FBgn0266709,Zmynd10,v105377,P{KK100221}VIE-260B,Screened,,26,0,28,0,27,0,31,0,No sperm. Individualization defect.,Yes. Sperm motility defects (https://www.sciencedirect.com/science/article/pii/S0002929713003273).,"Involved in several processes, including cilium assembly; flagellated sperm motility; and sensory perception of sound",No,Human infertility. PCD (https://www.sciencedirect.com/science/article/pii/S0002929713003273),B,B,,C,http://flybase.org/reports/FBgn0266709,"Original ""pool"""
FBgn0036893,PIG-F,v106062,P{KK103816}VIE-260B,Screened,,26,0,28,0,30,0,25,0,No sperm. Individualization defect.,No,Phosphatidylinositol glycan anchor biosynthesis class F,No,,B,,,,http://flybase.org/reports/FBgn0036893,"Original ""pool"""
FBgn0038474,mRpS11,v106653,P{KK108850}VIE-260B,Screened,,25,0,27,0,29,0,27,0,No sperm. Individualization defect.,No,Mitochondrial ribosomal protein S11,No,,B,,,,http://flybase.org/reports/FBgn0038474,"Original ""pool"""
FBgn0017556,Prosalpha4T2,58218,P{TRiP.HMJ22226}attP40,Screened,,30,0,25,0,25,0,27,0,No sperm. Severe spermiogenesis defect.,No,"Proteasome α4 subunit, Testis-specific 2",No,Mouse infertility 3/3 (PSMA8). Meiotic arrest (https://www.nature.com/articles/s41467-019-11346-y),B,,A,,http://flybase.org/reports/FBgn0017556,"Original ""core"""
FBgn0015520,nonA-l,v101567 (52934 defective) ,P{KK103858}VIE-260B,Screened,,28,0,30,0,25,0,26,0,No sperm. Late spermiogenesis defect.,No,"Predicted to be involved in mRNA splicing, via association with the spliceosome",No,Mouse infertility (1/2) (https://www.mousephenotype.org/data/genes/MGI:1913895),B,,G,,http://flybase.org/reports/FBgn0015520,"Original ""pool"""
FBgn0025874,Meics,50636,P{TRiP.HMC03035}attP2,Screened,Heterozygous - missense (19 DM genes),5,0,18,0,26,0,30,0,No sperm. Severely abnormal spermiogenesis.,No,Predicted to have nucleic acid binding activity and zinc ion binding activity,No ,,B,,,,http://flybase.org/reports/FBgn0025874,"Original ""pool"""
FBgn0032513,CG6565,v39006,P{GD11963}v39006,Screened,,10,0,6,0,19,0,12,0,No sperm. Individualization defect.,No,Phospholipid transporter,No ,,B,,,,http://flybase.org/reports/FBgn0032513,"Original ""pool"""
FBgn0033816,CG4679,v110665,P{KK100629}VIE-260B,Screened,Homozygous - frameshift,18,0,10,0,11,0,13,0,No sperm. Individualization defect.,No,Predicted to have rRNA binding and ribosomal small subunit binding activity,No ,,B,,,,http://flybase.org/reports/FBgn0033816,"Original ""pool"""
FBgn0033916,Usp20-33,v110250,P{KK104810}VIE-260B,Screened,,14,0,15,0,9,0,15,0,No sperm. Individualization defect.,No,Ubiquitin specific protease,No ,,B,,,,http://flybase.org/reports/FBgn0033916,"Original ""pool"""
FBgn0035437,Strip,34657,P{TRiP.HMS01134}attP2,Screened,,15,0,11,0,16,0,25,0,No sperm. Severe spermiogenesis defects.,Yes. Early germ cell defects (https://journals.biologists.com/dev/article/146/13/dev174292/19793/Strip-and-Cka-negatively-regulate-JNK-signalling),Component of the striatin-interacting phosphatase and kinase (STRIPAK) complex,No ,,B,D,,,http://flybase.org/reports/FBgn0035437,"Original ""pool"""
FBgn0037383,Sec20,34693,P{TRiP.HMS01172}attP2,Screened,,29,0,27,0,18,0,35,0,No sperm. Individualization defect.,No,Predicted to be involved in endoplasmic reticulum membrane fusion,No ,,B,,,,http://flybase.org/reports/FBgn0037383,"Original ""pool"""
FBgn0267977,mh,44448,P{TRiP.GLC01597}attP2,Screened,,17,0,30,0,16,0,11,0,No sperm. Spermiogenesis defect.,No,Protease required for paternal chromosome integrity,No ,,B,,,,http://flybase.org/reports/FBgn0267977,"Original ""pool"""
FBgn0261641,CG42724,33737,P{TRiP.HMS00621}attP2,Screened,,35,0,41,0,30,0,40,0,No sperm. Individualization defect.,No,"Predicted to be involved in mRNA splicing, via spliceosome",No ,,B,,,,http://flybase.org/reports/FBgn0261641,"Original ""pool"""
FBgn0037875,ZnT86D,44586,P{TRiP.HMS02884}attP2,Screened,,28,0,27,0,28,0,24,0,No sperm. Spermiogenesis defect: evidence of post-meiotic cell death.,No,Zinc transporter 86D,No ,,B,,,,http://flybase.org/reports/FBgn0037875,"Original ""pool"""
FBgn0039229,Saf-B,51759,P{TRiP.HMC03311}attP2,Screened,,37,0,33,0,29,0,26,0,No sperm. Individualization defect.,No,Predicted mRNA binding and sequence-specific DNA binding,No ,"Mouse infertility (for Safb1). Spermatogenesis defects, with abnormal hormonal levels (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1069606/)",B,,H,,http://flybase.org/reports/FBgn0039229,"Original ""pool"""
FBgn0036824,CG3902,56880 - lost stock,P{TRiP.HMC04101}attP2,Screened,Homozygous - missense (3 DM genes),32,0,29,0,27,0,30,0,No sperm. Individualization defect.,No,Predicted acyl-CoA dehydrogenase activity,No ,,B,,,,http://flybase.org/reports/FBgn0036824,"Original ""pool"""
FBgn0027524,CG3909,57377,P{TRiP.HMC04664}attP40,Screened,,36,0,29,0,29,0,31,0,No sperm. Severe spermiogenesis defect.,No,Unknown,No ,,B,,,,http://flybase.org/reports/FBgn0027524,"Original ""pool"""
FBgn0086446,DCTN6-p27,64679,P{TRiP.HMC05714}attP40,Screened,,26,0,30,0,27,0,25,0,No sperm. Individualization defect.,No,"Dynactin 6, p27 subunit",No ,,B,,,,http://flybase.org/reports/FBgn0086446,"Original ""pool"""
FBgn0035825,CG8111,67209,P{TRiP.HMC06310}attP40,Screened,,24,0,26,0,26,0,30,0,No sperm. Individualization defect.,No,Predicted to be involved in nuclear membrane organization,No ,,B,,,,http://flybase.org/reports/FBgn0035825,"Original ""pool"""
FBgn0032345,CG14921,v102195,P{KK111069}VIE-260B,Screened,Homozygous - stop gain,32,0,29,0,25,0,20,0,No sperm. Individualization defect.,No,Involved in sensory perception of sound,No ,Human infertility (DNAAF4). PCD (https://www.nature.com/articles/ng.2707),B,,,C,http://flybase.org/reports/FBgn0032345,"Original ""pool"""
FBgn0032723,ssp3,v105858,P{KK102697}VIE-260B,Screened,,31,0,27,0,25,0,29,0,No sperm. Individualization defect.,No,Unknown,No ,"Mouse infertility (Scaper). Severely impaired spermatogenesis, few spermatogonia present (https://academic.oup.com/hmg/article/29/13/2240/5854560)",B,,D,,http://flybase.org/reports/FBgn0032723,"Original ""pool"""
FBgn0038763,PIG-L,77179,P{TRiP.HMC06490}attP40,Screened,,26,0,30,0,29,0,25,0,No sperm. Individualization defect.,No,Phosphatidylinositol glycan anchor biosynthesis class L,No ,,B,,,,http://flybase.org/reports/FBgn0038763,"Original ""pool"""
FBgn0025807,Rad9,80382,P{TRiP.HMC06618}attP40,Screened,,31,0,27,0,28,0,31,0,No sperm. Individualization defect.,No,Rad9 nuclease,No ,,B,,,,http://flybase.org/reports/FBgn0025807,"Original ""pool"""
FBgn0037660,beag,53306,P{TRiP.HMC03533}attP2,Screened,,31,0,27,0,27,0,17,0,"Very few sperm, all immotile/dead. Spermiogenesis defect.","Yes, but with somatic driver. Reduced number of early germ cells (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1470893/pdf/15238523.pdf)",Spliceosomal protein,Yes,,B,H,,,http://flybase.org/reports/FBgn0037660,"Original ""core"""
FBgn0069354,Porin2,v39107,P{GD15043}v39108,Screened,,30,0,35,0,27,0,30,0,No sperm. Probable spermiogenesis defect.,No,Ion transporter,Yes,Mouse infertility 1/2 (for Vdac3). Sperm axoneme defects (https://www.ncbi.nlm.nih.gov/pubmed/11507092) ,B,,B,,http://flybase.org/reports/FBgn0069354,"Original ""core"""
FBgn0001086,fzy,v105114,P{GD11268}v40500,Screened,,15,0,27,0,29,0,25,0,No sperm. Individualization defect.,No,WD40 domain protein required for the full ubiquitin ligase activity of the APC/C in mitosis and meiosis ,Yes,,B,,,,http://flybase.org/reports/FBgn0001086,"Original ""core"""
FBgn0033074,tomboy40,v42439,P{GD13779}v42439,Screened,,34,0,32,0,30,0,29,0,No sperm. Individualization defect.,No,Mitochondrial protein-transporting ATPase,Yes,,B,,,,http://flybase.org/reports/FBgn0033074,"Original ""core"""
FBgn0265606,Prosalpha4T1,v46876,P{GD17186}v46876,Screened,,20,0,16,0,19,0,14,0,No sperm. Individualization defect.,Yes. Individualization defects (http://genesdev.cshlp.org/content/31/18/1841),Proteasome subunit,Yes,Mouse infertility 1/3 (PSMA8). Meiotic arrest (https://www.nature.com/articles/s41467-019-11346-y),B,B,A,,http://flybase.org/reports/FBgn0265606,"Original ""core"""
FBgn0052396,CG32396,v41896,P{GD10881}v41896,Screened,,30,0,20,0,28,0,29,0,No sperm. Spermiogenesis defect.,No,Predicted to have GTP binding activity and to be involved in microtubule cytoskeleton organization and mitosis,Yes,,B,,,,http://flybase.org/reports/FBgn0052396,"Original ""core"""
FBgn0004363,porin,v101336 - discarded stock,P{KK107645}VIE-260B,Screened,,26,0,9,0,15,0,14,0,No sperm. Individualization defect.,Yes. Post-meiotic defects (https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0013151),Voltage-gated anion channel,Yes,Mouse infertility 2/2 (for Vdac3). Sperm axoneme defects (https://www.ncbi.nlm.nih.gov/pubmed/11507092) ,B,B,B,,http://flybase.org/reports/FBgn0004363,"Original ""pool"""
FBgn0020392,Nmt,v28019 - discarded stock,P{GD12241}v28019,Screened,,23,0,27,0,20,0,16,0,"Few sperm, all immotile/dead. Spermiogenesis defect.",No,N-myristoyl transferase,Yes,,B,,,,http://flybase.org/reports/FBgn0020392,"Original ""pool"""
FBgn0039213,atl,v6719 - discarded stock,P{GD242}v6719,Screened,,25,0,30,0,9,0,15,0,No sperm. Spermiogenesis defects.,No,Membrane-bound GTPase,Yes,,B,,,,http://flybase.org/reports/FBgn0039213,"Original ""pool"""
FBgn0028734,Fmr1,34944,P{TRiP.HMS00248}attP2,Screened,,31,0,40,0,48,0,44,0,No sperm. Individualization defect.,Yes. Meiotic defects due to the deregulation of transposon activity (https://jcs.biologists.org/content/128/11/2070),RNA and channel binding protein,Yes,,B,A,,,http://flybase.org/reports/FBgn0028734,"Original ""pool"""
FBgn0029094,asf1,55250,P{TRiP.HMC03937}attP40,Screened,,31,0,29,0,35,0,26,0,No sperm. Individualization defect.,No,RNA polymerase II repressing transcription factor binding activity,Yes,,B,,,,http://flybase.org/reports/FBgn0029094,"Original ""pool"""
FBgn0036734,CG7564,55252,P{TRiP.HMC03939}attP40,Screened,,41,0,30,0,27,0,29,0,No sperm. Individualization defect.,No,Predicted mRNA binding activity,Yes,,B,,,,http://flybase.org/reports/FBgn0036734,"Original ""pool"""
FBgn0004855,RpII15,v11219,w1118; P{GD4234}v11219,Screened,,25,0,28,0,24,0,23,0,No sperm. Individualization defect.,No,RNA polymerase II 15kD subunit,Yes,,B,,,,http://flybase.org/reports/FBgn0004855,"Original ""pool"""
FBgn0033179,p47,v17529,P{GD6723}v17529,Screened,,28,0,27,0,34,0,28,0,No sperm. (Late) individualization defect.,No,Involved in nuclear envelope reassembly and rhabdomere development,Yes,,B,,,,http://flybase.org/reports/FBgn0033179,"Original ""pool"""
FBgn0050156,CG30156,v2714,P{GD540}v2714,Screened,,27,0,28,0,30,0,23,0,No sperm. Individualization defect.,No,Predicted Hsp70 protein binding,Yes,,B,,,,http://flybase.org/reports/FBgn0050156,"Original ""pool"""
FBgn0020255,Ran,v24835,P{GD8203}v24835,Screened,,26,0,30,0,16,0,26,0,No sperm. Post-meiotic cell death (few spermatids are able to initiate elongation),Yes. Male sterile due to likely meiotic defects (https://jcs.biologists.org/content/124/22/3797),GTPase activity,Yes,,B,G,,,http://flybase.org/reports/FBgn0020255,"Original ""pool"""
FBgn0032478,CG5458,v27420,P{GD11662}v27420,Screened,,21,0,25,0,33,0,27,0,"Few sperm, all immotile/dead. Spermiogenesis defect.",No,Radial spoke head protein 1,Yes,Human and mouse infertility. PCD and sperm tail defects (https://www.atsjournals.org/doi/full/10.1164/rccm.201311-2047OC; http://www.jbc.org/content/283/27/19039.long),B,,B,C,http://flybase.org/reports/FBgn0032478,"Original ""pool"""
FBgn0014870,Psi,v28990 - lost stock,P{GD14067}v28990,Screened,,28,0,25,0,29,0,28,0,No sperm. Late spermiogenesis defect.,Yes. Meiotic and post-meiotic defects (http://genesdev.cshlp.org/content/16/1/72.full),snRNP-interacting RNA-binding protein,Yes,,B,A,,,http://flybase.org/reports/FBgn0014870,"Original ""pool"""
FBgn0000253,Cam,v102004,P{KK109037}VIE-260B,Screened,,33,0,30,0,25,0,26,0,No sperm. Individualization defect.,No,Calcium-binding messenger protein,Yes,,B,,,,http://flybase.org/reports/FBgn0000253,"Original ""pool"""
