id_gene_MM,gene_MM,Others MM pheno code,Other species infertility phenotype?
ENSMUSG00000020063,Sirt1,H,"Mouse infertility (Sirt1). Meiotic defects, but germ cell-independent (https://www.ncbi.nlm.nih.gov/pubmed/18987333)"
ENSMUSG00000039463,Slc9a8,B,Mouse infertility (Slc9a8). Spermiogenesis defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5491771/)
ENSMUSG00000039033,Tasp1,B,Mouse infertility (Tasp1). Spermiogenesis defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3947863/)
ENSMUSG00000060985,Tdrd5,A,Mouse infertility (Tdrd5). Meiotic and spermiogenesis defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3051809/)
ENSMUSG00000054003,Tdrd9,A,Mouse infertility (Tdrd9). Meiotic failure (https://www.ncbi.nlm.nih.gov/pubmed/20059948)
ENSMUSG00000056832,Ttc26,A,Mouse infertility. Meiotic and sperm tail defects (https://dev.biologists.org/content/25/2/223.long)
ENSMUSG00000020087,Tysnd1,B,Mouse infertility (Tysnd1). Spermiogenesis defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3573110/)
ENSMUSG00000019505,Ubb,A,Mouse infertility 1/3 (Ubb). Meiotic arrest (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2223379/)
ENSMUSG00000008892,Vdac3,B,Mouse infertility 1/2 (for VDAC3). Sperm axoneme defects (https://www.ncbi.nlm.nih.gov/pubmed/11507092) 
ENSMUSG00000037020,Wdr62,A,Mouse infertility (for Wdr62). Defects in meiotic initiation (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6107287/)
ENSMUSG00000018554,Ybx2,B,Mouse infertility (for Ybx2). Spermiogenesis defects (https://www.sciencedirect.com/science/article/pii/S030372070500465X?via%3Dihub)
