id_gene_DM,StockNumber,FlyBase Genotype,FT1 eggs,FT1 hatched,FT2 eggs,FT2 hatched,FT3 eggs,FT3 hatched,FT4 eggs,FT4 hatched,Phenotype or literature,Previously known to affect spermatogenesis,Function,Previous ref to RNAi working,Other species infertility phenotype?
FBgn0038279,35277,,,,,,,,,,,,,yes,
FBgn0038565,41970,,,,,,,,,,,,,,
FBgn0039070,v39937,,,,,,,,,,,,,yes,
FBgn0039543,v108291,,,,,,,,,,,,,,
FBgn0039744,63580,,,,,,,,,,,,,,
FBgn0052666,36055,,,,,,,,,,,,,yes,
FBgn0062413,v46757,,,,,,,,,,,,,yes,
FBgn0063667,v44171,,,,,,,,,,,,,yes,
FBgn0085190,in-house line,,,,,,,,,,,No,,New,
FBgn0086365,57583,,,,,,,,,,,,,,
FBgn0250785,28599,,,,,,,,,,,,,yes,
FBgn0250821,v18296,,,,,,,,,,,,,,
FBgn0260934,35342,,,,,,,,,,,,,yes,
FBgn0261260,v36389,,,,,,,,,,,,,yes,
FBgn0263220,v101402,,,,,,,,,,,,,yes,
FBgn0265512,v105480,,,,,,,,,,,male pheno reported,,,
FBgn0266100,v17407,,,,,,,,,,,,,yes,
FBgn0037900,52918,P{TRiP.HMC03658}attP40,16,14,31,20,13,11,55,45,,,,No,
FBgn0031720,v110065,P{KK106493}VIE-260B,15,10,27,26,25,25,25,23,v17342 Works,,,No,
FBgn0030578,v110427,P{KK101649}VIE-260B,8,8,20,20,24,21,20,19,,,,No,
FBgn0038122,v107293,P{KK107605}VIE-260B,26,26,25,25,20,19,24,23,,,,No,
FBgn0003071,v3017,ORDERED,,,,,,,,,,,,yes,
FBgn0033238,v102353,PENDING,,,,,,,,,,,,Yes,
FBgn0036808,v8416,ORDERED,,,,,,,,,,,,,
FBgn0039373,v109720,PENDING,,,,,,,,,,,,No,
FBgn0050378,v102167,PENDING,,,,,,,,,,,,No,
FBgn0069354,v39107,PENDING,,,,,,,,,,,,Yes,Mouse infertility reported
FBgn0000079,62251,,,,,,,,,,,,,,
FBgn0002719,41652,,,,,,,,,,,,,,
FBgn0003716,35653,,,,,,,,,,,,,yes,
FBgn0003889,65163,,,,,,,,,,,,,,
FBgn0004360,29441,,,,,,,,,,,,,,
FBgn0004381,v27944,,,,,,,,,,,,,yes,
FBgn0024846,35252,,,,,,,,,,,,,yes,
FBgn0028879,28650,,,,,,,,,,,,,,
FBgn0028903,v23858,,,,,,,,,,,,,yes,
FBgn0030796,61977,,,,,,,,,,,,,,
FBgn0030932,v18545,,,,,,,,,,,,,yes,
FBgn0031170,38329,,,,,,,,,,,,,yes,
FBgn0031264,41725,,,,,,,,,,,,,,
FBgn0032123,v22983,,,,,,,,,,,,,yes,
FBgn0032208,v27467,,,,,,,,,,,,,yes,
FBgn0033248,v36497,,,,,,,,,,,,,yes,
FBgn0033382,62989,,,,,,,,,,,,,,
FBgn0033739,32935,,,,,,,,,,,,,,
FBgn0034432,55347,,,,,,,,,,,,,,
FBgn0034592,v29765,,,,,,,,,,,,,,
FBgn0035587,v21624,,,,,,,,,,,,,yes,
FBgn0036381,v23620,,,,,,,,,,,,,,
FBgn0036497,27512,,,,,,,,,,,,,,
FBgn0036836,65366,,,,,,,,,,,,,,
FBgn0037913,34685,,,,,,,,,,,,,,
FBgn0038008,v21743,,,,,,,,,,,,,yes,
FBgn0038797,v104152,,,,,,,,,,,,,,
FBgn0039228,65381,,,,,,,,,,,,,,
FBgn0039635,55619,,,,,,,,,,,,,yes,
FBgn0039796,27677,,,,,,,,,,,,,,
FBgn0051294,v105842,,,,,,,,,,,,,,
FBgn0051802,53893,,,,,,,,,,,,,,
FBgn0052396,v41896,,,,,,,,,,,,,yes,
FBgn0052687,v20819,,,,,,,,,,,,,,
FBgn0083956,38356,,,,,,,,,,,,,,
FBgn0085303,61301,,,,,,,,,,,,,,
FBgn0259729,v108712,,,,,,,,,,,,,,
FBgn0003124,v20177,P{GD7563}v20177,23,0,25,0,20,0,11,0,No sperm. Spermiogenesis defect (severely compromised post-meiotic stages).,Yes. Broad defects (centriole-related). 10.1007/PL00013778,Serine/threonine-protein kinase,Yes,
FBgn0003884,31389,P{TRiP.JF01373}attP2,25,0,24,0,18,0,18,0,"No sperm. Post-meiotic defect: predominance of round spermatid cysts, few manage to start elongation.",Yes. Axonemal defects. https://www.molbiolcell.org/doi/10.1091/mbc.8.3.481,structural gene for α-Tubulin. Major atub isoform during spermatogenesis,Yes,
FBgn0025874,50636,P{TRiP.HMC03035}attP2,5,0,18,0,26,0,30,0,No sperm. Severely abnormal spermiogenesis,No. But observed to dynamically relocate to male meiotic central spindle,nucleic acid binding,No,
FBgn0028694,v19272,P{GD8888}v19272,14,0,16,0,22,0,25,0,Meiotic arrest,No,26S Proteasome non-ATPase regulatory subunit 14,Yes,
FBgn0032513,v39006,P{GD11963}v39006/TM3,10,0,6,0,19,0,12,0,No sperm. Individualization defect.,No,Phospholipid transporter,No,
FBgn0033816,v110665,P{KK100629}VIE-260B,18,0,10,0,11,0,13,0,No sperm. Individualization defect.,No,Ribosomal small subunit binding (mitochondrial),No,
FBgn0033845,33929,P{TRiP.HMS00878}attP2,18,0,30,0,25,0,23,0,No sperm. Spermiogenesis / individualization defect (elongating bundles are present).,No,microtubule-associated protein required for mitotic spindle attachment to the centrosome,No,
FBgn0033916,v110250,P{KK104810}VIE-260B,14,0,15,0,9,0,15,0,No sperm. Individualization defect.,No,Ubiquitin specific protease,No,
FBgn0035437,34657,P{TRiP.HMS01134}attP2,15,0,11,0,16,0,25,0,No sperm. Severe post-meiotic abnormalities.,No,component of the striatin-interacting phosphatase and kinase (STRIPAK) complex,No,
FBgn0036273,34037,P{TRiP.HMS01011}attP2,10,0,8,0,18,0,20,0,Meiotic arrest,No,Inositol polyphosphate-related phosphatase,No,
FBgn0037383,34693,P{TRiP.HMS01172}attP2,29,0,27,0,18,0,35,0,No sperm. Spermiogenesis defect (abnormal individualization),No,SNAP receptor activity,No,
FBgn0038248,v109607,P{KK100967}VIE-260B,19,0,17,0,11,0,21,0,No motile sperm. Testis is full of seemingly individualized sperm that have no motility.,No,Centrosomal protein of 78kDa,No,
FBgn0040075,v103483,P{KK105732}VIE-260B,13,0,29,0,18,0,19,0,No sperm. Individualization defect.,No,histone acetyltransferase,Yes,
FBgn0040918,v109418,P{KK108152}VIE-260B,25,0,27,0,28,0,30,0,No sperm. Individualization defect.,No,essential for ceramide synthesis and modulates triacylglycerol levels and transcriptional expression of body fat metabolism regulators,Yes,
FBgn0267977,44448,"P{TRiP.GLC01597}attP2/TM3, Sb1",17,0,30,0,16,0,11,0,"Few sperm, all immotile/dead. Spermiogenesis defect",No,DNA binding / protease,No,
FBgn0034579,v35447,w[1118]; P{GD12550}v35447,28,1,26,0,25,0,19,0,"Few sperm, all presumably immotile/dead. Cell death in the pre-meiotic domain (identifed by empty spaces and cellular debris in the proximal testis).",No,mitochondrial ribosomal protein L54,Yes,
FBgn0264291,v43112,P{GD4679}v43112,24,0,25,0,29,0,27,1,OAT. Individualization defect. ?Abnormal Nebenkern? Expected cytokinesis defect,Yes. Cytokinesis defect. https://www.molbiolcell.org/doi/10.1091/mbc.e11-06-0569,Member of the Chromosomal Passenger Complex ,Yes,
FBgn0033897,v108002,P{KK100764}VIE-260B,25,0,30,0,30,2,20,0,No sperm. No post-meiotic cells are visible. Distal testis is full of cellular debris (and round cells). ,No,histone acetyltransferase,No,
FBgn0032258,53679,P{TRiP.HMJ21592}attP40,12,0,19,2,34,0,32,0,"Meiotic defect (extensive spermatocyte death). Few post-meiotic cells, fewer are able to elongate",No,"Golgi complex, subunit 4",No,
FBgn0032052,v105420,P{KK101552}VIE-260B,26,3,23,0,13,0,25,1,"OAT (very few sperm, but motile) ",No,"subunit of glycosylphosphatidylinositol (GPI) transamidase, which mediates GPI anchoring in the endoplasmic reticulum",No,
FBgn0051249,v101478,P{KK109292}VIE-260B,8,0,11,2,28,0,21,1,"Sperm seem to individualize, but are non-motile.",No,"Based on domains: transcription, translation and transport factor protein",No,
FBgn0034535,v106768,P{KK108425}VIE-260B,24,0,17,0,27,10,18,1,"Few sperm, but motile. OAT-like phenotype, testis is disorganized from the apical domain.",No,Mitochondrial inner membrane protease subunit 2,No,Mouse infertility reported (impaired spermatogenesis at 7 months)
FBgn0024804,34682,P{TRiP.HMS01160}attP2,19,3,22,5,52,13,95,23,Few sperm. Spermiogenesis defect,No,RNA helicase,No,Mouse infertility reported (for both mouse genes): spermiogenesis defect in Ddx25
FBgn0266599,54810,P{TRiP.HMJ21529}attP40,25,7,17,0,23,18,23,0,Morphologically normal testis.,No,Heat shock protein cognate 4,Yes,Mouse infertility reported for Hspa2 (meiotic failure)
FBgn0034893,v104466,P{KK109027}VIE-260B,28,12,21,9,25,5,25,8,Very few sperm. Individualization defect.,No,39S ribosomal protein L43/54S ribosomal protein L51,No,
FBgn0263697,v105141,P{KK102057}VIE-260B,11,6,30,16,22,13,14,4,"Few individualized sperm, no or weakly motile (OAT)",No,Ubiquitin activating enzyme,Yes,
FBgn0041164,31604,P{TRiP.JF01388}attP2,11,2,17,15,27,15,25,12,No obvious defects. Plenty of motile sperm. ,Yes. Defects in small RNA pathways. https://www.sciencedirect.com/science/article/pii/S0092867404002181?via%3Dihub,RNA helicase,No,Mouse infertility reported (spermatocyte death due to piRNA regulation defect)
FBgn0263855,35329,P{TRiP.GL00236}attP2,20,7,20,11,10,6,30,19,No obvious phenotype. ?Sperm cells less motile?,Yes. Meiotic defects. https://www.genetics.org/content/167/1/207,protein serine/threonine kinase - mitotic checkpoint control protein ,Yes,
FBgn0034849,v19703,P{GD2177}v19703,25,23,30,5,30,11,19,16,OAT. Individualization defect. ?Abnormal Nebenkern? ?Cytokinesis defect (based on similarity with Det)?,No,Transmembrane adaptor Erv26 (ER-Golgi transport),Yes,
FBgn0004838,33716,P{TRiP.HMS00597}attP2,25,11,21,19,14,11,25,18,No obvious defects. Plenty of motile sperm. ,"No, but predicted. ",mRNA 3'-UTR binding (DAZ-associated domain),Yes,Mouse infertility reported (impaired spermatogenesis: no post-meiotic cells)
FBgn0033060,v107949,P{KK102617}VIE-260B,17,15,28,20,30,21,23,19,GD works,,,No,
FBgn0036848,v39667,P{GD6974}v39667/CyO,25,22,25,20,30,20,25,20,,No,,Yes,
FBgn0034566,51888,P{TRiP.HMC03462}attP40,14,12,20,16,52,41,44,31,,No,,No,
FBgn0037241,v103770,P{KK102570}VIE-260B,26,16,22,21,30,26,28,20,,,,No,
FBgn0030099,51395,P{TRiP.GLC01627}attP2,26,20,25,23,23,15,83,69,,No,,No,
FBgn0036165,43975,P{TRiP.GL01585}attP2,22,15,33,30,23,19,59,45,,,,No,
FBgn0036043,51827,P{TRiP.HMC03399}attP40,20,17,27,17,57,46,76,68,,No,,Yes,
FBgn0030183,29530,P{TRiP.HM05209}attP2,23,12,37,31,37,35,76,71,,No,,No,
FBgn0038787,51813,P{TRiP.HMC03384}attP2,25,25,14,7,19,18,25,20,,No,,No,
FBgn0028497,38340,P{TRiP.HMS01807}attP2,15,11,71,56,62,49,134,131,,No,,Yes,
FBgn0034158,31142,P{TRiP.JF01617}attP2,26,25,26,18,27,23,48,38,,No,,No,
FBgn0037609,34570,P{TRiP.HMS01044}attP2,8,4,15,14,22,21,30,28,,No,,No,
FBgn0013759,51721,P{TRiP.HMC03260}attP2,24,20,23,20,30,25,25,20,,No,,Yes,
FBgn0036254,61346,P{TRiP.HMJ23238}attP40,18,16,34,31,46,41,30,20,v9289 Works,No,,No,
FBgn0036330,v31113,P{GD6726}v31113/TM3,30,18,28,26,30,29,25,22,,No,,Yes,
FBgn0033809,61249,P{TRiP.HMJ23028}attP40,45,33,16,15,74,56,75,72,,No,,No,
FBgn0027507,35261,P{TRiP.GL00152}attP2,30,24,21,14,27,26,33,32,,No,,Yes,
FBgn0085434,26012,P{TRiP.JF02037}attP2,25,22,15,12,25,20,28,26,,,,No,
FBgn0261618,v24841,P{GD8215}v24841,30,28,30,27,29,25,21,15,No discernible phenotype. Test all available reagents,Yes. Mutant is male sterile and has partially penetrant spermatocyte/spermatid defects (https://www.sciencedirect.com/science/article/pii/S0012160609010665?via%3Dihub),Protein that associates and interacts with poly(A)-binding protein,Yes,
FBgn0031673,v100590,P{KK108327}VIE-260B,30,27,29,28,30,24,25,19,v23702 Works,No,,No,
FBgn0038047,57445,P{TRiP.HMC04753}attP40,30,26,20,17,28,20,20,20,,No,,No,
FBgn0027330,v13479,P{GD3539}v13479,23,17,31,29,31,28,30,26,,,,Yes,
FBgn0037613,62467,P{TRiP.HMJ23949}attP40/CyO,19,13,20,18,32,30,30,28,,No,,No,"Mouse infertility reported (in mutants: incapability of entering anaphase I) - in DM it's two genes: Cks30A and Cks85A, possible compensation?"
FBgn0261804,v104049,P{KK112556}VIE-260B,28,23,32,31,27,25,25,19,,,,No,
FBgn0034803,55948,P{TRiP.HMC04237}attP40,17,12,73,62,56,55,83,81,,No,,No,
FBgn0031099,65003,P{TRiP.HMC05877}attP40,70,65,30,29,87,74,90,71,v32845 Works,No,,No,
FBgn0032378,34009,P{TRiP.HMS00974}attP2,25,16,16,15,28,28,25,24,Try remaining two reagents: GD and KK,,,No,Mouse infertility reported for Ccnyl1 mutants (normal counts but impaired motility and slight morphological defects)
FBgn0030753,v40513,P{GD11310}v40513,15,13,25,24,30,26,21,18,,,,Yes,
FBgn0034479,61850,P{TRiP.HMJ23339}attP40,30,30,8,6,25,24,26,22,,No,,No,
FBgn0039329,31946,P{TRiP.JF02237}attP2,25,25,11,10,20,15,30,27,,No,,No,
FBgn0032475,32473,"P{TRiP.HMS00473}attP2/TM3, Sb1",20,20,18,13,27,27,25,21,,No,,No,
FBgn0024833,27534,P{TRiP.JF02685}attP2,13,10,27,23,27,27,22,22,v24017 Works,No,,No,
FBgn0039846,v108158,P{KK100394}VIE-260B,22,22,29,27,30,23,27,25,,,,Yes,
FBgn0038363,57525,P{TRiP.HMC04840}attP40,21,17,15,15,30,29,20,17,,No,,No,
FBgn0039115,v101393,P{KK109035}VIE-260B,22,22,20,16,26,25,23,20,,,,No,
FBgn0034065,v103922,P{KK102803}VIE-260B,29,27,22,22,25,21,30,26,GD works,,,No,
FBgn0086674,v102758,P{KK112357}VIE-260B,25,23,23,22,24,21,30,27,,No,,No,
FBgn0261112,v7728,P{GD1303}v7728,18,18,27,23,29,28,25,21,,,,Yes,
FBgn0033686,33385,P{TRiP.HMS00262}attP2,30,22,23,23,24,23,32,31,"Try remaining three reagents: 1Trip, GD and KK",,,No,Mouse infertility reported: mutants have late spermatogenesis defect resulting in the production of abnormal sperm
FBgn0038453,v5894,P{GD3027}v5894,26,25,25,23,21,18,25,24,,No,,Yes,
FBgn0032295,33957,P{TRiP.HMS00912}attP2,20,19,25,19,27,27,25,25,,No,,No,
FBgn0086757,v103509,P{KK112417}VIE-260B,30,28,33,29,30,27,30,30,,,,No,
FBgn0011740,v5838,P{GD2875}v5838,16,16,26,26,27,22,30,27,,,,No,Mouse infertility reported for mutant (Sertoli cell to germ cell adhesion defect: may be Sertoli cell pheno and there are two DM genes alpha-Man-IIa and alpha-Man-IIb - possible redundancy)
FBgn0265140,58331,P{TRiP.HMJ22461}attP40,14,13,16,15,20,18,23,22,,No,,No,
FBgn0032042,v103418,P{KK100762}VIE-260B,16,15,27,26,30,28,18,16,,,,No,
FBgn0030411,v104886,P{KK110925}VIE-260B,18,18,27,26,20,16,25,24,,,,No,
FBgn0041604,v10298,P{GD3592}v10298/TM3,28,26,30,26,26,25,30,29,,No,,Yes,
FBgn0010340,v48717,P{GD16421}v48717,19,18,32,32,31,29,20,17,,No,,Yes,
FBgn0038325,56046,P{TRiP.HMS04249}attP2,30,26,16,15,25,25,30,28,,No,,No,
FBgn0026630,62490,P{TRiP.HMJ24013}attP40/CyO,26,24,5,5,25,23,29,26,,No,,No,
FBgn0037901,61830,P{TRiP.HMJ23313}attP40,27,26,22,22,27,21,22,22,,No,,No,
FBgn0038360,v100015,P{KK102936}VIE-260B,24,23,29,27,31,30,30,27,,,,No,
FBgn0035591,v110578,P{KK100971}VIE-260B,21,21,27,26,29,25,30,28,GD works,,,No,
FBgn0030010,29361,"P{TRiP.JF02525}attP2/TM3, Sb1",22,22,10,9,13,12,32,30,,No,,No,
FBgn0039487,v1262,P{GD315}v1262,28,26,30,25,30,30,25,25,,,,Yes,
FBgn0020309,v7779,P{GD1410}v7779,30,29,30,29,23,20,28,27,,No,,Yes,
FBgn0023096,28373,P{TRiP.JF03010}attP2,22,21,25,25,20,17,27,26,,,,No,
FBgn0037607,60371,P{TRiP.HMJ22552}attP40,17,14,19,18,10,10,19,19,,No,,No,
FBgn0036184,v108871,P{KK101349}VIE-260B,15,14,29,28,25,23,21,20,,,,No,
FBgn0028647,29363,"P{TRiP.JF02527}attP2/TM3, Sb1",25,23,8,8,35,34,27,24,,No,,No,
FBgn0262871,v34986,P{GD11604}v34986,26,24,27,26,30,28,26,25,v17491 WORKS!,,,No,
FBgn0029928,57560,P{TRiP.HMC04877}attP40,25,24,12,12,30,27,32,30,,No,,No,
FBgn0030377,v42397,P{GD15382}v42397,15,15,30,27,30,28,29,28,,No,,Yes,"Mouse infertility reported (normal spermartogenesis, defective sperm-ZP binding) - in DM it's three genes (CG1924, Cnx14D and Cnx99A) - possible redundancy?"
FBgn0037255,v104473,P{KK109111}VIE-260B,31,28,30,28,30,29,22,22,GD works,,,No,
FBgn0265174,v8143,P{GD3514}v8143/TM3,24,23,25,24,29,29,27,24,,No,,Yes,
FBgn0264077,v102924,P{KK113360}VIE-260B,15,15,29,25,22,22,21,20,,No,,No,"Mouse infertility reported (normal spermartogenesis, defective sperm-ZP binding) - in DM it's three genes (CG1924, Cnx14D and Cnx99A) - possible redundancy?"
FBgn0086558,38967,P{TRiP.HMS01881}attP40/CyO,22,20,20,19,25,24,25,25,,No,,No,Mouse infertility reported
FBgn0033766,v36023,P{GD14021}v36023,28,27,29,29,21,18,26,26,,,,Yes,
FBgn0029856,32933,P{TRiP.HMS00726}attP2,30,30,13,12,30,28,29,28,,No,,No,Mouse infertility reported
FBgn0026616,v108043,P{KK106563}VIE-260B,30,28,26,26,26,25,30,28,,,,No,Mouse infertility reported for mutant (Sertoli cell to germ cell adhesion defect: may be Sertoli cell pheno and there are two DM genes alpha-Man-IIa and alpha-Man-IIb - possible redundancy)
FBgn0033528,v108456,P{KK108391}VIE-260B,29,27,31,29,30,29,25,25,,No,,Yes,
FBgn0001197,28966,P{TRiP.HM05177}attP2,30,25,25,25,25,25,31,31,,Phenotype only recorded in germline stem cells,,Yes,
FBgn0034688,v108555,P{KK100776}VIE-260B,24,23,30,29,22,20,25,25,,,,No,
FBgn0022935,33371,P{TRiP.HMS00244}attP2,25,25,15,14,34,33,29,27,,No,,No,
FBgn0032017,v101850,P{KK109968}VIE-260B,17,17,30,28,29,28,16,15,GD works,,,No,
FBgn0037297,v104878,P{KK107829}VIE-260B,34,32,27,26,15,14,30,30,,,,No,
FBgn0022699,51166,P{TRiP.HMJ03125}attP40,25,25,9,9,25,23,25,23,,No,,No,
FBgn0019932,v101753,P{KK109424}VIE-260B,22,21,29,29,28,27,28,26,,,,No,
FBgn0260945,35177,"P{TRiP.GL00047}attP2/TM3, Sb[1]",20,17,23,23,19,19,25,25,,,,Yes,
FBgn0035842,v28050,P{GD12257}v28050/TM3,20,18,25,25,21,21,25,24,,No,,Yes,Mouse infertility reported for mutant: defective crossing-over leading to cell death. Not expected to be detected in DM
FBgn0038332,v109421,P{KK108196}VIE-260B,30,29,30,28,29,28,25,25,v22238 works,No,,No,
FBgn0039560,v27445,P{GD11677}v27445,28,27,31,29,30,29,19,19,,No,,Yes,
FBgn0031144,60094,P{TRiP.HMC05088}attP40,25,25,16,15,30,28,25,25,,No,,No,
FBgn0030008,57423,P{TRiP.HMC04730}attP40,27,27,25,24,27,26,25,24,,No,,No,
FBgn0062442,33749,P{TRiP.HMS01088}attP2,25,25,25,25,26,23,28,28,,,,No,
FBgn0032051,v110762,P{KK100252}VIE-260B,27,25,26,26,27,26,21,21,GD works,,,No,
FBgn0001089,50680,P{TRiP.HMC03081}attP2,16,15,28,28,25,25,25,24,,No,,No,
FBgn0029512,v18528,P{GD8542}v18528,30,28,28,27,28,28,15,15,,No,,Yes,
FBgn0015622,v100740,P{KK108301}VIE-260B,30,27,28,28,25,25,22,22,,No,,Yes,"Mouse infertility reported (normal spermartogenesis, defective sperm-ZP binding) - in DM it's three genes (CG1924, Cnx14D and Cnx99A) - possible redundancy?"
FBgn0036052,v38407,P{GD7097}v38407,31,29,30,30,30,29,27,27,,,,Yes,
FBgn0029993,63642,P{TRiP.HMJ30209}attP40,25,25,11,10,29,29,29,29,,,,No,
FBgn0010314,35156,P{TRiP.GL00024}attP2,26,25,19,19,22,22,20,19,,No,,Yes,"Mouse infertility reported (in mutants: incapability of entering anaphase I) - in DM it's two genes: Cks30A and Cks85A, possible compensation?"
FBgn0030768,v37412,P{GD3395}v37412/TM3,27,26,25,25,29,29,20,19,,No,,Yes,
FBgn0036300,42956,P{TRiP.HMS02649}attP40,16,16,22,21,30,30,26,25,,No,,Yes,
FBgn0262739,33727,P{TRiP.HMS00610}attP2,15,15,24,23,28,27,25,25,No discernible phenotype,"Yes, but with somatic driver (hub driver: upd) - leads to crystals in spermatocytes. No reference to fertility defects. http://jcs.biologists.org/content/joces/128/11/2070.full.pdf",,Yes,
FBgn0037085,60002,P{TRiP.HMC04994}attP40,12,12,27,26,27,27,30,29,,No,,No,
FBgn0035065,v38154,P{GD5963}v38154/TM3,32,31,28,28,30,29,24,24,,No,,No,Mouse infertility reported (spermiogenesis defects)
FBgn0034657,v110508,P{KK107907}VIE-260B,32,32,32,32,31,29,25,25,GD works,,,No,Mouse infertility reported for mutant (sick mice with no phenotypical characterization of gonads)
FBgn0031696,35260,P{TRiP.GL00151}attP2,16,15,18,18,21,21,26,26,,No,,Yes,
FBgn0035627,v45091,P{GD6697}v45091,20,20,25,24,26,26,29,29,Tested all available reagents: no fertility pheno,"Yes, but only using a degron system (https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1005996)",,Yes,
FBgn0004556,v108310,P{KK102538}VIE-260B,27,26,11,11,18,18,30,30,GD works,,,No,
FBgn0033624,v36388,P{GD14535}v36388,31,31,25,25,20,20,29,28,,No,,Yes,
FBgn0028467,v110416,P{KK101530}VIE-260B,30,29,28,28,24,24,23,23,,,,No,
FBgn0031873,v106922,P{KK101151}VIE-260B,20,20,29,29,17,17,25,25,,No,,No,
FBgn0000119,v4819,ORDERED,,,,,,,,,,,,yes,
FBgn0000146,v30125,ORDERED,,,,,,,,,,male pheno,,yes,
FBgn0000370,v2934,ORDERED,,,,,,,,,,,,yes,
FBgn0003483,v21374,ORDERED,,,,,,,,,,,,yes,
FBgn0011259,v4743,ORDERED,,,,,,,,,,,,yes,
