id_gene,Stock Number,Transgene,Status,FT1 eggs,FT1 hatched,FT2 eggs,FT2 hatched,FT3 eggs,FT3 hatched,FT4 eggs,FT4 hatched,Recorded cellular phenotype,Previously reported in DM?,Function,Previous ref to RNAi working?,Other species infertility phenotype?,Our DM pheno code,Others DM pheno code,MM pheno code,HS pheno code,Flybase link
FBgn0004363,v101336 - discarded stock,P{KK107645}VIE-260B,Screened,26,0,9,0,15,0,14,0,No sperm. Individualization defect.,Yes. Post-meiotic defects (https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0013151),Voltage-gated anion channel,Yes,Mouse infertility 2/2 (for VDAC3). Sperm axoneme defects (https://www.ncbi.nlm.nih.gov/pubmed/11507092) ,B,B,B,,http://flybase.org/reports/FBgn0004363
FBgn0020392,v28019 - discarded stock,P{GD12241}v28019,Screened,23,0,27,0,20,0,16,0,"Few sperm, all immotile/dead. Spermiogenesis defect.",No,N-myristoyl transferase,Yes,,B,,,,http://flybase.org/reports/FBgn0020392
FBgn0035722,64894,P{TRiP.HMC05767}attP40,Screened,20,0,21,0,30,0,32,0,"Few sperm present, all presumably dead/immotile. Individualization defect.",No,Ubiquinol-cytochrome c chaperone,No,,B,,,,http://flybase.org/reports/FBgn0035722
FBgn0039213,v6719 - discarded stock,P{GD242}v6719,Screened,25,0,30,0,9,0,15,0,No sperm. Spermiogenesis defects.,No,Membrane-bound GTPase,Yes,,B,,,,http://flybase.org/reports/FBgn0039213
FBgn0082598,v109671,P{KK102799}VIE-260B,Screened,28,1,16,0,25,0,16,0,No sperm. Highly defective spermatogenesis from spermatocyte stage onwards. Severely disrupted distal testis.,No,Transcription coregulator ,Yes,,A,,,,http://flybase.org/reports/FBgn0082598
FBgn0034579,v35447,w[1118]; P{GD12550}v35447,Screened,28,1,26,0,25,0,19,0,"Few sperm, all presumably immotile/dead. Extensive cell death in the proximal testis.",No,Mitochondrial ribosomal protein L54,Yes ,,D,,,,http://flybase.org/reports/FBgn0034579
FBgn0039796,27677,P{TRiP.JF02756}attP2,Screened,12,0,30,0,27,1,30,0,Plenty of sperm. All with no/decreased motility.,Yes. Reduced fertility (https://www.frontiersin.org/articles/10.3389/fgene.2012.00035/full),cAMP-dependent protein kinase ,No,Mouse infertility 1/3 (for Prkaca). Slight reduction of sperm counts and motility defects (https://academic.oup.com/mend/article/16/3/630/2741756),C,G,B,,http://flybase.org/reports/FBgn0039796
FBgn0264291,v43112,P{GD4679}v43112,Screened,24,0,25,0,29,0,27,1,"Few sperm, weakly motile. Individualization defect.",Yes. Meiotic cytokinesis defect (https://www.molbiolcell.org/doi/10.1091/mbc.e11-06-0569),Member of the Chromosomal Passenger Complex,Yes,,B,A,,,http://flybase.org/reports/FBgn0264291
FBgn0004106,v41838,P{GD10728}v41838/TM3,Screened,23,1,22,0,13,0,26,0,No sperm. Highly defective spermatogenesis from spermatocyte stage onwards. Accumulation of abnormal elongated-like cysts.,"Yes, for a constitutively active variant. Meiotic defects (https://www.molbiolcell.org/doi/10.1091/mbc.E16-02-0104)",Cyclin-dependent kinase ,Yes,,A,A,,,http://flybase.org/reports/FBgn0004106
FBgn0034834,v21379,P{GD10305}v21379,Screened,21,1,23,0,18,0,29,0,No sperm. Spermiogenesis defect.,No,RNA binding protein that regulates both RNA splicing and gene silencing,Yes,,B,,,,http://flybase.org/reports/FBgn0034834
FBgn0015621,36816,P{TRiP.GL01037}attP2,Screened,36,1,40,0,30,0,30,1,"Few sperm, with low motility. Spermiogenesis defect.",No,Endoribonuclease ,No,,B,,,,http://flybase.org/reports/FBgn0015621
FBgn0024833,v24017,P{GD14206}v24017/TM3,Screened,22,0,25,0,30,2,20,0,"Reasonable number of sperm, but immotile/dead. Cell death from spermatogonia/spermatocytes onwards. Defective spermiogenesis.",No,"Adaptor Protein complex 1, μ subunit",Yes ,,D,,,,http://flybase.org/reports/FBgn0024833
FBgn0033897,v108002,P{KK100764}VIE-260B,Screened,25,0,30,0,30,2,20,0,No sperm. Meiotic arrest. Distal testis is full of cellular debris (and round cells). ,No,Protein involved in centriole replication and transcription regulation,No ,,A,,,,http://flybase.org/reports/FBgn0033897
FBgn0003090,32413,P{TRiP.HMS00408}attP2,Screened,34,1,25,0,25,1,30,0,No sperm. Meiotic arrest (few cells reach a post-meiotic stage).,No,Core component of the Frizzled-dependent planar polarity complex,No ,,A,,,,http://flybase.org/reports/FBgn0003090
FBgn0028903,v23858,P{GD7966}v23858,Screened,11,0,19,2,29,0,26,0,No sperm. Meiotic defects and cells are largely incapable of sustaining post-meiotic development.,No,Unknown ,Yes,Mouse infertility (Catip). No details (http://www.informatics.jax.org/marker/phenotypes/MGI:2685062),A,,G,,http://flybase.org/reports/FBgn0028903
FBgn0032258,53679,P{TRiP.HMJ21592}attP40,Screened,12,0,19,2,34,0,32,0,"No sperm. Meiotic defect (extensive spermatocyte death). Few post-meiotic cells, fewer are able to elongate.",No,Component of oligomeric golgi complex 4,No ,,A,,,,http://flybase.org/reports/FBgn0032258
FBgn0032052,v105420,P{KK101552}VIE-260B,Screened,26,3,23,0,13,0,25,1,"Few sperm, all motile.",No,Subunit of glycosylphosphatidylinositol (GPI) transamidase,No ,,C,,,,http://flybase.org/reports/FBgn0032052
FBgn0051249,v101478,P{KK109292}VIE-260B,Screened,8,0,11,2,28,0,21,1,Immotile sperm.,No,"Unknown. Based on domains: transcription, translation and transport factor protein",No,,C,,,,http://flybase.org/reports/FBgn0051249
FBgn0031169,57777,P{TRiP.HMC04971}attP40,Screened,20,1,30,0,29,4,30,2,Plenty of sperm. All with no/decreased motility.,No,Adenosinetriphosphatase,No,,C,,,,http://flybase.org/reports/FBgn0031169
FBgn0027866,v107811,P{KK109675}VIE-260B,Screened,30,0,30,0,27,7,30,0,"Very few sperm, all immotile/dead. Individualization defect.",No,Unknown,No ,,B,,,,http://flybase.org/reports/FBgn0027866
FBgn0001217,v19202,P{GD8848}v19202/TM3,Screened,29,0,32,0,28,0,28,8,"Few sperm, all immotile/dead.",No,Heat shock protein cognate 2,Yes,Mouse infertility 2/4 (Hspa2). Meiotic defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4326386/),C,,A,,http://flybase.org/reports/FBgn0001217
FBgn0034535,v106768,P{KK108425}VIE-260B,Screened,24,0,17,0,27,10,18,1,"Few sperm, all motile. Disorganized testis (from the apical domain onwards)",No,Mitochondrial inner membrane protease subunit 2,No ,Mouse infertility (Immp2l). Age-dependent spermatogenesis defects (https://academic.oup.com/biolreprod/article/78/4/601/2629830),D,,E,,http://flybase.org/reports/FBgn0034535
FBgn0024285,v51088,P{GD10663}v51088,Screened,32,0,32,3,25,2,25,7,No visible sperm. Individualization defect.,No,Regulator of alternative splicing,Yes ,,B,,,,http://flybase.org/reports/FBgn0024285
FBgn0039875,v6870,P{GD3145}v6870,Screened,25,0,10,2,7,0,25,10,"Few sperm, all immotile/dead. Spermiogenesis defect.",No,Transmembrane protein in the endoplasmic reticulum (ER) membrane with ubiquitin ligase activity,Yes ,,B,,,,http://flybase.org/reports/FBgn0039875
FBgn0265512,v105480,P{KK107715}VIE-260B,Screened,31,0,26,0,25,6,23,13,Very few sperm. Individualization defect.,Yes. Individualization defects (https://www.tandfonline.com/doi/full/10.4161/fly.21533),Positive regulator of microtubule depolymerization,No,,B,B,,,http://flybase.org/reports/FBgn0265512
FBgn0024804,34682,P{TRiP.HMS01160}attP2,Screened,19,3,22,5,52,13,95,23,Few sperm. Spermiogenesis defect.,No,RNA helicase,No ,Mouse infertility (Ddx25). Spermiogenesis defect (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3245878/),B,,B,,http://flybase.org/reports/FBgn0024804
FBgn0033341,v41402 - discarded stock,P{GD6572}v41402,Screened,19,6,25,12,17,0,25,3,"Few sperm, all immotile/dead. Individualization defect.",No,Chromatin modification-related protein Eaf7/MRGBP,Yes,,B,,,,http://flybase.org/reports/FBgn0033341
FBgn0010258,v29116,P{GD14281}v29116,Screened,13,0,26,3,25,10,15,7,Few sperm. Most immotile/dead.,Yes. Weak male fertility (http://flybase.org/reports/FBal0030105.html),RNA-binding protein,No,,C,G,,,http://flybase.org/reports/FBgn0010258
FBgn0040696,v105164 - discarded stock,P{KK102730}VIE-260B,Screened,11,0,25,25,13,0,25,0,"Non-motile sperm. Testis filled with sperm bundles, few manage to individualize.",No,Cilia- and flagella-associated protein 298,No,,B,,,,http://flybase.org/reports/FBgn0040696
FBgn0266599,54810,P{TRiP.HMJ21529}attP40,Screened,25,7,17,0,23,18,23,0,No detectable phenotype.,No,Heat shock protein cognate 4,Yes ,Mouse infertility 3/4 (Hspa2). Meiotic defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4326386/),F,,A,,http://flybase.org/reports/FBgn0266599
FBgn0003612,29448,P{TRiP.JF03384}attP2,Screened,30,0,25,20,27,8,29,5,"With sperm, decreased motility.",No,JAK/STAT pathway regulator,Yes ,,C,,,,http://flybase.org/reports/FBgn0003612
FBgn0034893,v104466,P{KK109027}VIE-260B,Screened,28,12,21,9,25,5,25,8,Few sperm. Individualization defect.,No,Mitochondrial ribosomal protein L43,No ,,B,,,,http://flybase.org/reports/FBgn0034893
FBgn0038233,v24104,P{GD13932}v24104,Screened,29,4,24,7,29,11,26,18,Few sperm. Most immotile/dead.,Yes. Individualization defects (https://www.jneurosci.org/content/28/53/14500),Serine-type endopeptidase,Yes,,C,B,,,http://flybase.org/reports/FBgn0038233
FBgn0010812,v33560 - discarded stock,P{GD9815}v33560,Screened,20,0,26,20,25,0,15,12,"Few sperm, all presumably immotile/dead. Individualization defect.",No,"Protein that binds the product of Hsp83 and myosin, and may may serve as a scaffold for their interaction.",Yes,,B,,,,http://flybase.org/reports/FBgn0010812
FBgn0001216,v45596,P{GD13532}v45596,Screened,18,6,30,8,29,7,25,20,"Few sperm, weakly motile. Individualization defect.",No,Heat shock protein cognate 1,Yes,Mouse infertility 1/4 (Hspa2). Meiotic defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4326386/),B,,A,,http://flybase.org/reports/FBgn0001216
FBgn0000499,31306,P{TRiP.JF01253}attP2,Screened,22,4,34,7,25,19,25,14,Defective sperm (immotile/dead).,No,Wnt-TCF Signaling Pathway Core Component,Yes ,,C,,,,http://flybase.org/reports/FBgn0000499
FBgn0016041,26005,P{TRiP.JF02030}attP2,Screened,26,10,27,7,28,16,30,19,"Few sperm, low motility.",No,Mitochondrial protein-transporting ATPase,Yes ,,C,,,,http://flybase.org/reports/FBgn0016041
FBgn0028671,26290,P{TRiP.JF02059}attP2,Screened,30,10,25,7,32,16,19,15,Reduced sperm numbers.,No,Vacuolar H+ ATPase 100kD subunit 1,Yes ,,C,,,,http://flybase.org/reports/FBgn0028671
FBgn0263697,v105141,P{KK102057}VIE-260B,Screened,11,6,30,16,22,13,14,4,"Few sperm, no or weakly motile.",No,Ubiquitin-like activating enzyme 3,Yes ,,C,,,,http://flybase.org/reports/FBgn0263697
FBgn0033984,27036,P{TRiP.JF02362}attP2,Screened,25,5,25,9,24,19,16,10,Reduced sperm numbers (some immotile/dead). ,No,Predicted to be involved in establishment or maintenance of cell polarity and protein transport,No ,,C,,,,http://flybase.org/reports/FBgn0033984
FBgn0066101,27249,P{TRiP.JF02551}attP2,Screened,25,8,25,11,31,18,27,19,No detectable phenotype.,No,Lipophorin receptor 1,No ,,F,,,,http://flybase.org/reports/FBgn0066101
FBgn0035691,v15618,P{GD5126}v15618,Screened,25,10,30,23,30,14,25,11,"Few sperm, weakly motile.",No,Predicted transcription factor,Yes,,B,,,,http://flybase.org/reports/FBgn0035691
FBgn0041164,31604,P{TRiP.JF01388}attP2,Screened,11,2,17,15,27,15,25,12,No detectable phenotype.,Yes. Defects in small RNA pathways (https://www.sciencedirect.com/science/article/pii/S0092867404002181?via%3Dihub),RNA helicase,No ,Mouse infertility (Mov10l1). Meiotic arrest (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2900665/),F,E,A,,http://flybase.org/reports/FBgn0041164
FBgn0263855,35329,P{TRiP.GL00236}attP2,Screened,20,7,20,11,10,6,30,19,No detectable phenotype.,Yes. Meiotic defects (https://www.genetics.org/content/167/1/207),Protein serine/threonine kinase - mitotic checkpoint control protein,Yes,,F,A,,,http://flybase.org/reports/FBgn0263855
FBgn0037931,26710,P{TRiP.JF02250}attP2,Screened,25,13,26,9,33,15,26,22,Sperm with lower motility.,No,Zinc finger C2H2 transcription factor,No ,,C,,,,http://flybase.org/reports/FBgn0037931
FBgn0001977,44644 - discarded stock,P{TRiP.HMC02348}attP2,Screened,30,13,25,12,54,29,25,18,No detectable phenotype.,Yes. Male sterility reported (https://anatomypubs.onlinelibrary.wiley.com/doi/full/10.1002/dvdy.23951),Cytokine induced apoptosis inhibitor 1,No,,F,G,,,http://flybase.org/reports/FBgn0001977
FBgn0035647,v107903,P{KK105599}VIE-260B,Screened,25,10,30,17,30,19,30,20,No detectable phenotype.,No,Predicted ion transporter,No,,F,,,,http://flybase.org/reports/FBgn0035647
FBgn0035724,v106172,P{KK100997}VIE-260B,Screened,8,6,17,8,25,10,20,13,"Few sperm, weakly motile. Disorganized distal testis.",No,Predicted to be involved in cilium assembly,No,,B,,,,http://flybase.org/reports/FBgn0035724
FBgn0031099,v32845,P{GD9278}v32845,Screened,25,13,25,5,30,23,30,24,"Few sperm, all immotile/dead.",No,N-acetylglucosamine-6-phosphate deacetylase,Yes ,,C,,,,http://flybase.org/reports/FBgn0031099
FBgn0034849,v19703 - lost stock,P{GD2177}v19703,Screened,25,23,30,5,30,11,19,16,Few sperm. Individualization defect.,No,Predicted to have COPII adaptor activity,Yes ,,B,,,,http://flybase.org/reports/FBgn0034849
FBgn0011224,55655 - discarded stock,P{TRiP.HMC03805}attP40,Screened,25,25,7,4,29,0,25,19,,Yes. Individualization defect (https://www.embopress.org/doi/10.1093/emboj/cdg301),Nucleo-cytoplasmic shuttling protein that regulates osk mRNA translation,Yes,,,B,,,http://flybase.org/reports/FBgn0011224
FBgn0004419,28566,P{TRiP.HM05052}attP2,Screened,25,18,30,10,30,14,22,18,No detectable phenotype.,No,ATP-dependent RNA helicase,Yes ,,F,,,,http://flybase.org/reports/FBgn0004419
FBgn0033371,v7374,P{GD1888}v7374/TM3,Screened,30,13,30,25,27,14,30,20,"Few sperm, with impaired motility.",No,Predicted to have nucleoside:sodium symporter activity,Yes,,C,,,,http://flybase.org/reports/FBgn0033371
FBgn0039209,25983,P{TRiP.JF02005}attP2,Screened,25,13,25,10,23,23,25,16,No detectable phenotype.,No,Transcription factor,No ,,F,,,,http://flybase.org/reports/FBgn0039209
FBgn0039373,v109720,P{KK104727}VIE-260B,Screened,31,21,30,17,25,14,25,20,No detectable phenotype.,No,Predicted calcium ion binding,No,,F,,,,http://flybase.org/reports/FBgn0039373
FBgn0032520,v27322,P{GD7109}v27322,Screened,17,13,22,15,30,16,25,18,Few sperm. Decreased motility.,No,"Predicted to contribute to ATP-dependent microtubule motor activity, plus-end-directed",No,,C,,,,http://flybase.org/reports/FBgn0032520
FBgn0034532,v100956,P{KK106348}VIE-260B,Screened,27,21,19,10,30,20,26,20,Very few sperm. Spermiogenesis defect.,No,Unknown,No,Mouse infertility (Cfap206). No more details (https://www.mousephenotype.org/data/genes/MGI:1916579),B,,G,,http://flybase.org/reports/FBgn0034532
FBgn0050378,v102167,P{KK111000}VIE-260B,Screened,30,23,30,21,27,24,25,12,No detectable phenotype.,No,Predicted calcium ion binding,No,,F,,,,http://flybase.org/reports/FBgn0050378
FBgn0035645,v110489,P{KK103933}VIE-260B,Screened,30,22,31,19,30,26,30,19,No detectable phenotype.,No,Predicted transmembrane transporter,No,,F,,,,http://flybase.org/reports/FBgn0035645
FBgn0037722,v110491,P{KK104218}VIE-260B,Screened,25,20,28,21,30,21,30,18,No detectable phenotype.,No,Predicted transcription factor,Yes ,,F,,,,http://flybase.org/reports/FBgn0037722
FBgn0004838,33716,P{TRiP.HMS00597}attP2,Screened,25,11,21,19,14,11,25,18,No detectable phenotype.,No (but predicted) ,mRNA 3'-UTR binding (DAZ-associated domain),Yes ,Mouse infertility (Dazap1). Meiotic entry defects (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2525968/),F,,A,,http://flybase.org/reports/FBgn0004838
FBgn0011596,v1405,P{GD196}v1405/TM3,Screened,30,25,25,23,30,14,30,20,No detectable phenotype.,"Yes. Spermiogenesis defects, particularly in mitochodria (https://www.cell.com/cell/pdf/S0092-8674(00)80319-0.pdf)",Transmembrane dynamin-type GTPase,No,,F,B,,,http://flybase.org/reports/FBgn0011596
