Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type	Ensembl ID	Entrez Gene ID
MGI:1914481	MGI	MGI:1914481	Tbc1d20	TBC1 domain family, member 20	protein coding gene	ENSMUSG00000027465	67231
MGI:1352460	MGI	MGI:1352460	Nr0b1	nuclear receptor subfamily 0, group B, member 1	protein coding gene	ENSMUSG00000025056	11614
MGI:1342328	MGI	MGI:1342328	Dazl	deleted in azoospermia-like	protein coding gene	ENSMUSG00000010592	13164
MGI:94891	MGI	MGI:94891	Dhh	desert hedgehog	protein coding gene	ENSMUSG00000023000	13363
MGI:102670	MGI	MGI:102670	Ddx4	DEAD (Asp-Glu-Ala-Asp) box polypeptide 4	protein coding gene	ENSMUSG00000021758	13206
MGI:97763	MGI	MGI:97763	Prlr	prolactin receptor	protein coding gene	ENSMUSG00000005268	19116
MGI:104793	MGI	MGI:104793	Runx1t1	RUNX1 translocation partner 1	protein coding gene	ENSMUSG00000006586	12395
MGI:1914280	MGI	MGI:1914280	Fancl	Fanconi anemia, complementation group L	protein coding gene	ENSMUSG00000004018	67030
MGI:107913	MGI	MGI:107913	Tial1	Tia1 cytotoxic granule-associated RNA binding protein-like 1	protein coding gene	ENSMUSG00000030846	21843
MGI:1891150	MGI	MGI:1891150	Styx	serine/threonine/tyrosine interaction protein	protein coding gene	ENSMUSG00000053205	56291
MGI:108427	MGI	MGI:108427	Insl3	insulin-like 3	protein coding gene	ENSMUSG00000079019	16336
MGI:96569	MGI	MGI:96569	Inha	inhibin alpha	protein coding gene	ENSMUSG00000032968	16322
MGI:88139MGI:99702		No associated gene					
MGI:1354388	MGI	MGI:1354388	Spag6l	sperm associated antigen 6-like	protein coding gene	ENSMUSG00000022783	50525
MGI:105387MGI:105388		No associated gene					
MGI:1098235	MGI	MGI:1098235	P2rx1	purinergic receptor P2X, ligand-gated ion channel, 1	protein coding gene	ENSMUSG00000020787	18436
MGI:88390	MGI	MGI:88390	Cga	glycoprotein hormones, alpha subunit	protein coding gene	ENSMUSG00000028298	12640
MGI:104554	MGI	MGI:104554	Mitf	melanogenesis associated transcription factor	protein coding gene	ENSMUSG00000035158	17342
MGI:97592	MGI	MGI:97592	Prkaca	protein kinase, cAMP dependent, catalytic, alpha	protein coding gene	ENSMUSG00000005469	18747
MGI:104872	MGI	MGI:104872	Ppp1cc	protein phosphatase 1 catalytic subunit gamma	protein coding gene	ENSMUSG00000004455	19047
MGI:104993	MGI	MGI:104993	Lepr	leptin receptor	protein coding gene	ENSMUSG00000057722	16847
MGI:96790	MGI	MGI:96790	Lipe	lipase, hormone sensitive	protein coding gene	ENSMUSG00000003123	16890
MGI:2150656	MGI	MGI:2150656	Man2a2	mannosidase 2, alpha 2	protein coding gene	ENSMUSG00000038886	140481
MGI:101938	MGI	MGI:101938	Mlh1	mutL homolog 1	protein coding gene	ENSMUSG00000032498	17350
MGI:104288	MGI	MGI:104288	Pms2	PMS1 homolog2, mismatch repair system component	protein coding gene	ENSMUSG00000079109	18861
MGI:1353455	MGI	MGI:1353455	Mlh3	mutL homolog 3	protein coding gene	ENSMUSG00000021245	217716
MGI:1860077	MGI	MGI:1860077	Msh4	mutS homolog 4	protein coding gene	ENSMUSG00000005493	55993
MGI:1329021MGI:1860077		No associated gene					
MGI:2137612	MGI	MGI:2137612	Fkbp6	FK506 binding protein 6	protein coding gene	ENSMUSG00000040013	94244
MGI:109542	MGI	MGI:109542	Sycp3	synaptonemal complex protein 3	protein coding gene	ENSMUSG00000020059	20962
MGI:99925	MGI	MGI:99925	Mybl1	myeloblastosis oncogene-like 1	protein coding gene	ENSMUSG00000025912	17864
MGI:101924	MGI	MGI:101924	Slc12a2	solute carrier family 12, member 2	protein coding gene	ENSMUSG00000024597	20496
MGI:97324	MGI	MGI:97324	Nhlh2	nescient helix loop helix 2	protein coding gene	ENSMUSG00000048540	18072
MGI:97999	MGI	MGI:97999	Ros1	Ros1 proto-oncogene	protein coding gene	ENSMUSG00000019893	19886
MGI:96171	MGI	MGI:96171	Hoxa10	homeobox A10	protein coding gene	ENSMUSG00000000938	15395
MGI:1352467	MGI	MGI:1352467	Esr1	estrogen receptor 1 (alpha)	protein coding gene	ENSMUSG00000019768	13982
MGI:109392MGI:1352467		No associated gene					
MGI:99702	MGI	MGI:99702	Bax	BCL2-associated X protein	protein coding gene	ENSMUSG00000003873	12028
MGI:2664905	MGI	MGI:2664905	Tg(Hoxd9/lacZ/neo)5Ddu	transgene insertion 5, Denis Duboule	transgene		
MGI:2664899	MGI	MGI:2664899	Tg(Hoxd9/lacZ/neo)2Ddu	transgene insertion 2, Denis Duboule	transgene		
MGI:2664901	MGI	MGI:2664901	Tg(Hoxd9/lacZ/neo)3Ddu	transgene insertion 3, Denis Duboule	transgene		
MGI:2664903	MGI	MGI:2664903	Tg(Hoxd9/lacZ/neo)4Ddu	transgene insertion 4, Denis Duboule	transgene		
MGI:102518	MGI	MGI:102518	Adam3	a disintegrin and metallopeptidase domain 3 (cyritestin)	protein coding gene	ENSMUSG00000031553	11497
MGI:97856	MGI	MGI:97856	Rara	retinoic acid receptor, alpha	protein coding gene	ENSMUSG00000037992	19401
MGI:97858	MGI	MGI:97858	Rarg	retinoic acid receptor, gamma	protein coding gene	ENSMUSG00000001288	19411
MGI:2384966	MGI	MGI:2384966	Mgat2	mannoside acetylglucosaminyltransferase 2	protein coding gene	ENSMUSG00000043998	217664
MGI:1339946	MGI	MGI:1339946	Tbpl1	TATA box binding protein-like 1	protein coding gene	ENSMUSG00000071359	237336
MGI:97858MGI:96208		No associated gene					
MGI:103257	MGI	MGI:103257	Inpp5b	inositol polyphosphate-5-phosphatase B	protein coding gene	ENSMUSG00000028894	16330
MGI:108415	MGI	MGI:108415	Pafah1b2	platelet-activating factor acetylhydrolase, isoform 1b, subunit 2	protein coding gene	ENSMUSG00000003131	18475
MGI:108414MGI:108415		No associated gene					
MGI:1343460	MGI	MGI:1343460	Gnpat	glyceronephosphate O-acyltransferase	protein coding gene	ENSMUSG00000031985	14712
MGI:99423	MGI	MGI:99423	Etv4	ets variant 4	protein coding gene	ENSMUSG00000017724	18612
MGI:1858214	MGI	MGI:1858214	Ppm1d	protein phosphatase 1D magnesium-dependent, delta isoform	protein coding gene	ENSMUSG00000020525	53892
MGI:97941	MGI	MGI:97941	rmy	rimy	heritable phenotypic marker		19789
MGI:1101358	MGI	MGI:1101358	Npepps	aminopeptidase puromycin sensitive	protein coding gene	ENSMUSG00000001441	19155
MGI:96160	MGI	MGI:96160	Hmga1	high mobility group AT-hook 1	protein coding gene	ENSMUSG00000046711	15361
MGI:105128	MGI	MGI:105128	Rad23b	RAD23 homolog B, nucleotide excision repair protein	protein coding gene	ENSMUSG00000028426	19359
MGI:1329034	MGI	MGI:1329034	Ccne2	cyclin E2	protein coding gene	ENSMUSG00000028212	12448
MGI:103223MGI:2677704		No associated gene					
MGI:95872	MGI	MGI:95872	Gusb	glucuronidase, beta	protein coding gene	ENSMUSG00000025534	110006
MGI:97822	MGI	MGI:97822	Nectin2	nectin cell adhesion molecule 2	protein coding gene	ENSMUSG00000062300	19294
MGI:104727	MGI	MGI:104727	Cplx1	complexin 1	protein coding gene	ENSMUSG00000033615	12889
MGI:104772	MGI	MGI:104772	Cdk2	cyclin-dependent kinase 2	protein coding gene	ENSMUSG00000025358	12566
MGI:1861099	MGI	MGI:1861099	Ubr2	ubiquitin protein ligase E3 component n-recognin 2	protein coding gene	ENSMUSG00000023977	224826
MGI:2676627	MGI	MGI:2676627	Nanos2	nanos C2HC-type zinc finger 2	protein coding gene	ENSMUSG00000051965	378430
MGI:2675387	MGI	MGI:2675387	Nanos3	nanos C2HC-type zinc finger 3	protein coding gene	ENSMUSG00000056155	244551
MGI:109520	MGI	MGI:109520	Pafah1b1	platelet-activating factor acetylhydrolase, isoform 1b, subunit 1	protein coding gene	ENSMUSG00000020745	18472
MGI:2387404	MGI	MGI:2387404	Catsper2	cation channel, sperm associated 2	protein coding gene	ENSMUSG00000033486	212670
MGI:108064	MGI	MGI:108064	Siah1a	siah E3 ubiquitin protein ligase 1A	protein coding gene	ENSMUSG00000036840	20437
MGI:102794	MGI	MGI:102794	Akap4	A kinase (PRKA) anchor protein 4	protein coding gene	ENSMUSG00000050089	11643
MGI:103022	MGI	MGI:103022	Reln	reelin	protein coding gene	ENSMUSG00000042453	19699
MGI:2671673	MGI	MGI:2671673	inft2	infertility 2	heritable phenotypic marker		
MGI:2671675	MGI	MGI:2671675	inft4	infertility 4	heritable phenotypic marker		
MGI:2671676	MGI	MGI:2671676	inft5	infertility 5	heritable phenotypic marker		
MGI:2671679	MGI	MGI:2671679	inft8	infertility 8	heritable phenotypic marker		
MGI:2671680	MGI	MGI:2671680	inft9	infertility 9	heritable phenotypic marker		
MGI:1922004	MGI	MGI:1922004	Dhcr24	24-dehydrocholesterol reductase	protein coding gene	ENSMUSG00000034926	74754
MGI:1349669	MGI	MGI:1349669	Spo11	SPO11 meiotic protein covalently bound to DSB	protein coding gene	ENSMUSG00000005883	26972
MGI:101833	MGI	MGI:101833	Elk1	ELK1, member of ETS oncogene family	protein coding gene	ENSMUSG00000009406	13712
MGI:96677	MGI	MGI:96677	Kit	KIT proto-oncogene receptor tyrosine kinase	protein coding gene	ENSMUSG00000005672	16590
MGI:1329014	MGI	MGI:1329014	Stam	signal transducing adaptor molecule (SH3 domain and ITAM motif) 1	protein coding gene	ENSMUSG00000026718	20844
MGI:1930036	MGI	MGI:1930036	Piwil2	piwi-like RNA-mediated gene silencing 2	protein coding gene	ENSMUSG00000033644	57746
MGI:105064	MGI	MGI:105064	Slc9a3	solute carrier family 9 (sodium/hydrogen exchanger), member 3	protein coding gene	ENSMUSG00000036123	105243
MGI:1928761	MGI	MGI:1928761	Slc19a2	solute carrier family 19 (thiamine transporter), member 2	protein coding gene	ENSMUSG00000040918	116914
MGI:103027	MGI	MGI:103027	Tarbp2	TARBP2, RISC loading complex RNA binding subunit	protein coding gene	ENSMUSG00000023051	21357
MGI:109351	MGI	MGI:109351	Slc4a2	solute carrier family 4 (anion exchanger), member 2	protein coding gene	ENSMUSG00000028962	20535
MGI:96239MGI:96238		No associated gene					
MGI:101780	MGI	MGI:101780	Serpine2	serine (or cysteine) peptidase inhibitor, clade E, member 2	protein coding gene	ENSMUSG00000026249	20720
MGI:107817	MGI	MGI:107817	Serpina5	serine (or cysteine) peptidase inhibitor, clade A, member 5	protein coding gene	ENSMUSG00000041550	268591
MGI:98785	MGI	MGI:98785	Tnp2	transition protein 2	protein coding gene	ENSMUSG00000043050	21959
MGI:107469	MGI	MGI:107469	Plcd4	phospholipase C, delta 4	protein coding gene	ENSMUSG00000026173	18802
MGI:2660854	MGI	MGI:2660854	Adcy10	adenylate cyclase 10	protein coding gene	ENSMUSG00000026567	271639
MGI:1859287	MGI	MGI:1859287	Dnmt3l	DNA (cytosine-5-)-methyltransferase 3-like	protein coding gene	ENSMUSG00000000730	54427
MGI:96855	MGI	MGI:96855	Lvs	lacking vigorous sperm	heritable phenotypic marker		104148
MGI:1928897	MGI	MGI:1928897	Piwil1	piwi-like RNA-mediated gene silencing 1	protein coding gene	ENSMUSG00000029423	57749
MGI:2181067	MGI	MGI:2181067	Klhl10	kelch-like 10	protein coding gene	ENSMUSG00000001558	66720
MGI:1332234	MGI	MGI:1332234	Zfp148	zinc finger protein 148	protein coding gene	ENSMUSG00000022811	22661
MGI:2444853	MGI	MGI:2444853	Ttc26	tetratricopeptide repeat domain 26	protein coding gene	ENSMUSG00000056832	264134
MGI:105076	MGI	MGI:105076	t	t-complex	heritable phenotypic marker		20998
MGI:1196463	MGI	MGI:1196463	Fndc3a	fibronectin type III domain containing 3A	protein coding gene	ENSMUSG00000033487	319448
MGI:2444853MGI:97454		No associated gene					
MGI:97454	MGI	MGI:97454	Oca2	oculocutaneous albinism II	protein coding gene	ENSMUSG00000030450	18431
MGI:107721	MGI	MGI:107721	Dnah1	dynein, axonemal, heavy chain 1	protein coding gene	ENSMUSG00000019027	110084
MGI:105062	MGI	MGI:105062	Amhr2	anti-Mullerian hormone type 2 receptor	protein coding gene	ENSMUSG00000023047	110542
MGI:88006MGI:105062		No associated gene					
MGI:103222	MGI	MGI:103222	Zbtb16	zinc finger and BTB domain containing 16	protein coding gene	ENSMUSG00000066687	235320
MGI:109330	MGI	MGI:109330	Prop1	paired like homeodomain factor 1	protein coding gene	ENSMUSG00000044542	19127
MGI:3043011	MGI	MGI:3043011	Dms	dominant male sterility	heritable phenotypic marker		
MGI:88096	MGI	MGI:88096	Atf4	activating transcription factor 4	protein coding gene	ENSMUSG00000042406	11911
MGI:1351603	MGI	MGI:1351603	Mmel1	membrane metallo-endopeptidase-like 1	protein coding gene	ENSMUSG00000058183	27390
MGI:3043581MGI:3043643MGI:98660		No associated gene					
MGI:3044258	MGI	MGI:3044258	Tg(ACTB-HSF1)1Anak	transgene insertion 1, Akira Nakai	transgene		
MGI:1099804	MGI	MGI:1099804	Hip1	huntingtin interacting protein 1	protein coding gene	ENSMUSG00000039959	215114
MGI:1098221	MGI	MGI:1098221	Gamt	guanidinoacetate methyltransferase	protein coding gene	ENSMUSG00000020150	14431
MGI:1298230	MGI	MGI:1298230	Cnot7	CCR4-NOT transcription complex, subunit 7	protein coding gene	ENSMUSG00000031601	18983
MGI:1917485	MGI	MGI:1917485	Poc1a	POC1 centriolar protein A	protein coding gene	ENSMUSG00000023345	70235
MGI:2143311	MGI	MGI:2143311	Bbs4	Bardet-Biedl syndrome 4 (human)	protein coding gene	ENSMUSG00000025235	102774
MGI:1353582	MGI	MGI:1353582	Ddx25	DEAD (Asp-Glu-Ala-Asp) box polypeptide 25	protein coding gene	ENSMUSG00000032101	30959
MGI:98215	MGI	MGI:98215	Rxrb	retinoid X receptor beta	protein coding gene	ENSMUSG00000039656	20182
MGI:1333889	MGI	MGI:1333889	Bub1b	BUB1B, mitotic checkpoint serine/threonine kinase	protein coding gene	ENSMUSG00000040084	12236
MGI:1346999	MGI	MGI:1346999	Prnd	prion like protein doppel	protein coding gene	ENSMUSG00000027338	26434
MGI:97769	MGI	MGI:97769	Prnp	prion protein	protein coding gene	ENSMUSG00000079037	19122
MGI:1261827MGI:87983		No associated gene					
MGI:3050513	MGI	MGI:3050513	mei7	meiosis defective 7	heritable phenotypic marker		
MGI:2178217	MGI	MGI:2178217	Akap9	A kinase (PRKA) anchor protein (yotiao) 9	protein coding gene	ENSMUSG00000040407	100986
MGI:3050558	MGI	MGI:3050558	mei2-7	meiosis defective 2.7	heritable phenotypic marker		
MGI:1916957	MGI	MGI:1916957	Iqcg	IQ motif containing G	protein coding gene	ENSMUSG00000035578	69707
MGI:3050622	MGI	MGI:3050622	swm6	sperm without motility 6	heritable phenotypic marker		
MGI:3050640	MGI	MGI:3050640	swm2	sperm without mobility 2	heritable phenotypic marker		
MGI:3050652	MGI	MGI:3050652	lsgd9a	late spermiogenesis defective 9a	heritable phenotypic marker		
MGI:2652743	MGI	MGI:2652743	tth	tremor with tilted head	heritable phenotypic marker		
MGI:105097	MGI	MGI:105097	Efnb2	ephrin B2	protein coding gene	ENSMUSG00000001300	13642
MGI:88111	MGI	MGI:88111	Atp2b4	ATPase, Ca++ transporting, plasma membrane 4	protein coding gene	ENSMUSG00000026463	381290
MGI:2445092	MGI	MGI:2445092	Utp14b	UTP14B small subunit processome component	protein coding gene	ENSMUSG00000079470	195434
MGI:2429504	MGI	MGI:2429504	Adam1a	a disintegrin and metallopeptidase domain 1a	protein coding gene	ENSMUSG00000072647	280668
MGI:3052831	MGI	MGI:3052831	repro13	reproductive mutant 13, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3052988	MGI	MGI:3052988	Dspd	dominant spermiogenesis defect	heritable phenotypic marker		
MGI:96974	MGI	MGI:96974	Kitl	kit ligand	protein coding gene	ENSMUSG00000019966	17311
MGI:3054790	MGI	MGI:3054790	mix	inner ear dysfuntion, Malou Hultcrantz	heritable phenotypic marker		
MGI:95387MGI:88276		No associated gene					
MGI:1346335	MGI	MGI:1346335	Tekt2	tektin 2	protein coding gene	ENSMUSG00000028845	24084
MGI:1933825	MGI	MGI:1933825	Jam3	junction adhesion molecule 3	protein coding gene	ENSMUSG00000031990	83964
MGI:96648	MGI	MGI:96648	Jund	jun D proto-oncogene	protein coding gene	ENSMUSG00000071076	16478
MGI:3028213	MGI	MGI:3028213	Hstx1	hybrid sterility, X Chromosome QTL 1	QTL		100036139
MGI:3512245	MGI	MGI:3512245	Mhstq1	male hybrid sterility QTL 1	QTL		100036270
MGI:3512246	MGI	MGI:3512246	Mhstq2	male hybrid sterility QTL 2	QTL		100035824
MGI:1890651	MGI	MGI:1890651	Brwd1	bromodomain and WD repeat domain containing 1	protein coding gene	ENSMUSG00000022914	93871
MGI:3512792	MGI	MGI:3512792	repro10	reproductive mutant 10, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3512796	MGI	MGI:3512796	repro15	reproductive mutant 15, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3512797	MGI	MGI:3512797	repro16	reproductive mutant 16, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3512798	MGI	MGI:3512798	repro17	reproductive mutant 17, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3512800	MGI	MGI:3512800	repro20	reproductive mutant 20, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3512802	MGI	MGI:3512802	repro21	reproductive mutant 21, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:1919140	MGI	MGI:1919140	Mad2l2	MAD2 mitotic arrest deficient-like 2	protein coding gene	ENSMUSG00000029003	71890
MGI:1919231	MGI	MGI:1919231	Tdrd12	tudor domain containing 12	protein coding gene	ENSMUSG00000030491	71981
MGI:3512805	MGI	MGI:3512805	repro24	reproductive mutant 24, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:3512807	MGI	MGI:3512807	repro26	reproductive mutant 26, JAX Reproductive Mutagenesis Program	heritable phenotypic marker		
MGI:96958	MGI	MGI:96958	Golga3	golgi autoantigen, golgin subfamily a, 3	protein coding gene	ENSMUSG00000029502	269682
MGI:1921700	MGI	MGI:1921700	Pank2	pantothenate kinase 2	protein coding gene	ENSMUSG00000037514	74450
MGI:95653	MGI	MGI:95653	Gapdhs	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	protein coding gene	ENSMUSG00000061099	14447
MGI:96782	MGI	MGI:96782	Lhb	luteinizing hormone beta	protein coding gene	ENSMUSG00000100916	16866
MGI:2135267	MGI	MGI:2135267	Bbs2	Bardet-Biedl syndrome 2 (human)	protein coding gene	ENSMUSG00000031755	67378
MGI:2685456	MGI	MGI:2685456	Slc9c1	solute carrier family 9, subfamily C (Na+-transporting carboxylic acid decarboxylase), member 1	protein coding gene	ENSMUSG00000033210	208169
MGI:94909	MGI	MGI:94909	Dmd	dystrophin, muscular dystrophy	protein coding gene	ENSMUSG00000045103	13405
MGI:1270156	MGI	MGI:1270156	Sept4	septin 4	protein coding gene	ENSMUSG00000020486	18952
