,layer,id-i,id-j,gene-i,gene-j,weight-ij,other-layer,id-ortho-i,id-ortho-j,gene-ortho-i,gene-ortho-j,ortho-weight-ij
16,HS,ENSG00000161533,ENSG00000157326,ACOX1,DHRS4,0.933,MM,ENSMUSG00000020777,ENSMUSG00000022210,Acox1,Dhrs4,0.933
17,HS,ENSG00000161533,ENSG00000157326,ACOX1,DHRS4,0.933,DM,FBgn0027572,FBgn0035588,CG5009,CG10672,0.943
18,HS,ENSG00000161533,ENSG00000103740,ACOX1,ACSBG1,0.937,DM,FBgn0027572,FBgn0027348,CG5009,bgm,0.502
19,HS,ENSG00000161533,ENSG00000131373,ACOX1,HACL1,0.928,MM,ENSMUSG00000020777,ENSMUSG00000021884,Acox1,Hacl1,0.929
20,HS,ENSG00000161533,ENSG00000131373,ACOX1,HACL1,0.928,DM,FBgn0027572,FBgn0034488,CG5009,CG11208,0.919
21,HS,ENSG00000161533,ENSG00000197142,ACOX1,ACSL5,0.959,MM,ENSMUSG00000020777,ENSMUSG00000018796,Acox1,Acsl1,0.743
22,HS,ENSG00000161533,ENSG00000197142,ACOX1,ACSL5,0.959,MM,ENSMUSG00000020777,ENSMUSG00000024981,Acox1,Acsl5,0.671
23,HS,ENSG00000161533,ENSG00000197142,ACOX1,ACSL5,0.959,MM,ENSMUSG00000020777,ENSMUSG00000020333,Acox1,Acsl6,0.523
24,HS,ENSG00000161533,ENSG00000197142,ACOX1,ACSL5,0.959,DM,FBgn0027572,FBgn0036821,CG5009,CG3961,0.61
25,HS,ENSG00000161533,ENSG00000068366,ACOX1,ACSL4,0.955,MM,ENSMUSG00000020777,ENSMUSG00000031278,Acox1,Acsl4,0.615
26,HS,ENSG00000161533,ENSG00000068366,ACOX1,ACSL4,0.955,MM,ENSMUSG00000020777,ENSMUSG00000032883,Acox1,Acsl3,0.626
27,HS,ENSG00000161533,ENSG00000068366,ACOX1,ACSL4,0.955,DM,FBgn0027572,FBgn0263120,CG5009,Acsl,0.546
28,HS,ENSG00000161533,ENSG00000116906,ACOX1,GNPAT,0.963,MM,ENSMUSG00000020777,ENSMUSG00000031985,Acox1,Gnpat,0.953
29,HS,ENSG00000161533,ENSG00000116906,ACOX1,GNPAT,0.963,DM,FBgn0027572,FBgn0040212,CG5009,Dhap-at,0.933
30,HS,ENSG00000161533,ENSG00000123983,ACOX1,ACSL3,0.962,MM,ENSMUSG00000020777,ENSMUSG00000031278,Acox1,Acsl4,0.615
31,HS,ENSG00000161533,ENSG00000123983,ACOX1,ACSL3,0.962,MM,ENSMUSG00000020777,ENSMUSG00000032883,Acox1,Acsl3,0.626
32,HS,ENSG00000161533,ENSG00000123983,ACOX1,ACSL3,0.962,DM,FBgn0027572,FBgn0263120,CG5009,Acsl,0.546
33,HS,ENSG00000161533,ENSG00000060971,ACOX1,ACAA1,0.991,MM,ENSMUSG00000020777,ENSMUSG00000010651,Acox1,Acaa1b,0.984
34,HS,ENSG00000161533,ENSG00000060971,ACOX1,ACAA1,0.991,MM,ENSMUSG00000020777,ENSMUSG00000036138,Acox1,Acaa1a,0.983
35,HS,ENSG00000161533,ENSG00000197448,ACOX1,GSTK1,0.919,MM,ENSMUSG00000020777,ENSMUSG00000029864,Acox1,Gstk1,0.916
36,HS,ENSG00000161533,ENSG00000130377,ACOX1,ACSBG2,0.951,DM,FBgn0027572,FBgn0027348,CG5009,bgm,0.502
37,HS,ENSG00000072364,ENSG00000118985,AFF4,ELL2,0.996,MM,ENSMUSG00000049470,ENSMUSG00000001542,Aff4,Ell2,0.968
38,HS,ENSG00000072364,ENSG00000136807,AFF4,CDK9,0.999,MM,ENSMUSG00000049470,ENSMUSG00000009555,Aff4,Cdk9,0.996
39,HS,ENSG00000072364,ENSG00000136807,AFF4,CDK9,0.999,DM,FBgn0041111,FBgn0019949,lilli,Cdk9,0.997
40,HS,ENSG00000072364,ENSG00000129315,AFF4,CCNT1,0.999,MM,ENSMUSG00000049470,ENSMUSG00000026349,Aff4,Ccnt2,0.989
41,HS,ENSG00000072364,ENSG00000129315,AFF4,CCNT1,0.999,MM,ENSMUSG00000049470,ENSMUSG00000011960,Aff4,Ccnt1,0.998
42,HS,ENSG00000072364,ENSG00000129315,AFF4,CCNT1,0.999,DM,FBgn0041111,FBgn0025455,lilli,CycT,0.998
43,HS,ENSG00000072364,ENSG00000105656,AFF4,ELL,0.996,MM,ENSMUSG00000049470,ENSMUSG00000070002,Aff4,Ell,0.992
44,HS,ENSG00000072364,ENSG00000130382,AFF4,MLLT1,0.99,MM,ENSMUSG00000049470,ENSMUSG00000024212,Aff4,Mllt1,0.985
45,HS,ENSG00000072364,ENSG00000130382,AFF4,MLLT1,0.99,MM,ENSMUSG00000049470,ENSMUSG00000028496,Aff4,Mllt3,0.983
46,HS,ENSG00000072364,ENSG00000130382,AFF4,MLLT1,0.99,DM,FBgn0041111,FBgn0026441,lilli,ear,0.994
47,HS,ENSG00000072364,ENSG00000145088,AFF4,EAF2,0.987,MM,ENSMUSG00000049470,ENSMUSG00000021890,Aff4,Eaf1,0.976
48,HS,ENSG00000072364,ENSG00000145088,AFF4,EAF2,0.987,MM,ENSMUSG00000049470,ENSMUSG00000022838,Aff4,Eaf2,0.98
49,HS,ENSG00000072364,ENSG00000145088,AFF4,EAF2,0.987,DM,FBgn0041111,FBgn0033166,lilli,Eaf,0.985
50,HS,ENSG00000004455,ENSG00000138035,AK2,PNPT1,0.929,MM,ENSMUSG00000028792,ENSMUSG00000020464,Ak2,Pnpt1,0.924
51,HS,ENSG00000004455,ENSG00000138035,AK2,PNPT1,0.929,DM,FBgn0283494,FBgn0039846,Adk2,PNPase,0.939
52,HS,ENSG00000004455,ENSG00000135778,AK2,NTPCR,0.905,MM,ENSMUSG00000028792,ENSMUSG00000031851,Ak2,Ntpcr,0.905
53,HS,ENSG00000004455,ENSG00000135778,AK2,NTPCR,0.905,DM,FBgn0283494,FBgn0037046,Adk2,CG10581,0.9
54,HS,ENSG00000004455,ENSG00000156110,AK2,ADK,0.979,MM,ENSMUSG00000028792,ENSMUSG00000039197,Ak2,Adk,0.978
55,HS,ENSG00000004455,ENSG00000156110,AK2,ADK,0.979,DM,FBgn0283494,FBgn0036337,Adk2,AdenoK,0.987
56,HS,ENSG00000004455,ENSG00000156110,AK2,ADK,0.979,DM,FBgn0283494,FBgn0037995,Adk2,CG3809,0.974
57,HS,ENSG00000004455,ENSG00000196511,AK2,TPK1,0.904,DM,FBgn0283494,FBgn0037942,Adk2,CG14721,0.903
58,HS,ENSG00000133794,ENSG00000159208,ARNTL,CIART,0.786,MM,ENSMUSG00000055116,ENSMUSG00000038550,Arntl,Ciart,0.863
59,HS,ENSG00000133794,ENSG00000134852,ARNTL,CLOCK,0.999,MM,ENSMUSG00000055116,ENSMUSG00000029238,Arntl,Clock,0.999
60,HS,ENSG00000133794,ENSG00000134852,ARNTL,CLOCK,0.999,DM,FBgn0023094,FBgn0023076,cyc,Clk,0.998
61,HS,ENSG00000133794,ENSG00000121671,ARNTL,CRY2,0.999,MM,ENSMUSG00000055116,ENSMUSG00000020038,Arntl,Cry1,0.999
62,HS,ENSG00000133794,ENSG00000121671,ARNTL,CRY2,0.999,MM,ENSMUSG00000055116,ENSMUSG00000068742,Arntl,Cry2,0.999
63,HS,ENSG00000133794,ENSG00000121671,ARNTL,CRY2,0.999,DM,FBgn0023094,FBgn0016054,cyc,phr6-4,0.99
64,HS,ENSG00000133794,ENSG00000008405,ARNTL,CRY1,0.999,MM,ENSMUSG00000055116,ENSMUSG00000020038,Arntl,Cry1,0.999
65,HS,ENSG00000133794,ENSG00000008405,ARNTL,CRY1,0.999,MM,ENSMUSG00000055116,ENSMUSG00000068742,Arntl,Cry2,0.999
66,HS,ENSG00000133794,ENSG00000008405,ARNTL,CRY1,0.999,DM,FBgn0023094,FBgn0016054,cyc,phr6-4,0.99
67,HS,ENSG00000133794,ENSG00000096717,ARNTL,SIRT1,0.994,MM,ENSMUSG00000055116,ENSMUSG00000020063,Arntl,Sirt1,0.958
68,HS,ENSG00000133794,ENSG00000096717,ARNTL,SIRT1,0.994,DM,FBgn0023094,FBgn0024291,cyc,Sirt1,0.957
69,HS,ENSG00000133794,ENSG00000134107,ARNTL,BHLHE40,0.983,MM,ENSMUSG00000055116,ENSMUSG00000030103,Arntl,Bhlhe40,0.974
70,HS,ENSG00000133794,ENSG00000069667,ARNTL,RORA,0.985,MM,ENSMUSG00000055116,ENSMUSG00000032238,Arntl,Rora,0.987
71,HS,ENSG00000133794,ENSG00000069667,ARNTL,RORA,0.985,DM,FBgn0023094,FBgn0000448,cyc,Hr3,0.743
72,HS,ENSG00000133794,ENSG00000170485,ARNTL,NPAS2,0.998,MM,ENSMUSG00000055116,ENSMUSG00000029238,Arntl,Clock,0.999
73,HS,ENSG00000133794,ENSG00000170485,ARNTL,NPAS2,0.998,DM,FBgn0023094,FBgn0023076,cyc,Clk,0.998
74,HS,ENSG00000105011,ENSG00000159259,ASF1B,CHAF1B,0.991,MM,ENSMUSG00000005470,ENSMUSG00000022945,Asf1b,Chaf1b,0.971
75,HS,ENSG00000105011,ENSG00000159259,ASF1B,CHAF1B,0.991,MM,ENSMUSG00000019857,ENSMUSG00000022945,Asf1a,Chaf1b,0.955
76,HS,ENSG00000105011,ENSG00000159259,ASF1B,CHAF1B,0.991,DM,FBgn0029094,FBgn0033526,asf1,Caf1-105,0.997
77,HS,ENSG00000105011,ENSG00000198586,ASF1B,TLK1,0.992,MM,ENSMUSG00000005470,ENSMUSG00000041997,Asf1b,Tlk1,0.962
78,HS,ENSG00000105011,ENSG00000198586,ASF1B,TLK1,0.992,MM,ENSMUSG00000005470,ENSMUSG00000020694,Asf1b,Tlk2,0.874
79,HS,ENSG00000105011,ENSG00000198586,ASF1B,TLK1,0.992,MM,ENSMUSG00000019857,ENSMUSG00000041997,Asf1a,Tlk1,0.939
80,HS,ENSG00000105011,ENSG00000198586,ASF1B,TLK1,0.992,MM,ENSMUSG00000019857,ENSMUSG00000020694,Asf1a,Tlk2,0.896
81,HS,ENSG00000105011,ENSG00000198586,ASF1B,TLK1,0.992,DM,FBgn0029094,FBgn0283657,asf1,Tlk,0.995
82,HS,ENSG00000105011,ENSG00000132780,ASF1B,NASP,0.986,MM,ENSMUSG00000005470,ENSMUSG00000028693,Asf1b,Nasp,0.962
83,HS,ENSG00000105011,ENSG00000132780,ASF1B,NASP,0.986,MM,ENSMUSG00000019857,ENSMUSG00000028693,Asf1a,Nasp,0.953
84,HS,ENSG00000105011,ENSG00000132780,ASF1B,NASP,0.986,DM,FBgn0029094,FBgn0037624,asf1,CG8223,0.99
85,HS,ENSG00000105011,ENSG00000146872,ASF1B,TLK2,0.975,MM,ENSMUSG00000005470,ENSMUSG00000041997,Asf1b,Tlk1,0.962
86,HS,ENSG00000105011,ENSG00000146872,ASF1B,TLK2,0.975,MM,ENSMUSG00000005470,ENSMUSG00000020694,Asf1b,Tlk2,0.874
87,HS,ENSG00000105011,ENSG00000146872,ASF1B,TLK2,0.975,MM,ENSMUSG00000019857,ENSMUSG00000041997,Asf1a,Tlk1,0.939
88,HS,ENSG00000105011,ENSG00000146872,ASF1B,TLK2,0.975,MM,ENSMUSG00000019857,ENSMUSG00000020694,Asf1a,Tlk2,0.896
89,HS,ENSG00000105011,ENSG00000146872,ASF1B,TLK2,0.975,DM,FBgn0029094,FBgn0283657,asf1,Tlk,0.995
90,HS,ENSG00000105011,ENSG00000073111,ASF1B,MCM2,0.987,MM,ENSMUSG00000005470,ENSMUSG00000002870,Asf1b,Mcm2,0.956
91,HS,ENSG00000105011,ENSG00000073111,ASF1B,MCM2,0.987,MM,ENSMUSG00000019857,ENSMUSG00000002870,Asf1a,Mcm2,0.886
92,HS,ENSG00000105011,ENSG00000073111,ASF1B,MCM2,0.987,DM,FBgn0029094,FBgn0014861,asf1,Mcm2,0.995
93,HS,ENSG00000064102,ENSG00000164880,INTS13,INTS1,0.999,MM,ENSMUSG00000040250,ENSMUSG00000029547,Ints13,Ints1,0.994
94,HS,ENSG00000064102,ENSG00000164880,INTS13,INTS1,0.999,DM,FBgn0020407,FBgn0034964,asun,IntS1,0.996
95,HS,ENSG00000064102,ENSG00000143624,INTS13,INTS3,0.999,MM,ENSMUSG00000040250,ENSMUSG00000027933,Ints13,Ints3,0.992
96,HS,ENSG00000064102,ENSG00000143624,INTS13,INTS3,0.999,DM,FBgn0020407,FBgn0262117,asun,IntS3,0.994
97,HS,ENSG00000064102,ENSG00000111711,INTS13,GOLT1B,0.761,MM,ENSMUSG00000040250,ENSMUSG00000030245,Ints13,Golt1b,0.533
98,HS,ENSG00000064102,ENSG00000111711,INTS13,GOLT1B,0.761,DM,FBgn0020407,FBgn0052576,asun,CG32576,0.56
99,HS,ENSG00000064102,ENSG00000102786,INTS13,INTS6,0.999,MM,ENSMUSG00000040250,ENSMUSG00000035161,Ints13,Ints6,0.988
100,HS,ENSG00000064102,ENSG00000102786,INTS13,INTS6,0.999,DM,FBgn0020407,FBgn0261383,asun,IntS6,0.981
101,HS,ENSG00000154438,ENSG00000077800,ASZ1,FKBP6,0.959,MM,ENSMUSG00000010796,ENSMUSG00000040013,Asz1,Fkbp6,0.966
102,HS,ENSG00000154438,ENSG00000162639,ASZ1,HENMT1,0.968,MM,ENSMUSG00000010796,ENSMUSG00000045662,Asz1,Henmt1,0.975
103,HS,ENSG00000154438,ENSG00000162639,ASZ1,HENMT1,0.968,DM,FBgn0033273,FBgn0033686,Gasz,Hen1,0.849
104,HS,ENSG00000154438,ENSG00000143194,ASZ1,MAEL,0.98,MM,ENSMUSG00000010796,ENSMUSG00000040629,Asz1,Mael,0.986
105,HS,ENSG00000154438,ENSG00000143194,ASZ1,MAEL,0.98,DM,FBgn0033273,FBgn0016034,Gasz,mael,0.924
106,HS,ENSG00000154438,ENSG00000182134,ASZ1,TDRKH,0.959,MM,ENSMUSG00000010796,ENSMUSG00000041912,Asz1,Tdrkh,0.963
107,HS,ENSG00000154438,ENSG00000182134,ASZ1,TDRKH,0.959,DM,FBgn0033273,FBgn0031401,Gasz,papi,0.67
108,HS,ENSG00000154438,ENSG00000073146,ASZ1,MOV10L1,0.983,MM,ENSMUSG00000010796,ENSMUSG00000015365,Asz1,Mov10l1,0.987
109,HS,ENSG00000154438,ENSG00000073146,ASZ1,MOV10L1,0.983,DM,FBgn0033273,FBgn0041164,Gasz,armi,0.951
110,HS,ENSG00000154438,ENSG00000156414,ASZ1,TDRD9,0.977,MM,ENSMUSG00000010796,ENSMUSG00000054003,Asz1,Tdrd9,0.982
111,HS,ENSG00000154438,ENSG00000156414,ASZ1,TDRD9,0.977,DM,FBgn0033273,FBgn0003483,Gasz,spn-E,0.886
112,HS,ENSG00000154438,ENSG00000095627,ASZ1,TDRD1,0.977,MM,ENSMUSG00000010796,ENSMUSG00000025081,Asz1,Tdrd1,0.98
113,HS,ENSG00000058668,ENSG00000198523,ATP2B4,PLN,0.919,MM,ENSMUSG00000026463,ENSMUSG00000038583,Atp2b4,Pln,0.922
114,HS,ENSG00000058668,ENSG00000129991,ATP2B4,TNNI3,0.915,MM,ENSMUSG00000026463,ENSMUSG00000035458,Atp2b4,Tnni3,0.909
115,HS,ENSG00000058668,ENSG00000136478,ATP2B4,TEX2,0.675,MM,ENSMUSG00000026463,ENSMUSG00000040548,Atp2b4,Tex2,0.691
116,HS,ENSG00000058668,ENSG00000143933,ATP2B4,CALM2,0.895,MM,ENSMUSG00000019943,ENSMUSG00000019370,Atp2b1,Calm3,0.783
117,HS,ENSG00000058668,ENSG00000143933,ATP2B4,CALM2,0.895,MM,ENSMUSG00000019943,ENSMUSG00000036438,Atp2b1,Calm2,0.784
118,HS,ENSG00000058668,ENSG00000143933,ATP2B4,CALM2,0.895,MM,ENSMUSG00000019943,ENSMUSG00000001175,Atp2b1,Calm1,0.792
119,HS,ENSG00000058668,ENSG00000143933,ATP2B4,CALM2,0.895,MM,ENSMUSG00000026463,ENSMUSG00000019370,Atp2b4,Calm3,0.821
120,HS,ENSG00000058668,ENSG00000143933,ATP2B4,CALM2,0.895,MM,ENSMUSG00000026463,ENSMUSG00000036438,Atp2b4,Calm2,0.829
121,HS,ENSG00000058668,ENSG00000143933,ATP2B4,CALM2,0.895,MM,ENSMUSG00000026463,ENSMUSG00000001175,Atp2b4,Calm1,0.837
122,HS,ENSG00000058668,ENSG00000143933,ATP2B4,CALM2,0.895,DM,FBgn0259214,FBgn0051960,PMCA,CG31960,0.775
123,HS,ENSG00000058668,ENSG00000143933,ATP2B4,CALM2,0.895,DM,FBgn0259214,FBgn0051958,PMCA,CR31958,0.76
124,HS,ENSG00000058668,ENSG00000143933,ATP2B4,CALM2,0.895,DM,FBgn0259214,FBgn0039373,PMCA,CG5024,0.76
125,HS,ENSG00000058668,ENSG00000143933,ATP2B4,CALM2,0.895,DM,FBgn0259214,FBgn0033238,PMCA,azot,0.76
126,HS,ENSG00000058668,ENSG00000143933,ATP2B4,CALM2,0.895,DM,FBgn0259214,FBgn0011273,PMCA,Acam,0.76
127,HS,ENSG00000058668,ENSG00000143933,ATP2B4,CALM2,0.895,DM,FBgn0259214,FBgn0000253,PMCA,Cam,0.909
128,HS,ENSG00000085224,ENSG00000146247,ATRX,PHIP,0.88,MM,ENSMUSG00000031229,ENSMUSG00000022914,Atrx,Brwd1,0.8
129,HS,ENSG00000085224,ENSG00000146247,ATRX,PHIP,0.88,MM,ENSMUSG00000031229,ENSMUSG00000032253,Atrx,Phip,0.886
130,HS,ENSG00000085224,ENSG00000146247,ATRX,PHIP,0.88,DM,FBgn0039338,FBgn0011785,XNP,BRWD3,0.719
131,HS,ENSG00000085224,ENSG00000139218,ATRX,SCAF11,0.845,MM,ENSMUSG00000031229,ENSMUSG00000033228,Atrx,Scaf11,0.802
132,HS,ENSG00000085224,ENSG00000114857,ATRX,NKTR,0.827,MM,ENSMUSG00000031229,ENSMUSG00000032525,Atrx,Nktr,0.797
133,HS,ENSG00000085224,ENSG00000204209,ATRX,DAXX,0.96,MM,ENSMUSG00000031229,ENSMUSG00000002307,Atrx,Daxx,0.964
134,HS,ENSG00000085224,ENSG00000204209,ATRX,DAXX,0.96,DM,FBgn0039338,FBgn0031820,XNP,Daxx,0.929
135,HS,ENSG00000085224,ENSG00000051180,ATRX,RAD51,0.962,MM,ENSMUSG00000031229,ENSMUSG00000027323,Atrx,Rad51,0.883
136,HS,ENSG00000085224,ENSG00000051180,ATRX,RAD51,0.962,DM,FBgn0039338,FBgn0003479,XNP,spn-A,0.894
137,HS,ENSG00000086062,ENSG00000139985,B4GALT1,ADAM21,0.9,MM,ENSMUSG00000028413,ENSMUSG00000008438,B4galt1,Adam21,0.9
138,HS,ENSG00000086062,ENSG00000138246,B4GALT1,DNAJC13,0.902,MM,ENSMUSG00000028413,ENSMUSG00000032560,B4galt1,Dnajc13,0.9
139,HS,ENSG00000086062,ENSG00000138246,B4GALT1,DNAJC13,0.902,DM,FBgn0027538,FBgn0015477,beta4GalNAcTA,Rme-8,0.902
140,HS,ENSG00000086062,ENSG00000244038,B4GALT1,DDOST,0.91,MM,ENSMUSG00000028413,ENSMUSG00000028757,B4galt1,Ddost,0.916
141,HS,ENSG00000086062,ENSG00000244038,B4GALT1,DDOST,0.91,DM,FBgn0027538,FBgn0014868,beta4GalNAcTA,Ost48,0.901
142,HS,ENSG00000086062,ENSG00000134249,B4GALT1,ADAM30,0.9,MM,ENSMUSG00000028413,ENSMUSG00000043468,B4galt1,Adam30,0.9
143,HS,ENSG00000086062,ENSG00000127314,B4GALT1,RAP1B,0.903,MM,ENSMUSG00000028413,ENSMUSG00000052681,B4galt1,Rap1b,0.902
144,HS,ENSG00000086062,ENSG00000127314,B4GALT1,RAP1B,0.903,DM,FBgn0027538,FBgn0004636,beta4GalNAcTA,Rap1,0.9
145,HS,ENSG00000086062,ENSG00000162736,B4GALT1,NCSTN,0.904,MM,ENSMUSG00000028413,ENSMUSG00000003458,B4galt1,Ncstn,0.906
146,HS,ENSG00000086062,ENSG00000162736,B4GALT1,NCSTN,0.904,DM,FBgn0027538,FBgn0039234,beta4GalNAcTA,Nct,0.9
147,HS,ENSG00000086062,ENSG00000151366,B4GALT1,NDUFC2,0.9,MM,ENSMUSG00000028413,ENSMUSG00000030647,B4galt1,Ndufc2,0.9
148,HS,ENSG00000086062,ENSG00000085998,B4GALT1,POMGNT1,0.904,MM,ENSMUSG00000028413,ENSMUSG00000028700,B4galt1,Pomgnt1,0.907
149,HS,ENSG00000086062,ENSG00000085998,B4GALT1,POMGNT1,0.904,MM,ENSMUSG00000028541,ENSMUSG00000028700,B4galt2,Pomgnt1,0.909
150,HS,ENSG00000086062,ENSG00000085998,B4GALT1,POMGNT1,0.904,MM,ENSMUSG00000052423,ENSMUSG00000028700,B4galt3,Pomgnt1,0.914
151,HS,ENSG00000086062,ENSG00000101152,B4GALT1,DNAJC5,0.902,MM,ENSMUSG00000028413,ENSMUSG00000000826,B4galt1,Dnajc5,0.901
152,HS,ENSG00000086062,ENSG00000101152,B4GALT1,DNAJC5,0.902,DM,FBgn0027538,FBgn0004179,beta4GalNAcTA,Csp,0.9
153,HS,ENSG00000086062,ENSG00000197746,B4GALT1,PSAP,0.9,MM,ENSMUSG00000028413,ENSMUSG00000004207,B4galt1,Psap,0.9
154,HS,ENSG00000086062,ENSG00000197746,B4GALT1,PSAP,0.9,DM,FBgn0027538,FBgn0000416,beta4GalNAcTA,Sap-r,0.9
155,HS,ENSG00000086062,ENSG00000148175,B4GALT1,STOM,0.902,MM,ENSMUSG00000028413,ENSMUSG00000026880,B4galt1,Stom,0.903
156,HS,ENSG00000086062,ENSG00000148175,B4GALT1,STOM,0.902,DM,FBgn0027538,FBgn0030993,beta4GalNAcTA,Mec2,0.9
157,HS,ENSG00000086062,ENSG00000148175,B4GALT1,STOM,0.902,DM,FBgn0027538,FBgn0250821,beta4GalNAcTA,CG14644,0.9
158,HS,ENSG00000086062,ENSG00000148175,B4GALT1,STOM,0.902,DM,FBgn0027538,FBgn0051358,beta4GalNAcTA,CG31358,0.9
159,HS,ENSG00000086062,ENSG00000148175,B4GALT1,STOM,0.902,DM,FBgn0027538,FBgn0037986,beta4GalNAcTA,CG14736,0.9
160,HS,ENSG00000086062,ENSG00000058063,B4GALT1,ATP11B,0.902,MM,ENSMUSG00000028413,ENSMUSG00000037400,B4galt1,Atp11b,0.902
161,HS,ENSG00000086062,ENSG00000112697,B4GALT1,TMEM30A,0.9,MM,ENSMUSG00000028413,ENSMUSG00000032328,B4galt1,Tmem30a,0.9
162,HS,ENSG00000086062,ENSG00000112697,B4GALT1,TMEM30A,0.9,DM,FBgn0027538,FBgn0030752,beta4GalNAcTA,CG9947,0.9
163,HS,ENSG00000086062,ENSG00000134007,B4GALT1,ADAM20,0.9,MM,ENSMUSG00000028413,ENSMUSG00000008438,B4galt1,Adam21,0.9
164,HS,ENSG00000086062,ENSG00000164713,B4GALT1,BRI3,0.9,MM,ENSMUSG00000028413,ENSMUSG00000047843,B4galt1,Bri3,0.9
165,HS,ENSG00000086062,ENSG00000164713,B4GALT1,BRI3,0.9,DM,FBgn0027538,FBgn0035444,beta4GalNAcTA,CG12012,0.9
166,HS,ENSG00000086062,ENSG00000091317,B4GALT1,CMTM6,0.904,MM,ENSMUSG00000028413,ENSMUSG00000032434,B4galt1,Cmtm6,0.905
167,HS,ENSG00000086062,ENSG00000116704,B4GALT1,SLC35D1,0.77,MM,ENSMUSG00000028413,ENSMUSG00000028521,B4galt1,Slc35d1,0.543
168,HS,ENSG00000086062,ENSG00000116704,B4GALT1,SLC35D1,0.77,DM,FBgn0027538,FBgn0042641,beta4GalNAcTA,frc,0.743
169,HS,ENSG00000086062,ENSG00000137509,B4GALT1,PRCP,0.9,MM,ENSMUSG00000028413,ENSMUSG00000061119,B4galt1,Prcp,0.9
170,HS,ENSG00000086062,ENSG00000137509,B4GALT1,PRCP,0.9,DM,FBgn0027538,FBgn0032864,beta4GalNAcTA,CG2493,0.9
171,HS,ENSG00000086062,ENSG00000136026,B4GALT1,CKAP4,0.907,MM,ENSMUSG00000028413,ENSMUSG00000046841,B4galt1,Ckap4,0.905
172,HS,ENSG00000086062,ENSG00000108774,B4GALT1,RAB5C,0.9,MM,ENSMUSG00000028413,ENSMUSG00000000711,B4galt1,Rab5b,0.9
173,HS,ENSG00000086062,ENSG00000108774,B4GALT1,RAB5C,0.9,MM,ENSMUSG00000028413,ENSMUSG00000019173,B4galt1,Rab5c,0.9
174,HS,ENSG00000086062,ENSG00000108774,B4GALT1,RAB5C,0.9,DM,FBgn0027538,FBgn0014010,beta4GalNAcTA,Rab5,0.9
175,HS,ENSG00000086062,ENSG00000174951,B4GALT1,FUT1,0.93,MM,ENSMUSG00000028413,ENSMUSG00000040364,B4galt1,Sec1,0.909
176,HS,ENSG00000086062,ENSG00000174951,B4GALT1,FUT1,0.93,MM,ENSMUSG00000028541,ENSMUSG00000040364,B4galt2,Sec1,0.947
177,HS,ENSG00000086062,ENSG00000174951,B4GALT1,FUT1,0.93,MM,ENSMUSG00000052423,ENSMUSG00000040364,B4galt3,Sec1,0.901
